region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IARE101001,152,138,133,271,81,87,168,294,281,575,84,75,159,459,443,902
IARE101002,1241,1316,1289,2605,991,1065,2056,4001,4419,8420,738,637,1375,5730,6121,11851
IARE101003,174,163,176,339,111,106,217,370,465,835,91,98,189,572,669,1241
IARE101004,208,207,245,452,266,260,526,554,652,1206,122,102,224,942,1014,1956
IARE101005,658,631,620,1251,259,269,528,1550,1719,3269,372,319,691,2181,2307,4488
IARE101006,69,100,92,192,54,91,145,219,281,500,48,30,78,321,402,723
IARE101007,331,369,305,674,194,175,369,882,889,1771,190,157,347,1266,1221,2487
IARE101008,304,744,367,1111,560,304,864,894,807,1701,177,149,326,1631,1260,2891
IARE102001,1074,821,939,1760,313,377,690,3722,4105,7827,544,603,1147,4579,5085,9664
IARE102002,256,406,281,687,125,108,233,960,995,1955,158,123,281,1243,1226,2469
IARE102003,464,477,484,961,286,262,548,1154,1307,2461,269,233,502,1709,1802,3511
IARE102004,159,162,166,328,89,99,188,485,494,979,101,80,181,675,673,1348
IARE102005,459,671,693,1364,264,255,519,2291,2511,4802,316,223,539,2871,2989,5860
IARE102006,217,302,275,577,156,169,325,741,784,1525,132,108,240,1029,1061,2090
IARE102007,716,559,527,1086,346,357,703,597,620,1217,377,360,737,1320,1337,2657
IARE102008,140,184,141,325,170,203,373,547,510,1057,101,56,157,818,769,1587
IARE102009,712,919,614,1533,206,163,369,1994,1843,3837,407,361,768,2607,2367,4974
IARE102010,474,516,495,1011,266,277,543,1257,1413,2670,264,239,503,1787,1929,3716
IARE102011,1936,1951,1893,3844,963,1000,1963,6157,6347,12504,1052,1013,2065,8172,8360,16532
IARE102012,301,304,265,569,88,94,182,617,763,1380,185,135,320,890,992,1882
IARE102013,435,426,462,888,126,108,234,1498,1604,3102,225,239,464,1849,1951,3800
IARE102014,224,245,239,484,105,117,222,945,1082,2027,135,111,246,1185,1310,2495
IARE103001,311,255,233,488,159,178,337,164,177,341,182,143,325,505,498,1003
IARE103002,73,64,62,126,144,178,322,44,54,98,43,33,76,231,265,496
IARE103003,279,239,209,448,123,109,232,431,456,887,166,125,291,720,690,1410
IARE103004,182,193,175,368,198,228,426,249,298,547,106,92,198,553,618,1171
IARE103005,936,1045,995,2040,486,458,944,2024,2194,4218,496,486,982,3006,3138,6144
IARE103006,377,432,321,753,325,361,686,419,399,818,235,159,394,979,919,1898
IARE104001,1042,1109,1153,2262,228,289,517,4367,4810,9177,593,542,1135,5188,5641,10829
IARE104002,1348,1125,1023,2148,114,117,231,3414,3845,7259,795,635,1430,4323,4597,8920
IARE104003,1678,2193,1744,3937,602,541,1143,6055,5947,12002,960,876,1836,7617,7364,14981
IARE104004,1364,1747,1564,3311,657,629,1286,5265,5570,10835,763,747,1510,6685,6946,13631
IARE104005,2879,3127,3260,6387,946,1108,2054,11316,12532,23848,1660,1505,3165,13922,15145,29067
IARE104006,343,401,387,788,97,116,213,1402,1478,2880,203,170,373,1702,1764,3466
IARE104007,5950,5415,5727,11142,780,769,1549,19274,21141,40415,3316,3074,6390,23370,24984,48354
IARE104008,1387,1319,1368,2687,272,269,541,3115,3398,6513,748,727,1475,4135,4394,8529
IARE104009,943,1479,1080,2559,781,688,1469,2921,2828,5749,523,522,1045,4225,4038,8263
IARE104010,315,340,312,652,94,96,190,960,1087,2047,186,155,341,1240,1338,2578
IARE104011,4266,4923,5031,9954,1118,1226,2344,22363,23341,45704,2511,2229,4740,25992,26796,52788
IARE104012,1240,1228,1157,2385,445,469,914,5333,5889,11222,728,635,1363,6506,6993,13499
IARE104013,1904,1991,1948,3939,495,538,1033,8424,8935,17359,1118,966,2084,10037,10439,20476
IARE104014,4799,4725,4509,9234,794,799,1593,18922,19928,38850,2896,2363,5259,22612,23090,45702
IARE104015,2085,2201,2247,4448,515,524,1039,7702,8502,16204,1207,1066,2273,9424,10092,19516
IARE104016,2531,2253,2249,4502,476,515,991,7222,7782,15004,1421,1265,2686,9119,9562,18681
IARE104017,666,784,770,1554,313,337,650,2354,2599,4953,386,345,731,3053,3281,6334
IARE104018,706,728,619,1347,177,201,378,2825,2911,5736,440,338,778,3442,3450,6892
IARE104019,1608,1567,1614,3181,551,553,1104,4759,5185,9944,894,838,1732,6204,6576,12780
IARE104020,2938,2910,3200,6110,647,665,1312,8986,10219,19205,1601,1575,3176,11234,12459,23693
IARE104021,4522,4875,5242,10117,1203,1231,2434,17514,19260,36774,2521,2362,4883,21238,22853,44091
IARE105001,1560,1562,1568,3130,246,239,485,5842,6827,12669,911,779,1690,6999,7845,14844
IARE105002,383,411,339,750,124,163,287,955,930,1885,253,158,411,1332,1251,2583
IARE105003,1425,1944,1310,3254,501,369,870,5661,5443,11104,803,728,1531,6965,6540,13505
IARE105004,462,503,527,1030,128,156,284,2265,2451,4716,243,258,501,2636,2865,5501
IARE105005,175,170,165,335,76,80,156,508,471,979,106,96,202,690,647,1337
IARE105006,600,715,642,1357,113,108,221,1974,2096,4070,360,301,661,2447,2505,4952
IARE105007,475,573,540,1113,115,110,225,2215,2469,4684,278,232,510,2608,2811,5419
IARE105008,275,300,303,603,61,67,128,780,898,1678,166,124,290,1007,1089,2096
IARE105009,550,575,517,1092,200,174,374,1323,1429,2752,303,277,580,1826,1880,3706
IARE105010,492,523,514,1037,98,85,183,1417,1609,3026,297,230,527,1812,1924,3736
IARE105011,207,284,305,589,187,196,383,979,997,1976,118,118,236,1284,1311,2595
IARE105012,1642,1549,1450,2999,333,359,692,4470,4547,9017,923,832,1755,5726,5738,11464
IARE105013,367,1149,383,1532,278,88,366,1977,1470,3447,249,179,428,2504,1737,4241
IARE105014,198,254,233,487,199,228,427,582,629,1211,120,93,213,901,950,1851
IARE105015,905,1361,897,2258,291,193,484,3078,2780,5858,521,469,990,3890,3442,7332
IARE105016,1079,1064,844,1908,191,212,403,2598,2731,5329,689,469,1158,3478,3412,6890
IARE105017,272,248,266,514,129,137,266,529,608,1137,144,143,287,802,888,1690
IARE105018,1480,1396,1311,2707,450,451,901,4448,4863,9311,859,708,1567,5757,6022,11779
IARE105019,333,343,343,686,87,118,205,1220,1217,2437,174,180,354,1481,1515,2996
IARE105020,851,1027,851,1878,131,123,254,3243,3458,6701,511,422,933,3885,4003,7888
IARE105021,1378,1509,1598,3107,591,623,1214,7925,8672,16597,789,756,1545,9305,10051,19356
IARE105022,446,410,462,872,77,99,176,1381,1513,2894,253,235,488,1711,1847,3558
IARE106001,985,968,1065,2033,217,231,448,3287,3668,6955,535,528,1063,4039,4427,8466
IARE106002,1456,1363,1318,2681,384,403,787,3336,3621,6957,817,740,1557,4537,4764,9301
IARE106003,3824,3869,3454,7323,953,888,1841,9839,10336,20175,2114,1936,4050,12906,13160,26066
IARE106004,3328,2902,2289,5191,410,362,772,8830,9215,18045,1953,1515,3468,11193,11092,22285
IARE106005,2971,3376,2952,6328,491,459,950,11677,12209,23886,1707,1472,3179,13875,14140,28015
IARE107001,3795,4868,3164,8032,187,105,292,11963,10460,22423,2358,1804,4162,14508,12369,26877
IARE107002,3415,3274,3219,6493,138,133,271,25519,25399,50918,2014,1825,3839,27671,27357,55028
IARE107003,8549,10426,9447,19873,1965,1723,3688,42717,42937,85654,5107,4618,9725,49789,49278,99067
IARE107004,2908,2261,2249,4510,306,274,580,9548,10261,19809,1608,1487,3095,11462,12022,23484
IARE107005,1806,1539,1505,3044,125,119,244,4936,4863,9799,982,935,1917,6043,5917,11960
IARE107006,1542,1510,1421,2931,267,250,517,8037,8526,16563,898,789,1687,9202,9565,18767
IARE107007,5424,5391,5618,11009,1006,1108,2114,19250,20130,39380,2963,2945,5908,23219,24183,47402
IARE107008,13923,13972,13076,27048,418,439,857,44595,44108,88703,8013,7171,15184,53026,51718,104744
IARE107009,5593,7183,7121,14304,298,266,564,26712,27549,54261,3353,3196,6549,30363,31011,61374
IARE107010,2337,2055,1929,3984,354,326,680,7860,8258,16118,1336,1195,2531,9550,9779,19329
IARE107011,4172,3992,3860,7852,133,176,309,12937,13157,26094,2425,2111,4536,15495,15444,30939
IARE107012,6132,5212,5470,10682,133,177,310,39683,41084,80767,3468,3311,6779,43284,44572,87856
IARE107013,3759,3217,3201,6418,98,75,173,16375,16434,32809,2098,1910,4008,18571,18419,36990
IARE107014,3800,3681,3812,7493,146,157,303,17953,18300,36253,2150,1993,4143,20249,20450,40699
IARE107015,1843,2217,2189,4406,515,521,1036,10587,11105,21692,1094,983,2077,12196,12609,24805
IARE107016,2442,1687,1609,3296,80,97,177,5165,5889,11054,1306,1202,2508,6551,7188,13739
IARE107017,7975,7480,7499,14979,564,544,1108,25364,26273,51637,4434,4237,8671,30362,31054,61416
IARE107018,9,7,5,12,0,0,0,19,25,44,4,5,9,23,30,53
IARE107019,4560,3360,2902,6262,188,197,385,8371,9173,17544,2586,2122,4708,11145,11492,22637
IARE107020,7749,6551,6467,13018,181,182,363,30131,31157,61288,4458,3825,8283,34770,35164,69934
IARE107021,7430,6953,6253,13206,347,232,579,22208,22321,44529,4333,3640,7973,26888,26193,53081
IARE107022,5433,5917,5714,11631,1226,1266,2492,22853,24058,46911,3143,2781,5924,27222,28105,55327
IARE107023,7740,6731,5187,11918,519,353,872,18410,17663,36073,4263,3796,8059,23192,21812,45004
IARE107024,4541,3977,3740,7717,116,108,224,12131,12033,24164,2613,2224,4837,14860,14365,29225
IARE107025,5397,5081,5126,10207,375,339,714,26671,27829,54500,3200,2705,5905,30246,30873,61119
IARE107026,20151,12985,10480,23465,339,410,749,17977,19914,37891,11516,8918,20434,29832,29242,59074
IARE107027,9233,7146,6627,13773,147,150,297,23773,24618,48391,5255,4472,9727,29175,29240,58415
IARE107028,9885,6323,6371,12694,77,70,147,21669,23339,45008,5268,4934,10202,27014,28343,55357
IARE107029,1171,1197,1172,2369,234,230,464,5576,5641,11217,666,623,1289,6476,6494,12970
IARE107030,5817,5917,5773,11690,912,910,1822,26075,26494,52569,3448,2885,6333,30435,30289,60724
IARE107031,10913,6849,6570,13419,66,78,144,11966,13197,25163,5842,5301,11143,17874,18576,36450
IARE194994,1155,1958,861,2819,250,172,422,1727,1153,2880,760,420,1180,2737,1745,4482
IARE197997,4,9,0,9,0,0,0,9,0,9,7,0,7,16,0,16
IARE201001,8262,8433,8048,16481,142,156,298,24340,24929,49269,4833,4356,9189,29315,29441,58756
IARE201002,2241,2133,2148,4281,81,91,172,9697,10573,20270,1254,1173,2427,11032,11837,22869
IARE201003,2948,3261,3191,6452,153,132,285,14772,15824,30596,1726,1599,3325,16651,17555,34206
IARE201004,6688,7745,7572,15317,289,319,608,35614,36630,72244,3979,3618,7597,39882,40567,80449
IARE201005,8955,8663,8774,17437,283,284,567,32356,34150,66506,5117,4551,9668,37756,38985,76741
IARE201006,4719,5786,5393,11179,116,109,225,18297,18080,36377,2896,2497,5393,21309,20686,41995
IARE201007,2741,3268,3194,6462,127,113,240,18985,20014,38999,1740,1404,3144,20852,21531,42383
IARE201008,8541,7379,6583,13962,133,126,259,22337,23254,45591,4951,4075,9026,27421,27455,54876
IARE201009,2105,2259,2531,4790,85,94,179,13198,13650,26848,1180,1173,2353,14463,14917,29380
IARE201010,17473,13895,13984,27879,145,157,302,64204,66981,131185,9859,8770,18629,74208,75908,150116
IARE201011,6495,6545,6842,13387,183,217,400,38530,39659,78189,3765,3424,7189,42478,43300,85778
IARE201012,20602,14069,11855,25924,166,140,306,29835,34271,64106,11588,9567,21155,41589,43978,85567
IARE201013,3676,4323,3916,8239,200,167,367,14964,15353,30317,2099,1974,4073,17263,17494,34757
IARE201014,4563,4566,4290,8856,64,88,152,24675,24133,48808,2814,2226,5040,27553,26447,54000
IARE201015,9708,9069,8641,17710,214,229,443,26459,27893,54352,5539,4949,10488,32212,33071,65283
IARE201016,5347,4713,5424,10137,220,200,420,16569,17777,34346,2827,2869,5696,19616,20846,40462
IARE201017,10511,10607,9988,20595,430,480,910,36907,39223,76130,6167,5311,11478,43504,45014,88518
IARE201018,4106,3955,4030,7985,67,64,131,21175,22199,43374,2385,2087,4472,23627,24350,47977
IARE201019,9062,9190,8253,17443,352,324,676,32066,32867,64933,5155,4674,9829,37573,37865,75438
IARE201020,3849,3870,3798,7668,173,230,403,18477,19892,38369,2275,1952,4227,20925,22074,42999
IARE202001,3099,3108,3315,6423,240,288,528,12808,14023,26831,1707,1638,3345,14755,15949,30704
IARE202002,1063,1252,1216,2468,92,100,192,5053,5700,10753,639,538,1177,5784,6338,12122
IARE202003,2873,3083,3166,6249,296,320,616,12232,13734,25966,1653,1459,3112,14181,15513,29694
IARE202004,4413,4785,4573,9358,674,709,1383,14619,15261,29880,2472,2338,4810,17765,18308,36073
IARE202005,2042,2582,2279,4861,152,135,287,6974,7207,14181,1129,1068,2197,8255,8410,16665
IARE202006,6078,6898,6203,13101,426,449,875,26767,27869,54636,3500,3112,6612,30693,31430,62123
IARE202007,2543,3555,2658,6213,450,412,862,9567,9479,19046,1461,1285,2746,11478,11176,22654
IARE202008,2587,2532,2598,5130,222,223,445,8357,9141,17498,1461,1332,2793,10040,10696,20736
IARE202009,1981,1953,1867,3820,99,86,185,9118,9578,18696,1110,1038,2148,10327,10702,21029
IARE202010,1852,1917,2017,3934,359,438,797,6027,6365,12392,1054,976,2030,7440,7779,15219
IARE202011,2016,1901,2000,3901,84,95,179,5795,6563,12358,1082,1058,2140,6961,7716,14677
IARE202012,3207,3891,3413,7304,205,205,410,14332,14605,28937,1814,1701,3515,16351,16511,32862
IARE202013,1034,1031,1071,2102,131,141,272,4043,4367,8410,583,537,1120,4757,5045,9802
IARE202014,786,850,817,1667,176,192,368,2289,2320,4609,431,423,854,2896,2935,5831
IARE202015,1468,1419,1387,2806,76,82,158,4635,4960,9595,816,749,1565,5527,5791,11318
IARE202016,1401,1224,1223,2447,85,88,173,4382,4636,9018,759,726,1485,5226,5450,10676
IARE202017,1090,1157,1182,2339,111,109,220,3968,4487,8455,627,547,1174,4706,5143,9849
IARE202018,1297,1441,1430,2871,105,123,228,5143,5543,10686,777,641,1418,6025,6307,12332
IARE202019,2323,2850,2611,5461,269,300,569,11793,12677,24470,1395,1161,2556,13457,14138,27595
IARE294994,667,1183,653,1836,89,64,153,1238,959,2197,398,293,691,1725,1316,3041
IARE297997,3,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3
IARE301001,1090,1135,1005,2140,172,190,362,3863,4206,8069,632,536,1168,4667,4932,9599
IARE301002,37736,35016,30156,65172,3014,2832,5846,136227,143483,279710,22207,18000,40207,161448,164315,325763
IARE301003,6698,6326,5590,11916,1024,983,2007,17428,18654,36082,3671,3362,7033,22123,22999,45122
IARE301004,3320,3072,3088,6160,341,324,665,10836,11835,22671,1850,1681,3531,13027,13840,26867
IARE301005,720,765,677,1442,127,116,243,2283,2447,4730,433,347,780,2843,2910,5753
IARE301006,1702,1513,1370,2883,213,243,456,4013,4583,8596,965,830,1795,5191,5656,10847
IARE301007,25828,19839,19286,39125,1192,1319,2511,56648,61973,118621,14115,12737,26852,71955,76029,147984
IARE301008,5973,6390,5532,11922,1383,1364,2747,20131,21069,41200,3470,2947,6417,24984,25380,50364
IARE301009,10606,10279,9893,20172,1579,1662,3241,33572,35610,69182,6035,5502,11537,41186,42774,83960
IARE301010,4978,4799,4245,9044,530,533,1063,17827,20167,37994,2985,2330,5315,21342,23030,44372
IARE301011,1882,1626,1603,3229,104,118,222,4943,5500,10443,1073,912,1985,6120,6530,12650
IARE301012,3706,3832,3628,7460,506,535,1041,21260,22736,43996,2234,1816,4050,24000,25087,49087
IARE301013,2052,1908,1894,3802,231,243,474,5447,6067,11514,1183,985,2168,6861,7295,14156
IARE301014,3484,3535,3517,7052,494,545,1039,16285,17372,33657,2014,1777,3791,18793,19694,38487
IARE302001,328,441,512,953,155,154,309,1110,1401,2511,204,174,378,1469,1729,3198
IARE302002,8387,7020,6358,13378,2495,2699,5194,14100,15893,29993,4694,4021,8715,21289,22613,43902
IARE302003,794,611,497,1108,129,147,276,818,842,1660,460,353,813,1407,1342,2749
IARE302004,279,225,191,416,85,76,161,461,523,984,162,135,297,708,734,1442
IARE302005,265,286,256,542,65,76,141,634,700,1334,158,110,268,857,886,1743
IARE302006,254,308,201,509,156,182,338,449,476,925,168,100,268,773,758,1531
IARE302007,635,748,635,1383,313,333,646,1655,1695,3350,405,311,716,2373,2339,4712
IARE302008,675,1158,526,1684,575,192,767,1328,1385,2713,415,297,712,2318,1874,4192
IARE302009,319,356,357,713,205,229,434,600,716,1316,179,155,334,984,1100,2084
IARE302010,44,37,34,71,35,27,62,41,53,94,25,22,47,101,102,203
IARE302011,5,30,27,57,313,350,663,3,3,6,8,3,11,324,356,680
IARE303001,3,29,19,48,173,161,334,3,5,8,3,0,3,179,166,345
IARE303002,144,597,94,691,62,83,145,555,116,671,99,54,153,716,253,969
IARE303003,89,89,69,158,60,61,121,122,109,231,53,44,97,235,214,449
IARE303004,11,22,15,37,127,141,268,0,3,3,11,0,11,138,144,282
IARE303005,3,11,6,17,112,109,221,3,7,10,3,0,3,118,116,234
IARE303006,6,16,13,29,54,70,124,3,3,6,3,3,6,60,76,136
IARE303007,291,238,191,429,273,299,572,280,289,569,175,134,309,728,722,1450
IARE303008,27,75,72,147,344,365,709,32,26,58,16,11,27,392,402,794
IARE303009,3,7,4,11,68,67,135,6,3,9,3,0,3,77,70,147
IARE304001,58,86,62,148,61,43,104,127,149,276,36,26,62,224,218,442
IARE304002,315,304,258,562,480,453,933,105,105,210,190,131,321,775,689,1464
IARE304003,408,381,186,567,96,133,229,272,279,551,306,128,434,674,540,1214
IARE304004,2565,1879,1424,3303,568,603,1171,1776,1723,3499,1504,1126,2630,3848,3452,7300
IARE305001,473,487,396,883,88,118,206,1532,1589,3121,308,216,524,1928,1923,3851
IARE305002,365,347,339,686,97,128,225,858,980,1838,207,176,383,1162,1284,2446
IARE305003,3320,3282,3130,6412,595,656,1251,9282,10023,19305,1880,1650,3530,11757,12329,24086
IARE305004,2013,1739,1086,2825,323,299,622,3150,3130,6280,1327,779,2106,4800,4208,9008
IARE305005,3067,3746,3267,7013,809,728,1537,9902,10813,20715,1772,1522,3294,12483,13063,25546
IARE305006,3389,2730,2194,4924,360,390,750,6156,6489,12645,2023,1495,3518,8539,8374,16913
IARE305007,1934,1684,787,2471,104,96,200,2451,2444,4895,1444,554,1998,3999,3094,7093
IARE305008,483,482,429,911,104,116,220,911,1033,1944,268,240,508,1283,1389,2672
IARE305009,5902,5548,4510,10058,1270,1230,2500,11863,12421,24284,3476,2685,6161,16609,16336,32945
IARE306001,214,227,169,396,136,150,286,361,433,794,151,78,229,648,661,1309
IARE306002,64,74,36,110,28,27,55,131,123,254,50,14,64,209,164,373
