region_id,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
IREG101,5445,5608,11053,68,76,144,71,71,142,5584,5755,11339,35003,36355,71358,2204,1995,4199,42791,44105,86896
IREG102,8107,8455,16562,163,183,346,145,130,275,8415,8768,17183,88388,90238,178626,5136,4798,9934,101939,103804,205743
IREG103,3651,3923,7574,20,30,50,33,35,68,3704,3988,7692,15596,14998,30594,1472,1272,2744,20772,20258,41030
IREG104,24218,25251,49469,800,742,1542,668,640,1308,25686,26633,52319,639878,675205,1315083,31104,28949,60053,696668,730787,1427455
IREG105,9678,9720,19398,271,219,490,139,144,283,10088,10083,20171,207314,210425,417739,11032,9717,20749,228434,230225,458659
IREG106,5168,5229,10397,125,138,263,89,85,174,5382,5452,10834,148914,153212,302126,8457,7606,16063,162753,166270,329023
IREG107,24260,25043,49303,974,929,1903,467,500,967,25701,26472,52173,2002460,2073345,4075805,119711,108133,227844,2147872,2207950,4355822
IREG194,482,372,854,22,11,33,18,7,25,522,390,912,6224,4450,10674,846,484,1330,7592,5324,12916
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,52,53,105,4,3,7,56,56,112
IREG201,7856,8020,15876,619,607,1226,246,239,485,8721,8866,17587,1829782,1905887,3735669,98603,88947,187550,1937106,2003700,3940806
IREG202,9115,9681,18796,468,464,932,200,194,394,9783,10339,20122,650803,675404,1326207,30219,28343,58562,690805,714086,1404891
IREG294,167,108,275,4,0,4,0,3,3,171,111,282,4048,3198,7246,452,326,778,4671,3635,8306
IREG297,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,4,0,4,36,0,36
IREG301,23118,23762,46880,1898,1782,3680,1310,1398,2708,26326,26942,53268,1325445,1381787,2707232,73081,64385,137466,1424852,1473114,2897966
IREG302,7388,7958,15346,2432,2521,4953,1532,1635,3167,11352,12114,23466,91629,92292,183921,7918,6674,14592,110899,111080,221979
IREG303,2830,2904,5734,590,614,1204,787,841,1628,4207,4359,8566,3531,2586,6117,438,300,738,8176,7245,15421
IREG304,3439,3621,7060,76,79,155,122,97,219,3637,3797,7434,11633,9707,21340,2237,1596,3833,17507,15100,32607
IREG305,8063,8396,16459,591,529,1120,600,535,1135,9254,9460,18714,197533,196539,394072,14736,11332,26068,221523,217331,438854
IREG306,6992,7352,14344,219,235,454,173,215,388,7384,7802,15186,147764,152027,299791,8703,7557,16260,163851,167386,331237
IREG307,61,73,134,2448,2467,4915,437,435,872,2946,2975,5921,632,550,1182,214,172,386,3792,3697,7489
IREG308,8119,8214,16333,1751,1790,3541,1339,1327,2666,11209,11331,22540,165029,163006,328035,13953,9641,23594,190191,183978,374169
IREG394,345,255,600,42,28,70,31,20,51,418,303,721,5944,4683,10627,789,406,1195,7151,5392,12543
IREG397,6,0,6,4,0,4,0,0,0,10,0,10,220,168,388,47,27,74,277,195,472
IREG401,9582,9817,19399,439,482,921,215,225,440,10236,10524,20760,686128,713780,1399908,29735,27020,56755,726099,751324,1477423
IREG402,3460,3548,7008,42,58,100,54,44,98,3556,3650,7206,35926,34177,70103,2629,2029,4658,42111,39856,81967
IREG403,1077,1193,2270,6,11,17,8,6,14,1091,1210,2301,15430,15090,30520,703,582,1285,17224,16882,34106
IREG494,82,73,155,3,0,3,3,4,7,88,77,165,1548,1119,2667,144,92,236,1780,1288,3068
IREG497,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
IREG501,2051,2091,4142,31,19,50,80,100,180,2162,2210,4372,4798,4514,9312,710,614,1324,7670,7338,15008
IREG502,3009,3197,6206,30,30,60,35,31,66,3074,3258,6332,25305,24209,49514,2011,1541,3552,30390,29008,59398
IREG503,2618,2853,5471,42,32,74,30,43,73,2690,2928,5618,25084,21995,47079,3507,2370,5877,31281,27293,58574
IREG504,2611,2816,5427,12,18,30,27,21,48,2650,2855,5505,2767,2338,5105,460,297,757,5877,5490,11367
IREG505,12111,12315,24426,320,292,612,253,242,495,12684,12849,25533,757373,775900,1533273,47375,39390,86765,817432,828139,1645571
IREG506,3559,3252,6811,150,97,247,100,98,198,3809,3447,7256,26706,17098,43804,7650,3576,11226,38165,24121,62286
IREG507,4994,5216,10210,101,107,208,63,68,131,5158,5391,10549,169644,170970,340614,10936,8742,19678,185738,185103,370841
IREG508,1878,2063,3941,8,4,12,40,50,90,1926,2117,4043,2637,1005,3642,395,335,730,4958,3457,8415
IREG594,241,184,425,9,3,12,11,5,16,261,192,453,3515,2586,6101,509,234,743,4285,3012,7297
IREG597,3,0,3,3,0,3,0,0,0,6,0,6,312,28,340,63,5,68,381,33,414
IREG601,8657,9007,17664,568,602,1170,342,368,710,9567,9977,19544,222366,232950,455316,10043,9259,19302,241976,252186,494162
IREG694,58,16,74,0,0,0,0,0,0,58,16,74,514,414,928,41,30,71,613,460,1073
IREG697,3,0,3,0,3,3,3,0,3,6,3,9,74,27,101,3,3,6,83,33,116
IREG701,2156,2440,4596,18,22,40,27,26,53,2201,2488,4689,9179,9232,18411,1175,911,2086,12555,12631,25186
IREG702,4204,4114,8318,5,3,8,27,21,48,4236,4138,8374,1185,883,2068,267,173,440,5688,5194,10882
IREG703,5141,5135,10276,264,224,488,420,442,862,5825,5801,11626,51265,47444,98709,7015,5451,12466,64105,58696,122801
IREG704,5118,5151,10269,20,8,28,47,34,81,5185,5193,10378,1605,1177,2782,229,143,372,7019,6513,13532
IREG705,4025,4311,8336,28,27,55,104,142,246,4157,4480,8637,3921,3592,7513,543,446,989,8621,8518,17139
IREG706,4420,4579,8999,23,17,40,107,109,216,4550,4705,9255,2745,2261,5006,249,193,442,7544,7159,14703
IREG707,1780,1869,3649,9,4,13,12,10,22,1801,1883,3684,898,784,1682,177,181,358,2876,2848,5724
IREG794,77,52,129,0,0,0,4,0,4,81,52,133,797,711,1508,142,86,228,1020,849,1869
IREG797,0,0,0,0,0,0,0,0,0,0,0,0,78,15,93,11,3,14,89,18,107
IREG801,2462,2368,4830,99,89,188,76,59,135,2637,2516,5153,166102,171358,337460,7675,6296,13971,176414,180170,356584
IREG894,14,13,27,0,0,0,3,0,3,17,13,30,286,284,570,24,7,31,327,304,631
IREG897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
IREG901,6,8,14,3,0,3,0,0,0,9,8,17,1679,812,2491,60,55,115,1748,875,2623
IREG902,108,113,221,0,3,3,3,0,3,111,116,227,90,42,132,11,8,19,212,166,378
IREG994,0,0,0,0,0,0,0,0,0,0,0,0,7,18,25,0,0,0,7,18,25
IREG997,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3
