region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IREG101,3128,3668,3220,6888,2514,2358,4872,8767,9497,18264,1814,1585,3399,13095,13440,26535
IREG102,7569,7944,7465,15409,3507,3592,7099,22962,24375,47337,4260,3886,8146,30729,31853,62582
IREG103,2158,2228,1994,4222,1435,1511,2946,3335,3578,6913,1229,1041,2270,5999,6130,12129
IREG104,44519,46437,46197,92634,11298,11679,22977,164498,177188,341686,25477,22922,48399,201273,211789,413062
IREG105,15561,17880,15377,33257,4609,4367,8976,55370,58128,113498,9070,7787,16857,69049,70282,139331
IREG106,12564,12476,11081,23557,2455,2346,4801,36971,39042,76013,7121,6197,13318,46547,47585,94132
IREG107,179442,158956,148787,307743,11459,11015,22474,577027,592198,1169225,102213,89928,192141,690699,693141,1383840
IREG194,1154,1957,862,2819,248,178,426,1727,1152,2879,762,416,1178,2737,1746,4483
IREG197,7,8,3,11,0,0,0,8,0,8,7,3,10,15,3,18
IREG201,142590,133740,128444,262184,3622,3715,7337,513462,537349,1050811,82153,72250,154403,599237,613314,1212551
IREG202,43154,47420,45037,92457,4250,4501,8751,167899,178518,346417,24465,22325,46790,196614,205344,401958
IREG294,666,1182,653,1835,91,65,156,1237,961,2198,397,289,686,1725,1315,3040
IREG297,3,6,0,6,0,0,0,3,0,3,3,0,3,6,0,6
IREG301,109773,100028,91492,191520,10918,11005,21923,350756,375708,726464,62868,53758,116626,424542,440471,865013
IREG302,11987,11220,9593,20813,4531,4456,8987,21203,23692,44895,6875,5680,12555,32609,33828,66437
IREG303,577,1089,481,1570,1266,1361,2627,1010,557,1567,363,252,615,2639,2170,4809
IREG304,3344,2646,1932,4578,1202,1236,2438,2284,2247,4531,2033,1412,3445,5519,4895,10414
IREG305,20950,20039,16147,36186,3744,3763,7507,46101,48927,95028,12706,9317,22023,62551,62007,124558
IREG306,12648,12042,11420,23462,2849,3014,5863,36112,39008,75120,7339,6138,13477,46300,48160,94460
IREG307,311,397,352,749,1109,1047,2156,122,130,252,189,143,332,1420,1320,2740
IREG308,19339,17729,13150,30879,4439,4425,8864,39191,42465,81656,12255,7955,20210,55885,54845,110730
IREG394,1080,1297,648,1945,166,137,303,858,709,1567,729,361,1090,1753,1207,2960
IREG397,67,53,35,88,0,0,0,36,28,64,43,24,67,79,52,131
IREG401,41490,45035,43524,88559,4588,4521,9109,179240,191643,370883,24245,20958,45203,208073,217122,425195
IREG402,3668,4057,3246,7303,1388,1345,2733,8299,8485,16784,2248,1633,3881,11935,11463,23398
IREG403,943,1255,1118,2373,463,511,974,3482,3767,7249,573,448,1021,4518,4726,9244
IREG494,183,302,158,460,34,32,66,332,245,577,115,71,186,481,348,829
IREG497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG501,1155,1131,861,1992,867,822,1689,1086,1185,2271,637,544,1181,2590,2551,5141
IREG502,2791,3101,2410,5511,1389,1301,2690,5634,5938,11572,1699,1260,2959,8722,8499,17221
IREG503,5095,4270,3037,7307,1001,973,1974,5627,5682,11309,3182,2065,5247,9810,8720,18530
IREG504,629,694,519,1213,971,1026,1997,445,476,921,399,258,657,1815,1760,3575
IREG505,70178,64675,55672,120347,5872,5246,11118,206168,213909,420077,41146,32912,74058,253186,252067,505253
IREG506,10433,8303,3930,12233,1388,1180,2568,4473,4053,8526,7265,3272,10537,13126,8505,21631
IREG507,15681,15512,12911,28423,2306,2187,4493,39760,41843,81603,9386,7157,16543,51452,51187,102639
IREG508,653,1940,464,2404,660,690,1350,1591,205,1796,362,294,656,2613,1189,3802
IREG594,674,918,455,1373,150,126,276,587,406,993,474,209,683,1211,741,1952
IREG597,59,58,5,63,0,0,0,20,0,20,54,5,59,74,5,79
IREG601,13752,15935,15517,31452,3791,3863,7654,56695,60080,116775,7965,7064,15029,68451,71007,139458
IREG694,57,113,51,164,24,3,27,116,108,224,39,21,60,179,132,311
IREG697,6,6,3,9,0,3,3,3,6,9,6,0,6,9,9,18
IREG701,1732,1559,1346,2905,926,1013,1939,2297,2508,4805,1044,766,1810,4267,4287,8554
IREG702,365,1290,717,2007,1835,1422,3257,200,189,389,236,145,381,2271,1756,4027
IREG703,10973,9511,6681,16192,2672,2271,4943,13097,13562,26659,6398,4910,11308,22167,20743,42910
IREG704,310,528,366,894,1806,1667,3473,280,262,542,204,119,323,2290,2048,4338
IREG705,817,1066,950,2016,1547,1610,3157,903,971,1874,469,385,854,2919,2966,5885
IREG706,355,592,498,1090,1676,1605,3281,684,692,1376,218,167,385,2578,2464,5042
IREG707,306,437,414,851,687,651,1338,139,165,304,157,159,316,983,975,1958
IREG794,207,160,117,277,16,19,35,81,78,159,128,79,207,225,176,401
IREG797,10,7,3,10,0,0,0,0,3,3,7,3,10,7,6,13
IREG801,11248,9895,8546,18441,1108,1091,2199,49759,50710,100469,6677,5319,11996,57544,57120,114664
IREG894,30,45,18,63,3,6,9,87,67,154,23,7,30,113,80,193
IREG897,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
IREG901,72,837,83,920,6,0,6,951,211,1162,40,47,87,997,258,1255
IREG902,15,17,10,27,38,44,82,25,10,35,10,5,15,73,59,132
IREG994,0,0,0,0,0,0,0,3,4,7,0,0,0,3,4,7
IREG997,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
