region_id,M_T_20_24_PD_GD_GCL,M_T_20_24_BDL,M_T_20_24_ADip_DipL,M_T_20_24_CL_nfd,M_T_20_24_Ct_III_IV,M_T_20_24_Ct_I_II,M_T_20_24_LoE_NS,M_T_20_24_Tot,M_T_25_34_PD_GD_GCL,M_T_25_34_BDL,M_T_25_34_ADip_DipL,M_T_25_34_CL_nfd,M_T_25_34_Ct_III_IV,M_T_25_34_Ct_I_II,M_T_25_34_LoE_NS,M_T_25_34_Tot,M_T_35_44_PD_GD_GCL,M_T_35_44_BDL,M_T_35_44_ADip_DipL,M_T_35_44_CL_nfd,M_T_35_44_Ct_III_IV,M_T_35_44_Ct_I_II,M_T_35_44_LoE_NS,M_T_35_44_Tot,M_T_45_54_PD_GD_GCL,M_T_45_54_BDL,M_T_45_54_ADip_DipL,M_T_45_54_CL_nfd,M_T_45_54_Ct_III_IV,M_T_45_54_Ct_I_II,M_T_45_54_LoE_NS,M_T_45_54_Tot,M_T_55_64_PD_GD_GCL,M_T_55_64_BDL,M_T_55_64_ADip_DipL,M_T_55_64_CL_nfd,M_T_55_64_Ct_III_IV,M_T_55_64_Ct_I_II,M_T_55_64_LoE_NS,M_T_55_64_Tot,M_T_65ov_PtgdDe_GdDp_GdCt,M_T_65ov_BDL,M_T_65ov_ADip_DipL,M_T_65ov_CL_nfd,M_T_65ov_Ct_III_IV,M_T_65ov_Ct_I_II,M_T_65ov_LoE_NS,M_T_65ov_Tot,M_T_Tot_PD_GD_GCL,M_T_Tot_BDL,M_T_Tot_ADip_DipL,M_T_Tot_CL_nfd,M_T_Tot_Ct_III_IV,M_T_Tot_Ct_I_II,M_T_Tot_LoE_NS,M_T_Tot_Tot,F_Ind_15_19_PD_GD_GCL,F_Ind_15_19_BDL,F_Ind_15_19_ADip_DipL,F_Ind_15_19_CL_nfd,F_Ind_15_19_Ct_III_IV,F_Ind_15_19_Ct_I_II,F_Ind_15_19_LoE_NS,F_Ind_15_19_Tot,F_Ind_20_24_PD_GD_GCL,F_Ind_20_24_BDL,F_Ind_20_24_ADip_DipL,F_Ind_20_24_CL_nfd,F_Ind_20_24_Ct_III_IV,F_Ind_20_24_Ct_I_II,F_Ind_20_24_LoE_NS,F_Ind_20_24_Tot,F_Ind_25_34_PD_GD_GCL,F_Ind_25_34_BDL,F_Ind_25_34_ADip_DipL,F_Ind_25_34_CL_nfd,F_Ind_25_34_Ct_III_IV,F_Ind_25_34_Ct_I_II,F_Ind_25_34_LoE_NS,F_Ind_25_34_Tot,F_Ind_35_44_PD_GD_GCL,F_Ind_35_44_BDL,F_Ind_35_44_ADip_DipL,F_Ind_35_44_CL_nfd,F_Ind_35_44_Ct_III_IV,F_Ind_35_44_Ct_I_II,F_Ind_35_44_LoE_NS,F_Ind_35_44_Tot,F_Ind_45_54_PD_GD_GCL,F_Ind_45_54_BDL,F_Ind_45_54_ADip_DipL,F_Ind_45_54_CL_nfd,F_Ind_45_54_Ct_III_IV,F_Ind_45_54_Ct_I_II,F_Ind_45_54_LoE_NS,F_Ind_45_54_Tot,F_Ind_55_64_PD_GD_GCL,F_Ind_55_64_BDL,F_Ind_55_64_ADip_DipL,F_Ind_55_64_CL_nfd,F_Ind_55_64_Ct_III_IV,F_Ind_55_64_Ct_I_II,F_Ind_55_64_LoE_NS,F_Ind_55_64_Tot,F_Ind_65ov_PtgdDe_GdDp_GdCt,F_Ind_65ov_BDL,F_Ind_65ov_ADip_DipL,F_Ind_65ov_CL_nfd,F_Ind_65ov_Ct_III_IV,F_Ind_65ov_Ct_I_II,F_Ind_65ov_LoE_NS,F_Ind_65ov_Tot,F_Ind_TotPdDe_GdDp_GdCt,F_Ind_Tot_BDL,F_Ind_Tot_ADip_DipL,F_Ind_Tot_CL_nfd,F_Ind_Tot_Ct_III_IV,F_Ind_Tot_Ct_I_II,F_Ind_Tot_LoE_NS,F_Ind_Tot_Tot,F_NonI_15_19_PD_GD_GCL,F_NonI_15_19_BDL,F_NonI_15_19_ADip_DipL,F_NonI_15_19_CL_nfd,F_NonI_15_19_Ct_III_IV,F_NonI_15_19_Ct_I_II,F_NonI_15_19_LoE_NS,F_NonI_15_19_Tot,F_NonI_20_24_PD_GD_GCL,F_NonI_20_24_BDL,F_NonI_20_24_ADip_DipL,F_NonI_20_24_CL_nfd,F_NonI_20_24_Ct_III_IV,F_NonI_20_24_Ct_I_II,F_NonI_20_24_LoE_NS,F_NonI_20_24_Tot,F_NonI_25_34_PD_GD_GCL,F_NonI_25_34_BDL,F_NonI_25_34_ADip_DipL,F_NonI_25_34_CL_nfd,F_NonI_25_34_Ct_III_IV,F_NonI_25_34_Ct_I_II,F_NonI_25_34_LoE_NS,F_NonI_25_34_Tot,F_NonI_35_44_PD_GD_GCL,F_NonI_35_44_BDL,F_NonI_35_44_ADip_DipL,F_NonI_35_44_CL_nfd,F_NonI_35_44_Ct_III_IV,F_NonI_35_44_Ct_I_II,F_NonI_35_44_LoE_NS,F_NonI_35_44_Tot,F_NonI_45_54_PD_GD_GCL,F_NonI_45_54_BDL,F_NonI_45_54_ADip_DipL,F_NonI_45_54_CL_nfd,F_NonI_45_54_Ct_III_IV,F_NonI_45_54_Ct_I_II,F_NonI_45_54_LoE_NS,F_NonI_45_54_Tot,F_NonI_55_64_PD_GD_GCL,F_NonI_55_64_BDL,F_NonI_55_64_ADip_DipL,F_NonI_55_64_CL_nfd,F_NonI_55_64_Ct_III_IV,F_NonI_55_64_Ct_I_II,F_NonI_55_64_LoE_NS,F_NonI_55_64_Tot,F_NonI_65ov_PtgdDe_GdDp_GdCt,F_NonI_65ov_BDL,F_NonI_65ov_ADip_DipL,F_NonI_65ov_CL_nfd,F_NonI_65ov_Ct_III_IV,F_NonI_65ov_Ct_I_II,F_NonI_65ov_LoE_NS,F_NonI_65ov_Tot,F_NonI_Tot_PD_GD_GCL,F_NonI_Tot_BDL,F_NonI_Tot_ADip_DipL,F_NonI_Tot_CL_nfd,F_NonI_Tot_Ct_III_IV,F_NonI_Tot_Ct_I_II,F_NonI_Tot_LoE_NS,F_NonI_Tot_Tot,F_IS_NS_15_19_PD_GD_GCL,F_IS_NS_15_19_BDL,F_IS_NS_15_19_ADip_DipL,F_IS_NS_15_19_CL_nfd,F_IS_NS_15_19_Crt_III_an_IV_L,F_IS_NS_15_19_Ct_I_II,F_IS_NS_15_19_LoE_NS,F_IS_NS_15_19_Tot,F_IS_NS_20_24_PD_GD_GCL,F_IS_NS_20_24_BDL,F_IS_NS_20_24_ADip_DipL,F_IS_NS_20_24_CL_nfd,F_IS_NS_20_24_Crt_III_an_IV_L,F_IS_NS_20_24_Ct_I_II,F_IS_NS_20_24_LoE_NS,F_IS_NS_20_24_Tot
IREG101,0,82,42,30,650,54,310,1168,92,400,170,59,1406,85,568,2780,129,446,306,77,1601,66,560,3185,152,350,347,69,1759,56,627,3360,121,328,267,62,1312,41,545,2676,59,155,202,74,1221,14,1098,2823,553,1761,1334,385,8086,364,4108,16591,0,0,3,3,31,12,83,132,0,8,9,9,68,17,46,157,3,39,26,11,104,39,76,298,4,38,46,24,100,27,89,328,10,28,37,14,73,6,57,225,5,16,18,4,25,4,46,118,4,4,4,0,3,0,54,69,26,133,143,65,404,105,451,1327,0,3,4,7,99,53,164,330,12,214,108,50,393,99,78,954,154,1055,334,72,831,154,143,2743,204,830,472,143,847,120,257,2873,212,574,553,185,774,127,416,2841,178,431,436,167,429,79,492,2212,64,285,360,113,170,43,1202,2237,824,3392,2267,737,3543,675,2752,14190,0,0,0,0,0,0,121,121,0,3,0,0,5,0,83,91
IREG102,6,236,133,65,1615,167,592,2814,219,1064,531,134,3465,200,1158,6771,413,1025,880,146,3666,159,1322,7611,467,909,819,176,4170,105,1394,8040,526,975,747,181,3316,81,1409,7235,371,594,584,186,2931,54,2671,7391,2002,4806,3706,920,19495,847,9369,41145,0,0,3,9,25,24,140,201,0,10,13,4,95,31,67,220,4,31,53,18,182,48,100,436,7,51,62,29,154,37,133,473,13,51,74,16,107,15,107,383,5,15,33,8,29,11,94,195,0,7,11,0,7,0,84,109,29,165,249,84,599,166,725,2017,0,3,23,50,289,111,398,874,38,504,285,128,954,250,212,2371,443,2041,837,223,1995,330,349,6218,637,1849,1293,339,1882,311,594,6905,666,1483,1428,437,1879,290,963,7146,563,1215,1039,395,1097,217,1178,5704,239,851,957,244,445,102,3170,6008,2586,7946,5862,1816,8541,1611,6864,35226,0,0,0,0,0,0,292,292,0,3,0,0,3,3,244,253
IREG103,3,35,24,12,277,15,161,527,35,192,100,30,576,35,294,1262,48,136,160,35,661,34,324,1398,43,121,151,31,786,17,373,1522,48,113,105,22,686,22,416,1412,13,38,63,26,557,7,745,1449,190,635,603,159,3600,145,2486,7818,0,0,0,0,5,5,71,81,0,4,3,8,30,16,40,101,3,22,19,4,59,8,51,166,3,24,25,12,55,26,65,210,6,20,23,7,44,5,59,164,3,15,9,5,11,4,45,92,3,0,0,0,5,0,43,51,18,85,79,36,209,64,374,865,0,0,4,8,25,19,53,109,6,96,37,13,160,41,23,376,66,362,142,30,309,57,74,1040,83,270,172,40,290,40,93,988,92,213,199,54,329,49,185,1121,52,159,119,42,184,29,220,805,20,91,83,30,70,8,763,1065,319,1191,756,217,1367,243,1411,5504,0,0,0,0,0,3,58,61,0,0,0,0,0,0,58,58
IREG104,91,1967,1196,432,9748,941,3398,17773,1754,8574,4529,883,23575,1279,6237,46831,3252,9831,7301,933,28336,864,7433,57950,4000,8455,7548,1234,32971,721,8903,63832,4288,8649,7059,1663,28151,663,8976,59449,2859,6566,6612,1763,32465,510,19815,70590,16244,44061,34332,7071,156999,5544,59539,323790,0,0,7,28,109,84,316,544,0,56,76,54,418,122,170,896,33,209,208,79,596,144,260,1529,51,254,279,92,608,101,350,1735,77,197,269,92,404,70,328,1437,34,118,146,38,150,31,232,749,14,30,38,16,18,7,301,424,209,864,1023,399,2303,559,1957,7314,5,18,261,298,1746,876,2653,5857,176,3386,2499,746,6956,1390,1354,16507,2823,15126,7358,1645,14277,2232,2550,46011,4582,15036,11057,2699,14317,2223,4362,54276,4851,11995,11664,3418,14477,2317,7010,55732,4329,9645,9534,3257,7891,1513,8480,44649,1883,6364,7974,2763,4447,738,26187,50356,18649,61570,50347,14826,64111,11289,52596,273388,0,0,3,3,10,6,1364,1386,0,14,18,7,34,6,1182,1261
IREG105,17,549,305,142,3928,333,1522,6796,496,2541,1184,273,8164,442,2689,15789,873,2764,1891,307,8826,283,2975,17919,1041,2101,2030,400,9675,262,3112,18621,1029,2060,1845,463,7497,182,3164,16240,635,1273,1472,350,6951,121,6064,16866,4091,11291,8747,1999,45817,1823,21359,95127,0,0,3,12,42,25,133,215,0,18,25,16,125,30,77,291,3,64,53,24,236,44,111,535,23,63,73,28,177,38,126,528,10,48,69,13,121,26,130,417,8,31,32,8,40,5,95,219,3,5,6,4,11,5,110,144,47,229,261,105,752,173,782,2349,0,6,71,78,613,318,957,2043,71,1180,634,260,2411,520,437,5513,903,5108,2116,491,4743,793,835,14989,1319,4581,2869,850,4437,760,1460,16276,1349,3390,3116,966,4047,730,2287,15885,1115,2586,2571,791,2321,494,2773,12651,445,1822,2097,579,1047,181,7093,13264,5202,18673,13474,4015,19619,3796,15842,80621,0,0,3,0,12,6,511,532,3,3,5,3,11,3,506,534
IREG106,18,279,218,88,2064,200,895,3762,433,1381,865,156,4910,234,1699,9678,1055,2146,1699,238,6464,185,2096,13883,1314,2212,1953,310,7656,211,2465,16121,1441,2500,1888,400,6607,156,2384,15376,1113,2317,1898,411,7800,107,4798,18444,5374,10835,8543,1636,35892,1224,15532,79036,0,0,7,3,28,10,56,104,0,10,17,6,69,25,26,153,14,38,37,17,118,30,58,312,16,46,54,12,110,24,58,320,24,53,55,14,91,12,78,327,18,25,27,6,26,3,51,156,7,7,11,3,3,0,61,92,79,179,208,61,445,104,388,1464,0,0,33,53,317,183,656,1242,59,494,458,169,1396,247,294,3117,752,2729,1461,335,2850,431,573,9131,1322,3526,2535,632,3116,583,966,12680,1527,3240,2824,807,3082,531,1658,13669,1566,2733,2661,822,1925,347,2012,12066,715,2031,2312,719,1078,215,5806,12876,5941,14753,12284,3537,13764,2537,11965,64781,0,0,0,0,0,0,351,351,3,0,0,4,9,0,287,303
IREG107,1875,20263,11835,1385,22631,1849,16201,76039,34325,82566,32452,3220,57390,2921,35476,248350,34547,67317,32630,3650,63052,2364,29737,233297,28339,50717,26275,4143,61821,2052,28045,201392,19799,35281,18145,4021,47099,1529,23806,149680,11422,23475,14778,3766,49426,1124,39075,143066,130333,279794,136828,20569,305279,12771,186638,1072212,3,0,10,19,145,73,262,512,8,120,109,50,394,100,192,973,97,417,286,66,639,135,301,1941,121,301,323,106,487,98,336,1772,119,242,272,69,301,41,332,1376,62,113,138,37,96,16,261,723,15,33,43,11,20,6,279,407,425,1226,1181,358,2082,469,1963,7704,46,225,1369,565,3667,1378,7554,14804,3269,29188,14496,2037,15461,2577,6025,73053,40205,108646,37931,5085,31674,5462,12604,241607,34722,80870,43630,8449,27984,5390,15983,217028,25332,52353,35712,9067,23333,4810,19467,170074,16743,31042,25081,7222,12962,2892,20120,116062,6819,18017,19333,5938,8512,1497,47102,107218,127136,320341,177552,38363,123593,24006,128855,939846,3,4,15,8,40,11,4693,4774,15,187,100,24,123,10,7423,7882
IREG194,6,83,24,5,76,21,146,361,88,226,71,21,240,13,407,1066,52,111,56,9,215,10,462,915,21,73,57,11,205,8,477,852,22,70,55,13,171,0,307,638,18,36,35,5,165,6,239,504,207,599,298,67,1087,68,2112,4438,0,0,0,0,3,0,5,8,0,0,0,3,3,3,6,15,3,4,3,0,6,0,34,50,0,0,3,0,6,3,25,37,0,3,0,3,3,3,18,30,0,0,0,0,4,0,7,11,3,0,3,0,0,0,3,9,6,7,9,6,25,9,98,160,0,0,3,5,16,13,39,76,9,96,41,13,55,16,39,269,107,304,75,20,93,22,104,725,40,116,72,22,47,12,86,395,44,54,54,26,64,9,77,328,39,68,67,20,39,10,78,321,0,27,22,10,19,3,118,199,239,665,334,116,333,85,541,2313,0,0,0,0,0,0,26,26,0,0,0,0,0,3,45,48
IREG197,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,4,0,3,0,0,0,0,3,6,0,0,0,0,4,0,3,7,0,0,0,0,8,0,8,16,0,3,0,0,22,0,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,6,0,0,3,0,0,0,7,10,0,3,6,0,3,3,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG201,1695,19749,12318,1253,22592,1645,13912,73164,29074,77688,29599,2860,54850,2502,28167,224740,28255,59115,26238,3021,60133,1734,23866,202362,23266,41424,22014,2939,57242,1361,22113,170359,16272,28238,18309,2572,41221,926,19288,126826,9615,18608,16390,2095,44096,672,36799,128275,108194,244938,125442,15111,284810,10000,156579,945074,0,0,4,8,45,18,118,193,5,49,51,20,150,27,61,363,46,179,122,38,232,46,89,752,45,140,123,29,163,27,105,632,43,80,101,19,107,18,95,463,41,35,55,5,38,7,77,258,5,16,20,3,13,3,109,169,185,499,476,122,748,146,654,2830,26,155,875,631,3840,1577,7557,14661,2754,28223,13689,2022,14730,2245,5562,69225,36805,100652,35628,4507,29475,4429,10486,221982,33024,72277,37276,6502,26438,3874,12900,192291,23533,44292,29933,6313,22801,3288,14888,145048,15361,27122,21077,4451,13139,2132,16308,99590,6329,16544,16235,3769,8106,945,46422,98350,117832,289265,154713,28195,118529,18490,114123,841147,0,9,11,5,33,15,3819,3892,14,182,119,27,121,18,5773,6254
IREG202,145,2166,1344,413,11152,859,3350,19429,2006,8809,4390,781,24021,1066,6487,47560,3423,9075,6592,830,28457,785,7577,56739,4055,7783,7209,1040,30129,586,8580,59382,4014,7471,7821,1219,23620,475,9045,53665,2406,4828,6513,950,22927,279,18814,56717,16049,40151,33951,5388,142738,4675,58747,301699,0,0,0,5,43,29,130,207,0,26,20,18,178,53,66,361,13,75,84,28,274,49,99,622,32,90,88,25,212,34,141,622,25,57,80,24,122,24,111,443,26,35,36,10,50,4,119,280,5,15,12,8,6,3,146,195,101,298,320,118,885,196,812,2730,5,19,175,260,1841,942,3001,6243,328,4005,2604,817,7107,1332,1372,17565,4001,16278,7792,1661,13931,2305,2604,48572,5771,15012,10432,2137,13432,1808,3978,52570,5721,11902,10570,2165,13119,1700,5759,50936,4677,9794,9118,1777,8035,1147,7432,41980,1896,6262,7344,1338,3713,474,22951,43978,22399,63272,48035,10155,61178,9708,47097,261844,0,3,0,3,11,3,1404,1424,3,17,16,6,32,8,1171,1253
IREG294,6,51,23,14,70,12,130,306,63,189,69,11,145,17,284,778,35,100,36,8,148,6,307,640,20,44,31,9,109,4,215,432,14,26,25,5,80,0,95,245,9,12,16,0,72,0,100,209,147,422,200,47,636,45,1195,2692,0,0,0,3,0,0,4,7,0,3,0,0,0,0,6,9,0,0,0,0,0,0,8,8,0,0,0,0,0,0,9,9,3,0,0,0,3,0,6,12,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,3,3,0,33,48,0,3,3,5,9,6,54,80,8,68,37,3,43,12,59,230,106,257,75,5,78,12,81,614,51,91,41,17,34,9,61,304,12,46,26,5,47,8,50,194,12,35,30,12,32,9,42,172,5,11,9,7,3,3,40,78,194,511,221,54,246,59,387,1672,0,0,0,0,0,0,11,11,0,0,0,0,0,0,33,33
