region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
LGA10050,576,170,1066,8739,10398,4648,3762,7904,3058,38509
LGA10110,208,88,470,4370,5309,2471,1821,3819,1715,19505
LGA10150,729,225,1234,8427,8870,3376,2334,8827,3166,35000
LGA10200,476,131,857,11518,10986,4659,4424,20059,7595,59241
LGA10250,679,272,1399,6353,8794,4866,3748,6037,2433,32231
LGA10300,13,14,37,318,402,192,231,440,231,1814
LGA10350,1910,766,3923,27588,28705,13815,13687,44970,14038,142803
LGA10470,346,90,648,6513,8220,3987,3299,5520,2983,30522
LGA10550,327,203,804,4580,7057,4127,3641,4789,2165,26359
LGA10600,146,45,318,1700,2855,1729,1544,1584,661,10073
LGA10650,79,104,255,1176,1582,919,875,1428,689,6669
LGA10750,1596,488,2772,48209,54063,24251,22890,61490,18737,229640
LGA10800,75,31,152,859,1044,592,716,1017,352,4580
LGA10850,51,15,98,1001,1467,725,695,1052,477,5417
LGA10900,681,338,1555,13201,18209,9280,7189,8935,4330,61144
LGA10950,32,8,49,354,475,270,297,556,265,2217
LGA11000,34,23,88,360,527,272,296,347,163,1965
LGA11050,23,7,48,321,476,244,301,444,147,1933
LGA11100,355,102,671,7125,7433,2948,2492,9229,2985,32212
LGA11150,11,7,18,307,486,215,212,493,428,2141
LGA11200,5,7,21,225,291,149,124,417,113,1319
LGA11250,223,149,490,2236,3419,1860,1772,3939,1952,15178
LGA11300,383,195,810,6340,5905,2572,2077,8335,2417,27646
LGA11350,287,108,572,5183,6848,3348,2660,3693,2088,23820
LGA11400,128,46,247,1889,2560,1446,1403,2087,629,10014
LGA11450,429,97,766,10054,11781,5581,4467,8467,2605,42955
LGA11500,591,447,1367,24352,26900,12498,11510,28587,10105,113952
LGA11520,658,300,1506,15926,16422,6765,4836,13692,5376,63017
LGA11550,925,508,2225,21760,22535,10015,9504,34416,11767,109997
LGA11600,19,4,35,420,455,248,300,463,145,2031
LGA11700,6,0,15,266,405,184,179,393,149,1576
LGA11720,497,134,865,7219,9525,4906,5290,9131,3912,39983
LGA11730,660,222,1249,6591,9949,5952,5990,8415,3548,40445
LGA11750,38,11,62,643,887,440,446,835,405,3656
LGA11800,756,426,1706,10774,14920,7846,6461,10703,4603,55307
LGA11860,3,3,12,251,287,145,179,209,96,1167
LGA12000,52,28,103,600,758,397,489,631,305,3180
LGA12050,112,36,251,1557,2140,1145,936,1391,729,7898
LGA12150,31,14,73,558,728,363,356,841,324,3170
LGA12200,111,27,199,996,1444,827,759,1359,564,5949
LGA12300,102,106,307,1565,2198,1230,1146,2006,841,8986
LGA12350,156,49,326,1621,2247,1360,1297,2249,1063,9837
LGA12500,103,51,214,977,1426,793,667,1294,613,5770
LGA12600,359,105,706,6201,8247,4143,3249,5961,2291,30092
LGA12700,76,23,166,1256,1761,996,987,1270,490,6760
LGA12750,537,207,1130,4860,7724,4653,3967,5766,2890,29860
LGA12850,1443,408,2485,28461,26646,12362,12676,56126,13276,149547
LGA12900,120,45,231,1339,1747,948,917,1672,616,7239
LGA12950,48,29,114,580,784,464,521,789,358,3496
LGA13010,129,24,221,1186,1689,983,960,1542,730,7090
LGA13050,83,26,141,669,995,671,577,889,295,4096
LGA13100,2128,1286,5129,28191,35144,17586,14288,25230,11623,132062
LGA13310,266,129,585,4149,5654,2993,2534,4626,2310,22266
LGA13320,507,412,1335,4440,7005,4405,4015,6211,3063,29139
LGA13340,104,37,205,1485,1896,1083,1112,1508,654,7738
LGA13380,639,216,1246,6157,9217,5809,5299,8111,3266,37859
LGA13450,216,116,481,3696,4255,2307,2062,4452,2109,18881
LGA13500,43,20,87,501,649,380,458,605,285,2878
LGA13550,98,90,269,1804,2228,1194,1295,1992,1000,9513
LGA13650,49,15,90,595,786,462,477,792,316,3428
LGA13660,70,17,133,625,892,574,614,1010,306,4021
LGA13700,43,17,88,504,669,400,448,630,237,2888
LGA13800,462,146,865,10568,13105,6666,5739,9213,3695,48986
LGA13850,41,9,65,391,540,280,303,614,231,2359
LGA13950,687,437,1585,15694,17202,7861,7541,22639,7475,78412
LGA14000,1692,682,3816,30798,34886,17490,13036,24006,6184,126400
LGA14100,400,70,645,2646,2692,1318,972,2450,615,10693
LGA14150,1070,321,2124,14282,15242,7268,5779,17899,4391,64861
LGA14200,111,145,367,2204,3062,1737,1740,2710,1205,12658
LGA14250,17,7,33,235,243,181,156,268,124,1207
LGA14300,37,24,96,770,936,541,549,812,1138,4746
LGA14350,406,120,717,3518,5298,3215,3125,5036,2471,22663
LGA14400,273,103,615,3403,4737,2648,1939,2782,968,16477
LGA14450,537,210,1242,10578,10861,5085,3992,12299,3143,45958
LGA14500,1387,634,3481,21680,23321,12365,9577,15007,4831,86781
LGA14550,90,47,204,1202,1862,1151,1226,1382,646,7469
LGA14600,75,32,160,868,1160,632,754,1154,528,5096
LGA14650,2331,862,4816,31717,40229,21324,17815,31965,10782,153832
LGA14700,352,127,762,7174,7494,3064,2131,4232,1441,25536
LGA14750,90,44,191,1581,2058,1075,977,1734,1001,8426
LGA14800,279,148,630,13167,13429,4466,2752,6296,3300,43410
LGA14850,450,120,865,6925,9754,5172,4212,5933,2353,34349
LGA14870,181,85,386,2806,3910,2109,2201,3552,1810,16388
LGA14900,810,324,1559,27586,28961,13108,12826,41695,13721,137897
LGA14920,85,27,170,1046,1353,802,878,1403,540,6022
LGA14950,53,15,91,430,574,322,360,504,176,2366
LGA15050,515,198,1054,11000,13981,7140,6361,10380,3792,52654
LGA15150,274,187,858,9345,8750,3594,2599,5247,2697,32232
LGA15200,471,166,903,18514,18672,5766,3675,12437,6201,65265
LGA15270,244,98,463,3184,4352,2347,2454,3752,1705,17794
LGA15300,90,25,166,1897,2344,1178,1135,2413,1317,10284
LGA15350,348,140,837,6267,6019,2570,1902,3710,1964,22432
LGA15500,69,26,148,1041,1437,782,691,1321,498,5770
LGA15550,12,3,27,304,404,215,221,429,174,1747
LGA15650,82,35,170,2432,2956,1482,1472,2412,1435,12189
LGA15700,295,109,627,2426,3800,2247,2185,3297,1375,15330
LGA15750,128,29,229,1822,2438,1284,1299,2229,983,10055
LGA15800,82,26,162,788,1009,578,609,1157,521,4662
LGA15850,39,22,97,869,1208,609,720,1124,482,5012
LGA15900,1914,713,3863,29370,33277,14546,11191,25452,9389,123225
LGA15950,409,234,1074,18078,15958,4729,2761,8362,5467,55355
LGA16100,45,9,79,745,1014,538,504,817,404,4022
LGA16150,391,133,771,6194,7777,3761,3084,6283,2533,29632
LGA16180,45,15,107,2294,3555,1852,1329,1394,835,11259
LGA16200,196,64,370,2036,2667,1483,1455,2482,1193,11316
LGA16250,1388,684,3050,28541,30640,13725,11811,37826,12759,135302
LGA16350,831,451,1895,30609,35720,16457,14632,31001,11339,139758
LGA16370,678,289,1517,11145,13149,6536,4400,7479,3017,45726
LGA16380,1090,556,2455,10909,15844,8839,7638,11565,4957,59752
LGA16400,575,338,1380,9759,13386,7446,6622,10442,4521,52176
LGA16470,164,112,443,7433,9115,3564,2419,5410,2357,30298
LGA16550,1426,466,2775,30018,26447,9699,6732,24693,11898,109487
LGA16610,266,133,568,2941,4227,2425,2479,3782,1593,17447
LGA16650,1319,392,2476,17416,18084,7677,6238,23303,7693,80411
LGA16700,1160,440,2498,20564,22044,9633,7096,20779,5808,85924
LGA16900,463,151,919,9954,12533,6657,6002,11376,3520,50042
LGA16950,1221,570,2566,12885,18998,11053,10191,15617,7667,76411
LGA17000,149,31,267,3694,4607,2298,2346,3412,1310,17667
LGA17050,29,5,69,1390,1559,725,557,905,886,6022
LGA17100,359,113,670,6642,6096,2787,2248,8666,3005,29444
LGA17150,2066,860,4597,41661,46401,22490,17019,32402,10517,170490
LGA17200,610,440,1443,49122,36418,8515,4832,35259,23312,157458
LGA17310,579,243,1186,8616,11311,5944,5491,9110,4025,44497
LGA17350,80,32,168,784,1087,673,671,1005,379,4599
LGA17400,79,30,155,835,1331,801,866,1133,547,5513
LGA17420,914,237,1835,32870,36173,17888,14350,26003,6295,133579
LGA17450,39,19,87,482,659,377,335,541,341,2735
LGA17500,138,48,268,1470,2201,1220,1146,1954,734,8725
LGA17550,1356,669,2902,13142,17659,9579,8132,14866,6568,69946
LGA17620,146,48,288,2103,2746,1424,1401,2262,912,10848
LGA17640,63,21,147,1125,1510,887,812,1081,468,5883
LGA17650,37,19,87,912,1302,752,647,801,350,4764
LGA17700,12,7,25,178,180,123,154,198,83,916
LGA17750,539,221,1130,10562,12924,6028,4912,9212,3248,46886
LGA17800,48,19,100,609,724,381,480,714,356,3264
LGA17850,42,12,76,486,599,313,325,561,176,2460
LGA17900,34,18,74,806,1146,559,570,1265,737,5083
LGA17950,25,6,45,431,516,256,253,541,186,2183
LGA18000,1869,635,3877,29192,31358,13771,9941,21004,7164,112430
LGA18020,143,49,268,1222,1727,983,1164,1745,811,7652
LGA18050,541,346,1387,16910,12845,4138,2803,9710,7285,53691
LGA18100,44,17,97,516,670,437,461,624,267,2975
LGA18150,81,20,156,1022,1496,834,790,1487,1120,6749
LGA18200,31,44,108,946,1240,772,672,1126,517,5273
LGA18250,714,199,1509,14084,14647,6336,4546,11338,3544,54495
LGA18350,531,239,1168,6856,9598,5442,4872,6300,2717,35785
LGA18400,223,85,465,6932,8859,4667,4283,6195,2337,33273
LGA18450,2081,746,4265,34068,39747,19685,16371,34829,12045,156745
LGA18500,590,376,1544,13344,10876,3867,2692,7771,5556,44106
LGA18550,1811,897,3835,23462,29505,15730,14063,26096,10566,119422
LGA18710,96,66,222,2338,3557,1808,1392,1742,866,11703
LGA18750,180,67,324,1791,2183,1267,1227,2132,930,9530
LGA19399,12,0,12,180,236,113,111,278,60,978
LGA19499,66,48,123,2361,1818,643,574,3419,2924,11739
LGA20110,153,52,307,1878,2635,1492,1271,1799,780,9855
LGA20260,108,80,271,1652,2154,1178,1149,1950,1123,9206
LGA20570,839,511,2010,17005,19225,9303,8157,15442,6206,75338
LGA20660,1429,517,2910,23390,25999,12246,9566,19738,6294,97233
LGA20740,324,254,838,4484,6222,3450,3061,4879,2472,24568
LGA20830,342,219,847,7125,8683,4812,4583,6445,2638,34286
LGA20910,1459,579,3306,18569,19904,9544,7129,13443,5226,73815
LGA21010,215,78,419,2099,2837,1579,1541,2395,817,11268
LGA21110,2091,807,4631,36336,34984,15816,11478,24724,8079,131417
LGA21180,1076,487,2183,29947,29462,13131,12596,46946,15849,147931
LGA21270,111,44,245,970,1184,705,875,1082,405,5221
LGA21370,425,215,908,5655,7200,3938,3629,6030,2671,29123
LGA21450,449,141,849,12969,14982,7262,6533,11137,3963,56846
LGA21610,1431,448,2515,43841,46678,21174,18848,49121,14125,193787
LGA21670,188,84,399,1613,2343,1401,1462,2640,961,10420
LGA21750,240,118,543,3134,4037,2338,2172,3443,1367,16491
LGA21830,197,88,406,2549,2937,1847,1831,2693,1122,12979
LGA21890,1403,665,3079,27774,28333,11196,8954,27333,10637,114227
LGA22110,526,219,1111,5997,8663,5092,4940,7202,3037,34931
LGA22170,972,624,2292,23465,26099,11892,9984,22053,8652,102145
LGA22250,171,76,344,1453,1946,1194,1229,1853,811,8486
LGA22310,1900,777,4073,28715,28711,11771,7983,22634,7558,107372
LGA22410,230,69,432,2784,3953,2288,2056,3507,1345,15933
LGA22490,91,24,149,2745,3797,2113,2207,2659,904,14425
LGA22620,984,578,2267,17186,21282,10479,9369,16129,6465,80910
LGA22670,1442,392,2437,21913,21194,9531,8611,38530,11200,110979
LGA22750,2587,956,5254,37397,43706,21755,19057,36509,13499,171923
LGA22830,641,251,1262,9425,11538,5811,5127,11074,4523,47498
LGA22910,165,66,326,2181,3142,1669,1656,2157,1105,11910
LGA22980,170,35,272,864,1022,671,739,1098,372,4766
LGA23110,717,368,1613,15485,17254,7519,6288,16117,5997,68660
LGA23190,167,166,501,3290,3872,2154,1987,2965,1249,15517
LGA23270,587,254,1160,26336,27249,12612,12232,39405,11644,129478
LGA23350,193,45,328,2433,3415,1837,1468,2168,987,12308
LGA23430,1727,659,3552,28190,30264,13510,10233,26340,8785,117322
LGA23670,1292,447,2533,30007,31719,14770,11720,26493,6945,121654
LGA23810,736,265,1402,11046,14284,7536,7248,13001,5183,58298
LGA23940,105,42,228,1064,1361,812,983,1369,577,6166
LGA24130,322,96,627,6802,9279,4812,4427,5533,2113,32966
LGA24210,1195,563,2561,22360,22779,11801,9491,21177,5426,93034
LGA24250,81,35,163,1323,1673,881,816,1243,492,6428
LGA24330,550,227,1148,14353,14498,5475,4055,14825,6564,59770
LGA24410,1151,482,2379,20838,23057,10584,8434,16518,4915,84346
LGA24600,427,154,793,27528,19866,4725,2718,21215,10929,86981
LGA24650,363,97,657,17530,19957,8655,8448,20476,7193,82259
LGA24780,557,202,1118,7702,9484,5111,4660,9423,3902,40282
LGA24850,211,70,417,5443,6765,3463,3250,5698,2398,27017
LGA24900,381,182,796,4161,5304,2974,2857,5138,2253,22687
LGA24970,1704,846,3920,33817,35070,16638,12857,35020,9536,142938
LGA25060,1066,565,2502,22122,22545,9712,7800,19597,7415,89191
LGA25150,186,94,411,4533,5692,2994,2826,4435,1730,22210
LGA25250,1584,829,3564,30078,30416,11664,9618,30188,11423,123387
LGA25340,1596,1155,4197,24099,30523,16161,13522,23316,10438,118059
LGA25430,113,200,483,2520,3900,2245,2012,2287,1764,14728
LGA25490,118,91,332,2489,3164,1803,1821,2259,1006,12542
LGA25620,139,56,264,2039,2897,1605,1428,1824,1021,10814
LGA25710,264,148,609,11991,13357,6941,5044,8163,2271,47767
LGA25810,169,59,343,1751,2341,1328,1337,2206,808,9771
LGA25900,426,385,1190,27338,22291,5935,3620,13993,8149,81326
LGA25990,64,22,137,899,1245,750,862,1175,595,5526
LGA26080,71,23,153,456,707,452,316,435,204,2570
LGA26170,305,109,671,4236,5593,3433,3189,4002,1614,22067
LGA26260,256,95,536,2649,3390,1800,1784,2707,987,13317
LGA26350,872,473,2159,25148,21089,7307,5084,15207,7133,80968
LGA26430,133,68,306,1431,1935,1125,1121,1658,738,8008
LGA26490,224,81,482,4675,5666,3009,2495,3079,1420,20344
LGA26610,237,95,476,3107,3770,1904,1931,3739,1769,16220
LGA26670,97,37,185,897,1235,715,672,962,347,4828
LGA26700,300,221,749,4400,5740,3038,2655,4217,1687,21737
LGA26730,311,235,802,5530,6571,3224,2846,5187,2330,25688
LGA26810,400,168,868,6188,8144,4625,4519,6448,3652,33576
LGA26890,50,17,123,652,815,502,506,686,290,3451
LGA26980,1557,1058,4280,30258,32385,15383,11538,27056,8575,125195
LGA27070,734,443,1547,26885,27046,12372,11336,35174,9848,122661
LGA27170,284,92,538,6340,7495,3592,2867,5627,1882,27803
LGA27260,557,233,1105,27502,30960,13481,12166,28848,10297,123254
LGA27350,442,169,902,22337,18168,4889,2999,10841,6096,65330
LGA27450,842,479,1962,26872,31499,15807,12966,21022,7512,115678
LGA27630,139,44,285,1068,1265,791,888,1258,577,5847
LGA29399,0,0,0,192,127,46,43,213,92,713
LGA29499,27,19,53,1611,1165,390,319,2085,1697,7267
LGA30250,5,0,5,241,179,83,15,308,75,901
LGA30300,30,12,51,643,786,447,437,840,360,3513
LGA30370,87,43,185,2253,2791,1306,1529,2223,954,11056
LGA30410,17,6,39,490,611,268,356,552,241,2518
LGA30450,3,0,3,50,59,27,35,94,23,288
LGA30760,19,10,32,331,414,189,263,409,159,1765
LGA30900,0,0,0,84,70,42,43,97,37,373
LGA31000,7999,4341,18693,227106,237727,95730,70720,160262,64528,856073
LGA31750,0,0,0,54,72,25,32,106,34,323
LGA31820,802,486,1871,12304,17477,9978,9941,15819,6866,72385
LGA31900,202,60,375,2473,3073,1858,1943,3186,1227,13760
LGA31950,0,0,0,77,85,37,18,114,101,432
LGA32070,785,391,1684,26311,33226,14584,11721,23218,13254,122314
LGA32250,4,0,4,274,309,132,131,461,308,1615
LGA32260,253,91,473,3817,5304,2987,3036,4902,2204,22250
LGA32270,37,40,112,4619,5453,2345,2672,4008,2552,21649
LGA32310,122,29,209,1621,2152,1105,1284,2146,1088,9396
LGA32330,3,0,3,156,210,151,150,99,17,783
LGA32450,12,6,21,500,524,187,194,707,454,2566
LGA32500,6,4,22,512,720,348,344,628,845,3397
LGA32600,0,3,3,46,41,12,31,53,49,232
LGA32750,0,0,0,57,52,15,9,83,21,237
LGA32770,6,0,6,163,178,20,26,401,12,800
LGA33100,3,0,3,128,138,68,97,214,86,731
LGA33200,9,6,20,254,324,158,167,345,167,1415
LGA33220,828,631,2072,12711,18450,10786,10939,16438,7758,77082
LGA33360,213,71,419,9383,11478,5575,5368,8386,4472,44662
LGA33430,3831,2639,9300,93153,105706,46682,35853,81793,39588,402775
LGA33610,73,38,155,1574,1923,974,1066,1686,865,8088
LGA33620,233,319,808,6049,9008,5166,5623,6925,3596,36367
LGA33800,170,41,313,1562,2120,1277,1539,2197,826,9521
LGA33830,0,0,6,227,209,58,30,126,38,688
LGA33960,915,352,1803,27130,33478,15544,13852,26481,10588,127073
LGA33980,38,13,65,3615,3961,1755,1992,3306,2248,16877
