region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA10050,1556,1553,1556,3109,246,240,486,5785,6775,12560,908,776,1684,6939,7791,14730
LGA10110,1077,818,941,1759,307,379,686,3698,4072,7770,547,607,1154,4552,5058,9610
LGA10150,2038,1565,1490,3055,47,44,91,5155,5400,10555,1137,1013,2150,6339,6457,12796
LGA10200,3795,4867,3164,8031,188,103,291,11963,10460,22423,2358,1804,4162,14509,12367,26876
LGA10250,1046,1109,1157,2266,231,288,519,4373,4818,9191,595,545,1140,5199,5651,10850
LGA10300,134,138,105,243,21,32,53,249,245,494,90,50,140,360,327,687
LGA10350,7427,7644,7205,14849,281,282,563,25591,25815,51406,4284,3918,8202,30156,30015,60171
LGA10470,1426,1947,1313,3260,501,368,869,5670,5457,11127,801,728,1529,6972,6553,13525
LGA10550,980,963,1064,2027,219,231,450,3279,3653,6932,528,530,1058,4026,4414,8440
LGA10600,237,326,304,630,88,84,172,1492,1681,3173,156,117,273,1736,1882,3618
LGA10650,255,311,330,641,38,41,79,872,949,1821,137,135,272,1047,1125,2172
LGA10750,8549,10425,9448,19873,1964,1724,3688,42717,42938,85655,5109,4615,9724,49790,49277,99067
LGA10800,99,150,141,291,51,58,109,640,756,1396,62,44,106,753,858,1611
LGA10850,242,246,236,482,47,49,96,811,931,1742,134,121,255,992,1101,2093
LGA10900,2994,2307,2292,4599,307,273,580,9558,10266,19824,1654,1527,3181,11519,12066,23585
LGA10950,151,137,134,271,80,87,167,298,273,571,83,75,158,461,435,896
LGA11000,44,61,61,122,12,12,24,251,288,539,28,19,47,291,319,610
LGA11050,54,62,72,134,14,12,26,268,277,545,31,33,64,313,322,635
LGA11100,1805,1539,1505,3044,126,119,245,4934,4864,9798,983,934,1917,6043,5917,11960
LGA11150,311,254,233,487,158,179,337,163,177,340,183,142,325,504,498,1002
LGA11200,72,64,60,124,143,178,321,46,57,103,41,37,78,230,272,502
LGA11250,861,900,931,1831,332,317,649,1866,2013,3879,445,461,906,2643,2791,5434
LGA11300,1307,1212,1077,2289,18,20,38,4681,4951,9632,797,625,1422,5496,5596,11092
LGA11350,1348,1122,1024,2146,113,118,231,3409,3840,7249,797,632,1429,4319,4590,8909
LGA11400,243,281,316,597,89,116,205,1523,1625,3148,117,157,274,1729,1898,3627
LGA11450,1511,1474,1396,2870,261,245,506,7767,8216,15983,877,774,1651,8905,9235,18140
LGA11500,5379,5351,5594,10945,1004,1105,2109,19119,20010,39129,2932,2926,5858,23055,24041,47096
LGA11520,3782,2819,2616,5435,50,68,118,8826,9435,18261,2166,1771,3937,11042,11274,22316
LGA11550,6504,6332,5873,12205,136,160,296,19003,18289,37292,3741,3256,6997,22880,21705,44585
LGA11600,60,66,64,130,30,42,72,252,268,520,46,33,79,328,343,671
LGA11700,64,127,58,185,150,135,285,101,118,219,47,20,67,298,273,571
LGA11720,1683,2195,1743,3938,601,542,1143,6038,5931,11969,959,882,1841,7598,7355,14953
LGA11730,1364,1746,1565,3311,656,631,1287,5265,5568,10833,766,746,1512,6687,6945,13632
LGA11750,278,238,209,447,123,110,233,431,456,887,166,125,291,720,691,1411
LGA11800,2120,2197,2290,4487,573,725,1298,7976,8819,16795,1199,1122,2321,9748,10666,20414
LGA11860,34,44,26,70,9,10,19,182,209,391,22,15,37,213,234,447
LGA12000,155,145,148,293,17,34,51,493,551,1044,86,77,163,596,662,1258
LGA12050,296,428,275,703,72,60,132,1224,1202,2426,168,160,328,1464,1422,2886
LGA12150,183,198,175,373,198,229,427,253,300,553,108,91,199,559,620,1179
LGA12200,274,299,300,599,57,65,122,759,884,1643,166,123,289,982,1072,2054
LGA12300,283,335,338,673,29,32,61,1172,1330,2502,164,135,299,1365,1497,2862
LGA12350,533,562,502,1064,197,172,369,1307,1402,2709,292,266,558,1796,1840,3636
LGA12500,271,292,298,590,64,42,106,742,892,1634,153,137,290,959,1071,2030
LGA12600,1242,1314,1291,2605,989,1066,2055,3987,4404,8391,736,638,1374,5712,6108,11820
LGA12700,251,262,260,522,49,71,120,939,1000,1939,144,121,265,1132,1192,2324
LGA12750,1431,1347,1305,2652,385,401,786,3321,3614,6935,805,731,1536,4511,4746,9257
LGA12850,5524,7128,7042,14170,295,262,557,26473,27306,53779,3312,3160,6472,30080,30728,60808
LGA12900,210,293,307,600,187,195,382,989,1018,2007,122,115,237,1298,1328,2626
LGA12950,174,162,177,339,111,106,217,380,468,848,90,101,191,581,675,1256
LGA13010,256,404,282,686,125,108,233,960,995,1955,158,123,281,1243,1226,2469
LGA13050,94,142,125,267,44,46,90,465,481,946,62,46,108,571,573,1144
LGA13100,5949,5415,5727,11142,780,769,1549,19274,21141,40415,3316,3073,6389,23370,24983,48353
LGA13310,826,1384,867,2251,225,145,370,3639,3322,6961,488,383,871,4352,3850,8202
LGA13320,1390,1325,1368,2693,276,268,544,3121,3413,6534,753,727,1480,4150,4408,8558
LGA13340,345,323,307,630,46,56,102,1217,1311,2528,204,173,377,1467,1540,3007
LGA13380,1610,1566,1617,3183,551,554,1105,4766,5185,9951,890,842,1732,6207,6581,12788
LGA13450,1136,1110,948,2058,196,187,383,2979,3005,5984,669,552,1221,3844,3744,7588
LGA13500,75,111,98,209,22,13,35,445,463,908,61,33,94,528,509,1037
LGA13550,465,478,483,961,285,262,547,1154,1307,2461,270,233,503,1709,1802,3511
LGA13650,151,158,148,306,90,92,182,436,443,879,93,78,171,619,613,1232
LGA13660,67,128,115,243,38,46,84,513,505,1018,46,38,84,597,589,1186
LGA13700,96,97,107,204,36,27,63,352,385,737,59,51,110,447,463,910
LGA13800,2287,2039,1911,3950,359,333,692,7979,8381,16360,1316,1169,2485,9654,9883,19537
LGA13850,76,105,83,188,43,35,78,317,346,663,50,40,90,410,421,831
LGA13950,4198,4003,3894,7897,135,176,311,13006,13221,26227,2433,2130,4563,15574,15527,31101
LGA14000,3140,2917,2998,5915,100,131,231,22778,23471,46249,1858,1677,3535,24736,25279,50015
LGA14100,372,344,360,704,38,3,41,2143,1769,3912,202,183,385,2383,1955,4338
LGA14150,2184,2214,2285,4499,103,97,200,10424,10579,21003,1225,1140,2365,11752,11816,23568
LGA14200,398,542,582,1124,224,213,437,1794,2018,3812,272,188,460,2290,2419,4709
LGA14250,58,66,54,120,9,6,15,193,159,352,38,23,61,240,188,428
LGA14300,188,940,172,1112,221,48,269,1177,626,1803,130,93,223,1528,767,2295
LGA14350,938,1476,1075,2551,781,685,1466,2916,2824,5740,519,523,1042,4216,4032,8248
LGA14400,441,468,440,908,60,68,128,2489,2548,5037,284,217,501,2833,2833,5666
LGA14450,1603,1462,1524,2986,50,55,105,7523,7726,15249,922,846,1768,8495,8627,17122
LGA14500,2971,2283,2463,4746,31,49,80,16899,17606,34505,1600,1619,3219,18530,19274,37804
LGA14550,315,341,314,655,94,95,189,971,1103,2074,185,157,342,1250,1355,2605
LGA14600,184,234,210,444,194,224,418,530,583,1113,115,87,202,839,894,1733
LGA14650,4266,4923,5032,9955,1118,1227,2345,22340,23332,45672,2511,2228,4739,25969,26787,52756
LGA14700,927,687,744,1431,20,21,41,4300,4281,8581,487,509,996,4807,4811,9618
LGA14750,500,438,498,936,139,169,308,1476,1523,2999,251,281,532,1866,1973,3839
LGA14800,2442,1687,1610,3297,80,97,177,5163,5887,11050,1308,1199,2507,6551,7183,13734
LGA14850,1236,1231,1154,2385,445,470,915,5318,5875,11193,728,628,1356,6491,6973,13464
LGA14870,771,1086,745,1831,236,174,410,2407,2201,4608,439,391,830,3082,2766,5848
LGA14900,8057,7548,7547,15095,575,549,1124,25598,26518,52116,4488,4269,8757,30661,31336,61997
LGA14920,217,302,274,576,155,170,325,740,783,1523,132,108,240,1027,1061,2088
LGA14950,80,94,81,175,19,15,34,337,385,722,47,42,89,403,442,845
LGA15050,1902,1990,1949,3939,495,537,1032,8440,8944,17384,1114,966,2080,10049,10447,20496
LGA15150,2013,1395,1301,2696,27,21,48,4717,4989,9706,1111,985,2096,5855,5995,11850
LGA15200,4560,3358,2902,6260,188,196,384,8369,9172,17541,2585,2122,4707,11142,11490,22632
LGA15270,968,992,762,1754,167,187,354,2464,2590,5054,634,412,1046,3265,3189,6454
LGA15300,849,742,664,1406,522,555,1077,1124,1119,2243,473,415,888,2119,2089,4208
LGA15350,1683,1075,1091,2166,4,3,7,3304,3562,6866,895,853,1748,4203,4418,8621
LGA15500,218,231,214,445,35,40,75,674,715,1389,147,91,238,856,846,1702
LGA15550,110,96,97,193,47,36,83,244,202,446,59,57,116,350,295,645
LGA15650,712,919,614,1533,206,163,369,1994,1843,3837,407,361,768,2607,2367,4974
LGA15700,518,602,664,1266,288,299,587,1847,2032,3879,299,269,568,2434,2600,5034
LGA15750,474,516,494,1010,266,276,542,1257,1413,2670,264,239,503,1787,1928,3715
LGA15800,281,255,275,530,131,135,266,561,641,1202,145,151,296,837,927,1764
LGA15850,200,205,239,444,263,259,522,547,645,1192,117,99,216,927,1003,1930
LGA15900,4800,4726,4510,9236,794,799,1593,18948,19942,38890,2896,2362,5258,22638,23103,45741
LGA15950,4734,2761,2741,5502,25,19,44,5301,6165,11466,2495,2303,4798,7821,8487,16308
LGA16100,137,270,155,425,52,22,74,666,566,1232,85,78,163,803,666,1469
LGA16150,1480,1396,1312,2708,449,452,901,4448,4863,9311,860,707,1567,5757,6022,11779
LGA16180,705,515,460,975,49,47,96,1795,1871,3666,392,347,739,2236,2265,4501
LGA16200,671,644,635,1279,261,275,536,1583,1736,3319,380,324,704,2224,2335,4559
LGA16250,7398,6945,6224,13169,345,230,575,22179,22304,44483,4326,3616,7942,26850,26150,53000
LGA16350,5459,5928,5754,11682,1215,1263,2478,22854,24034,46888,3147,2798,5945,27216,28095,55311
LGA16370,1804,1538,1547,3085,60,48,108,7224,7589,14813,1060,893,1953,8344,8530,16874
LGA16380,2085,2200,2246,4446,515,524,1039,7702,8501,16203,1209,1065,2274,9426,10090,19516
LGA16400,2526,2249,2240,4489,472,515,987,7204,7765,14969,1420,1261,2681,9096,9541,18637
LGA16470,1425,1291,1052,2343,253,232,485,4619,4920,9539,856,631,1487,5728,5783,11511
LGA16550,7740,6730,5187,11917,519,353,872,18410,17663,36073,4264,3795,8059,23193,21811,45004
LGA16610,663,779,765,1544,313,339,652,2350,2597,4947,386,343,729,3049,3279,6328
LGA16650,4541,3978,3738,7716,116,107,223,12130,12031,24161,2613,2224,4837,14859,14362,29221
LGA16700,3387,2875,2838,5713,63,67,130,14229,14669,28898,1896,1724,3620,16188,16460,32648
LGA16900,1401,1749,1749,3498,450,455,905,8109,8557,16666,809,768,1577,9368,9780,19148
LGA16950,3854,3888,3470,7358,954,893,1847,9863,10348,20211,2130,1948,4078,12947,13189,26136
LGA17000,707,731,618,1349,178,202,380,2829,2908,5737,440,343,783,3447,3453,6900
LGA17050,843,586,431,1017,20,7,27,884,853,1737,496,357,853,1400,1217,2617
LGA17100,2108,1554,1445,2999,33,15,48,5105,4838,9943,1162,1056,2218,6300,5909,12209
LGA17150,5397,5081,5125,10206,375,339,714,26671,27828,54499,3200,2706,5906,30246,30873,61119
LGA17200,20151,12986,10482,23468,338,412,750,17985,19913,37898,11514,8918,20432,29837,29243,59080
LGA17310,1946,1960,1904,3864,966,1008,1974,6179,6371,12550,1060,1015,2075,8205,8394,16599
LGA17350,129,158,163,321,23,12,35,714,713,1427,70,74,144,807,799,1606
LGA17400,300,303,265,568,87,94,181,617,763,1380,185,135,320,889,992,1881
LGA17420,3420,3275,3221,6496,137,130,267,25500,25375,50875,2012,1832,3844,27649,27337,54986
LGA17450,99,233,91,324,33,11,44,441,373,814,69,47,116,543,431,974
LGA17500,333,344,342,686,84,117,201,1223,1218,2441,174,180,354,1481,1515,2996
LGA17550,2938,2911,3199,6110,647,666,1313,8986,10219,19205,1600,1574,3174,11233,12459,23692
LGA17620,435,425,463,888,125,109,234,1497,1604,3101,225,239,464,1847,1952,3799
LGA17640,219,228,222,450,23,32,55,801,861,1662,118,123,241,942,1016,1958
LGA17650,172,158,152,310,59,72,131,722,794,1516,104,90,194,885,956,1841
LGA17700,55,53,51,104,6,6,12,132,114,246,29,32,61,167,152,319
LGA17750,1376,1508,1597,3105,592,622,1214,7913,8666,16579,787,757,1544,9292,10045,19337
LGA17800,192,202,153,355,19,16,35,424,445,869,121,86,207,564,547,1111
LGA17850,53,88,91,179,51,47,98,274,347,621,30,23,53,355,417,772
LGA17900,377,433,318,751,325,361,686,417,393,810,236,159,395,978,913,1891
LGA17950,74,102,97,199,56,93,149,225,280,505,48,36,84,329,409,738
LGA18000,3933,3625,3615,7240,96,114,210,18191,18582,36773,2287,1945,4232,20574,20641,41215
LGA18020,439,439,385,824,211,203,414,1014,1029,2043,244,215,459,1469,1447,2916
LGA18050,6060,3889,3588,7477,39,51,90,6535,7075,13610,3290,2886,6176,9864,10012,19876
LGA18100,97,124,95,219,23,11,34,383,456,839,64,33,97,470,500,970
LGA18150,302,740,358,1098,556,294,850,866,755,1621,174,148,322,1596,1197,2793
LGA18200,239,263,230,493,105,130,235,688,667,1355,155,106,261,948,903,1851
LGA18250,2540,1798,1800,3598,26,24,50,8762,9333,18095,1388,1278,2666,10176,10635,20811
LGA18350,1287,1260,1334,2594,165,214,379,5185,5845,11030,756,624,1380,6106,6683,12789
LGA18400,1199,1228,1195,2423,239,237,476,5835,5939,11774,680,637,1317,6754,6813,13567
LGA18450,5818,5918,5772,11690,912,909,1821,26073,26492,52565,3446,2885,6331,30431,30286,60717
LGA18500,4854,2958,2983,5941,26,27,53,5430,6122,11552,2554,2412,4966,8010,8561,16571
LGA18550,4522,4874,5243,10117,1202,1231,2433,17515,19260,36775,2521,2362,4883,21238,22853,44091
LGA18710,594,455,476,931,61,61,122,1852,1996,3848,320,312,632,2233,2369,4602
LGA18750,454,413,467,880,76,100,176,1407,1525,2932,259,238,497,1742,1863,3605
LGA19399,21,28,17,45,9,6,15,81,89,170,18,6,24,108,101,209
LGA19499,1154,1958,861,2819,249,174,423,1727,1152,2879,763,419,1182,2739,1745,4484
LGA20110,336,319,330,649,23,21,44,1197,1322,2519,203,172,375,1423,1515,2938
LGA20260,273,719,375,1094,35,23,58,1505,1250,2755,144,155,299,1684,1428,3112
LGA20570,2956,2929,3138,6067,225,275,500,12164,13305,25469,1624,1559,3183,14013,15139,29152
LGA20660,3020,2871,2988,5859,123,146,269,14887,15489,30376,1751,1559,3310,16761,17194,33955
LGA20740,1200,1084,1224,2308,44,47,91,2877,3236,6113,610,660,1270,3531,3943,7474
LGA20830,1078,1240,1213,2453,91,94,185,4994,5649,10643,647,546,1193,5732,6289,12021
LGA20910,3199,2520,2757,5277,31,34,65,12287,12638,24925,1727,1708,3435,14045,14380,28425
LGA21010,307,352,384,736,30,30,60,1511,1560,3071,168,169,337,1709,1759,3468
LGA21110,4732,3950,3991,7941,53,53,106,23884,24565,48449,2722,2352,5074,26659,26970,53629
LGA21180,8262,8434,8048,16482,142,157,299,24341,24929,49270,4832,4354,9186,29315,29440,58755
LGA21270,110,184,177,361,6,11,17,728,732,1460,67,57,124,801,800,1601
LGA21370,1127,1222,1279,2501,161,173,334,4203,4380,8583,610,625,1235,4974,5178,10152
LGA21450,2243,2134,2147,4281,80,90,170,9692,10559,20251,1254,1172,2426,11026,11821,22847
LGA21610,6689,7747,7571,15318,289,319,608,35613,36630,72243,3980,3618,7598,39882,40567,80449
LGA21670,314,425,392,817,32,26,58,1284,1357,2641,186,157,343,1502,1540,3042
LGA21750,535,645,664,1309,32,40,72,2320,2446,4766,304,280,584,2656,2766,5422
LGA21830,385,466,467,933,20,19,39,1973,2137,4110,244,196,440,2237,2352,4589
LGA21890,5841,5356,4936,10292,202,233,435,17021,18442,35463,3355,2864,6219,20578,21539,42117
LGA22110,1210,1380,1338,2718,281,285,566,4235,4571,8806,690,609,1299,5206,5465,10671
LGA22170,4545,4304,4598,8902,215,217,432,15191,16311,31502,2506,2377,4883,17912,18905,36817
LGA22250,352,375,380,755,37,31,68,1087,1152,2239,193,184,377,1317,1367,2684
LGA22310,4382,3791,3792,7583,40,39,79,17320,17836,35156,2501,2228,4729,19861,20103,39964
LGA22410,654,621,662,1283,86,104,190,2177,2350,4527,359,343,702,2622,2797,5419
LGA22490,477,505,485,990,28,28,56,2571,2585,5156,265,255,520,2864,2868,5732
LGA22620,2884,3089,3178,6267,295,321,616,12239,13735,25974,1656,1468,3124,14190,15524,29714
LGA22670,4718,5786,5393,11179,116,109,225,18297,18080,36377,2896,2497,5393,21309,20686,41995
LGA22750,5954,6807,6099,12906,423,444,867,26493,27556,54049,3431,3044,6475,30347,31044,61391
LGA22830,2214,2471,2228,4699,433,459,892,7314,7493,14807,1245,1177,2422,8992,9129,18121
LGA22910,519,494,523,1017,18,19,37,1509,1691,3200,281,281,562,1808,1991,3799
LGA22980,125,164,164,328,13,15,28,639,640,1279,80,69,149,732,724,1456
LGA23110,3248,3026,2932,5958,76,66,142,10193,10388,20581,1830,1665,3495,12099,12119,24218
LGA23190,457,533,543,1076,40,67,107,2101,2292,4393,280,221,501,2421,2580,5001
LGA23270,6258,6474,6479,12953,228,228,456,23111,24538,47649,3538,3411,6949,26877,28177,55054
LGA23350,435,571,406,977,32,35,67,1925,1991,3916,247,223,470,2204,2249,4453
LGA23430,4408,4358,4177,8535,66,69,135,17170,17837,35007,2611,2174,4785,19847,20080,39927
LGA23670,2739,3265,3195,6460,127,114,241,18985,20009,38994,1737,1404,3141,20849,21527,42376
LGA23810,2605,2560,2621,5181,226,228,454,8442,9217,17659,1470,1341,2811,10138,10786,20924
LGA23940,291,266,244,510,9,32,41,719,783,1502,167,139,306,895,954,1849
LGA24130,1137,1057,1079,2136,43,41,84,5538,5801,11339,602,627,1229,6183,6469,12652
LGA24210,2296,2442,2607,5049,23,30,53,14638,14929,29567,1339,1232,2571,16000,16191,32191
LGA24250,215,216,208,424,12,14,26,849,969,1818,123,110,233,984,1093,2077
LGA24330,4414,3794,2911,6705,68,68,136,9210,9172,18382,2681,1947,4628,11959,11187,23146
LGA24410,2106,2260,2532,4792,86,93,179,13198,13651,26849,1179,1173,2352,14463,14917,29380
LGA24600,9371,6207,5112,11319,75,47,122,14091,15925,30016,5245,4378,9623,19411,20350,39761
LGA24650,3676,4323,3916,8239,199,168,367,14964,15353,30317,2099,1974,4073,17262,17495,34757
LGA24780,1853,1918,2017,3935,360,438,798,6028,6364,12392,1053,977,2030,7441,7779,15220
LGA24850,1403,1223,1228,2451,85,90,175,4387,4646,9033,760,730,1490,5232,5466,10698
LGA24900,1070,1092,1063,2155,82,80,162,3102,3394,6496,620,532,1152,3804,4006,7810
LGA24970,4562,4566,4290,8856,63,86,149,24676,24132,48808,2814,2229,5043,27553,26447,54000
LGA25060,4130,3585,3674,7259,64,59,123,13129,14084,27213,2273,2124,4397,15466,16267,31733
LGA25150,848,900,790,1690,53,48,101,3579,3763,7342,514,418,932,4146,4229,8375
LGA25250,6395,5855,5351,11206,141,135,276,18116,19179,37295,3726,3136,6862,21983,22450,44433
LGA25340,5348,4714,5423,10137,221,201,422,16570,17776,34346,2827,2868,5695,19618,20845,40463
LGA25430,583,1012,733,1745,65,32,97,2311,2249,4560,311,312,623,2687,2593,5280
LGA25490,458,469,499,968,44,38,82,1889,2155,4044,238,254,492,2171,2447,4618
LGA25620,564,493,446,939,17,16,33,1329,1453,2782,316,278,594,1662,1747,3409
LGA25710,1177,1230,1245,2475,38,42,80,8995,9238,18233,673,631,1304,9706,9911,19617
LGA25810,355,373,354,727,24,24,48,1235,1318,2553,219,167,386,1478,1509,2987
LGA25900,6536,4441,3706,8147,45,37,82,7991,9105,17096,3714,2956,6670,11750,12098,23848
LGA25990,199,327,194,521,19,12,31,807,731,1538,115,109,224,941,852,1793
LGA26080,126,92,103,195,0,5,5,277,313,590,67,64,131,344,382,726
LGA26170,785,801,756,1557,39,47,86,2879,3284,6163,456,382,838,3374,3713,7087
LGA26260,377,409,409,818,47,34,81,1856,2016,3872,220,198,418,2123,2248,4371
LGA26350,5161,3635,3442,7077,26,25,51,10711,11939,22650,2906,2489,5395,13643,14453,28096
LGA26430,346,330,329,659,15,23,38,910,951,1861,191,175,366,1116,1149,2265
LGA26490,887,769,738,1507,30,34,64,3287,3335,6622,511,452,963,3828,3821,7649
LGA26610,786,850,817,1667,176,194,370,2286,2320,4606,434,422,856,2896,2936,5832
LGA26670,90,134,139,273,18,14,32,669,754,1423,48,52,100,735,820,1555
LGA26700,561,756,806,1562,49,55,104,3088,3485,6573,320,291,611,3457,3831,7288
LGA26730,1083,1150,1161,2311,108,107,215,3928,4438,8366,624,543,1167,4660,5088,9748
LGA26810,1330,2173,1324,3497,168,131,299,5332,4908,10240,771,674,1445,6271,5713,11984
LGA26890,88,126,122,248,3,3,6,449,516,965,50,41,91,502,560,1062
LGA26980,4107,3955,4030,7985,67,65,132,21175,22198,43373,2385,2087,4472,23627,24350,47977
LGA27070,4674,5251,5055,10306,233,248,481,19890,20779,40669,2808,2450,5258,22931,23477,46408
LGA27170,853,1048,907,1955,147,173,320,4886,5100,9986,547,405,952,5580,5678,11258
LGA27260,5812,6159,5323,11482,274,254,528,21876,22478,44354,3322,3010,6332,25472,25742,51214
LGA27350,4693,3418,3039,6457,49,55,104,7753,9242,16995,2631,2235,4866,10433,11532,21965
LGA27450,3856,3876,3797,7673,172,231,403,18495,19911,38406,2278,1952,4230,20945,22094,43039
LGA27630,275,242,248,490,18,13,31,719,776,1495,151,146,297,888,935,1823
LGA29399,78,56,40,96,0,0,0,70,58,128,45,33,78,115,91,206
LGA29499,667,1184,653,1837,91,62,153,1238,959,2197,398,293,691,1727,1314,3041
LGA30250,3,29,20,49,172,161,333,3,5,8,3,0,3,178,166,344
LGA30300,215,228,170,398,134,148,282,360,433,793,151,78,229,645,659,1304
LGA30370,472,487,396,883,87,118,205,1533,1589,3122,307,216,523,1927,1923,3850
LGA30410,136,118,106,224,36,41,77,280,314,594,72,70,142,388,425,813
LGA30450,12,18,6,24,6,3,9,16,32,48,9,3,12,31,38,69
LGA30760,68,72,70,142,19,19,38,165,206,371,44,31,75,228,256,484
LGA30900,18,20,22,42,25,26,51,12,10,22,7,11,18,44,47,91
LGA31000,37726,35009,30145,65154,3012,2831,5843,136205,143459,279664,22202,17996,40198,161419,164286,325705
LGA31750,25,23,7,30,0,12,12,34,15,49,18,7,25,52,34,86
LGA31820,3320,3282,3130,6412,594,657,1251,9282,10024,19306,1880,1650,3530,11756,12331,24087
LGA31900,644,675,602,1277,175,180,355,1732,1813,3545,386,291,677,2293,2284,4577
LGA31950,84,68,44,112,20,23,43,13,21,34,59,25,84,92,69,161
LGA32070,9504,7893,7077,14970,2713,2930,5643,15428,17318,32746,5341,4529,9870,23482,24777,48259
LGA32250,222,164,167,331,98,116,214,69,71,140,124,104,228,291,291,582
LGA32260,1014,1151,973,2124,429,479,908,2489,2569,5058,627,497,1124,3545,3545,7090
LGA32270,2008,1712,1069,2781,195,175,370,3144,3124,6268,1326,773,2099,4665,4072,8737
LGA32310,602,599,474,1073,200,198,398,1231,1374,2605,387,250,637,1818,1822,3640
LGA32330,12,15,11,26,184,167,351,0,0,0,7,5,12,191,172,363
LGA32450,314,293,159,452,91,127,218,209,207,416,229,107,336,529,441,970
LGA32500,230,683,163,846,123,143,266,673,221,894,148,101,249,944,465,1409
LGA32600,16,25,16,41,12,15,27,25,13,38,12,4,16,49,32,81
LGA32750,6,10,4,14,7,5,12,9,16,25,6,0,6,22,21,43
LGA32770,6,35,21,56,196,160,356,8,6,14,6,0,6,210,166,376
LGA33100,39,35,36,71,3,3,6,55,65,120,26,16,42,84,84,168
LGA33200,106,92,58,150,14,18,32,164,155,319,71,39,110,249,212,461
LGA33220,3061,3742,3263,7005,811,728,1539,9906,10802,20708,1770,1520,3290,12487,13050,25537
LGA33360,3388,2731,2193,4924,359,390,749,6155,6490,12645,2023,1494,3517,8537,8374,16911
LGA33430,25828,19839,19285,39124,1192,1319,2511,56649,61972,118621,14114,12738,26852,71955,76029,147984
LGA33610,579,468,476,944,92,110,202,1089,1175,2264,319,297,616,1500,1582,3082
LGA33620,1721,1738,1742,3480,285,250,535,4814,5339,10153,948,873,1821,6047,6462,12509
LGA33800,326,379,344,723,137,114,251,1078,1141,2219,205,159,364,1420,1414,2834
LGA33830,12,23,15,38,126,141,267,0,3,3,12,0,12,138,144,282
LGA33960,5985,6400,5540,11940,1387,1362,2749,20157,21091,41248,3475,2952,6427,25019,25405,50424
LGA33980,1934,1684,787,2471,105,95,200,2452,2443,4895,1443,555,1998,4000,3093,7093
LGA34420,3,10,7,17,112,109,221,3,7,10,3,0,3,118,116,234
