region_id,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Mar_RegM_M,C11_85o_Mar_RegM_F,C11_85o_Mar_DFM_M,C11_85o_Mar_DFM_F,C11_85o_N_mar_M,C11_85o_N_mar_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Marr_reg_marr_M,C11_T_Marr_reg_marr_F,C11_T_Mar_de_fa_mar_M,C11_T_Mar_de_fa_mar_F,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
LGA51960,6,5,15,12,27,0,0,3,0,0,7,3,7,10,0,0,0,0,5,0,5,0,5,477,480,248,243,513,357,1238,1080,2318
LGA52030,11,6,23,18,41,4,5,0,0,0,4,4,9,13,3,0,0,0,0,3,3,3,6,197,196,49,54,146,87,392,337,729
LGA52100,3,8,14,18,32,7,6,0,0,0,10,7,16,23,8,4,0,0,4,9,12,13,25,216,215,40,38,132,106,388,359,747
LGA52170,17,49,68,83,151,37,28,0,3,12,57,49,88,137,19,6,0,0,17,79,36,85,121,1267,1326,251,259,1015,1199,2533,2784,5317
LGA52240,4,6,13,16,29,4,3,0,0,3,3,7,6,13,8,0,0,0,0,4,8,4,12,209,207,40,46,142,79,391,332,723
LGA52310,0,0,11,6,17,9,4,0,0,0,0,9,4,13,0,3,0,0,0,4,0,7,7,182,192,36,38,100,71,318,301,619
LGA52380,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,34,33,15,12,46,37,95,82,177
LGA52450,3,4,23,14,37,10,3,0,0,5,9,15,12,27,4,3,0,0,3,9,7,12,19,249,251,39,44,157,121,445,416,861
LGA52520,3,7,15,17,32,9,4,0,0,4,7,13,11,24,3,3,0,0,3,3,6,6,12,237,246,58,57,179,115,474,418,892
LGA52590,10,12,47,42,89,15,15,0,0,11,10,26,25,51,7,3,0,0,6,14,13,17,30,552,576,133,136,331,238,1016,950,1966
LGA52660,25,50,127,121,248,62,28,0,0,11,51,73,79,152,30,12,0,3,22,43,52,58,110,2214,2341,539,597,1329,1392,4082,4330,8412
LGA52730,15,37,73,76,149,33,19,0,0,13,38,46,57,103,16,8,0,3,15,41,31,52,83,918,953,209,226,551,684,1678,1863,3541
LGA52800,17,18,28,18,46,0,3,0,0,15,11,15,14,29,3,0,0,0,0,6,3,6,9,503,516,390,403,928,964,1821,1883,3704
LGA52870,15,23,63,57,120,27,10,0,0,9,23,36,33,69,14,5,0,0,6,26,20,31,51,1016,1086,222,235,573,580,1811,1901,3712
LGA52940,0,4,7,8,15,5,3,0,0,0,11,5,14,19,6,4,0,0,4,8,10,12,22,151,156,23,27,65,63,239,246,485
LGA53010,3,4,6,4,10,4,3,0,0,0,0,4,3,7,0,0,0,0,0,4,0,4,4,132,130,26,25,81,46,239,201,440
LGA53080,4,3,8,6,14,0,3,0,0,3,3,3,6,9,0,3,0,0,0,4,0,7,7,108,111,58,57,136,114,302,282,584
LGA53150,14,51,75,92,167,38,24,0,0,16,48,54,72,126,17,4,4,0,17,51,38,55,93,1219,1255,260,296,879,1084,2358,2635,4993
LGA53220,3,7,7,7,14,0,0,0,0,0,6,0,6,6,0,0,0,0,3,3,3,3,6,805,818,328,331,814,605,1947,1754,3701
LGA53290,28,82,113,162,275,65,38,0,0,37,65,102,103,205,24,14,0,0,23,66,47,80,127,2205,2308,550,596,1550,1577,4305,4481,8786
LGA53360,15,4,22,15,37,8,3,0,3,3,0,11,6,17,0,0,0,0,3,3,3,3,6,356,372,144,156,306,198,806,726,1532
LGA53430,108,212,341,395,736,172,96,0,0,74,222,246,318,564,94,31,0,0,64,202,158,233,391,3862,3993,1230,1330,4233,5012,9325,10335,19660
LGA53520,94,203,358,397,755,173,77,7,0,76,177,256,254,510,69,34,4,0,57,160,130,194,324,5588,5983,1524,1694,4622,5030,11734,12707,24441
LGA53570,13,17,65,59,124,24,8,0,0,12,15,36,23,59,9,4,0,0,10,21,19,25,44,888,945,183,198,508,419,1579,1562,3141
LGA53640,3,9,6,12,18,3,3,0,0,3,4,6,7,13,0,3,0,0,0,3,0,6,6,245,235,42,45,162,104,449,384,833
LGA53710,10,3,19,6,25,3,3,0,0,7,3,10,6,16,0,3,0,0,3,0,3,3,6,183,188,40,42,109,109,332,339,671
LGA53780,163,526,768,969,1737,395,219,12,3,157,425,564,647,1211,172,73,0,0,128,386,300,459,759,18328,19036,3559,3773,15229,15972,37116,38781,75897
LGA53920,6,8,6,8,14,0,0,0,0,3,3,3,3,6,0,0,0,0,3,7,3,7,10,261,263,147,142,507,606,915,1011,1926
LGA53990,42,80,205,182,387,86,54,0,0,29,86,115,140,255,47,11,3,0,26,86,76,97,173,4293,4507,868,951,2546,2571,7707,8029,15736
LGA54060,12,21,56,48,104,32,17,0,5,13,9,45,31,76,11,6,0,0,7,17,18,23,41,635,685,146,175,345,387,1126,1247,2373
LGA54130,3,10,3,10,13,3,6,0,0,3,0,6,6,12,3,0,0,0,0,0,3,0,3,190,191,47,49,126,58,363,298,661
LGA54170,220,672,1162,1416,2578,635,406,12,3,188,663,835,1072,1907,330,171,3,0,194,695,527,866,1393,30676,32069,4486,4813,19573,21587,54735,58469,113204
LGA54200,98,317,621,707,1328,296,175,6,4,71,232,373,411,784,153,59,3,0,72,300,228,359,587,10102,10621,1850,2028,6787,7454,18739,20103,38842
LGA54280,51,76,103,114,217,31,20,0,3,21,53,52,76,128,12,5,0,0,16,60,28,65,93,4189,4327,1649,1767,4053,3382,9891,9476,19367
LGA54340,4,26,33,52,85,23,8,0,0,5,29,28,37,65,8,4,0,0,8,17,16,21,37,729,745,138,143,504,559,1371,1447,2818
LGA54410,6,12,17,23,40,8,4,0,0,0,12,8,16,24,0,0,0,0,3,14,3,14,17,208,207,47,55,121,145,376,407,783
LGA54480,0,0,0,0,0,0,3,0,0,3,0,3,3,6,0,0,0,0,0,0,0,0,0,115,119,23,19,57,26,195,164,359
LGA54550,3,13,24,30,54,18,7,0,0,0,19,18,26,44,3,0,0,0,5,10,8,10,18,392,386,79,83,213,203,684,672,1356
LGA54620,4,5,10,8,18,3,0,0,0,0,0,3,0,3,0,0,0,0,3,3,3,3,6,167,174,37,36,101,68,305,278,583
LGA54690,3,0,7,8,15,4,0,0,0,3,0,7,0,7,0,3,0,0,0,0,0,3,3,82,81,19,21,52,40,153,142,295
LGA54760,0,4,6,8,14,4,0,0,0,6,7,10,7,17,7,0,0,0,0,6,7,6,13,178,178,26,29,90,56,294,263,557
LGA54830,60,140,220,238,458,94,62,4,0,34,90,132,152,284,38,26,0,0,30,91,68,117,185,4215,4412,1380,1519,3879,4107,9474,10038,19512
LGA54900,4,3,9,12,21,7,7,0,0,3,7,10,14,24,4,0,0,0,4,0,8,0,8,263,263,61,61,168,90,492,414,906
LGA54970,3,0,7,4,11,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,52,53,50,52,92,95,194,200,394
LGA55040,0,3,0,3,3,0,0,0,0,3,3,3,3,6,0,0,0,0,0,3,0,3,3,166,169,62,69,133,118,361,356,717
LGA55110,220,534,1109,1263,2372,608,362,15,6,171,559,794,927,1721,282,140,0,3,173,470,455,613,1068,12087,12860,2589,2922,8349,10278,23025,26060,49085
LGA55180,29,59,113,112,225,50,28,0,0,24,44,74,72,146,25,10,0,0,20,61,45,71,116,1662,1702,354,365,1104,1096,3120,3163,6283
LGA55250,0,3,3,3,6,0,3,0,0,3,3,3,6,9,0,0,0,0,0,0,0,0,0,81,80,62,64,131,139,274,283,557
LGA55320,211,706,1155,1480,2635,704,470,6,4,212,884,922,1358,2280,437,240,3,3,243,980,683,1223,1906,18549,19312,2406,2544,13162,16739,34117,38595,72712
LGA55390,3,3,3,3,6,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,32,31,13,15,65,61,110,107,217
LGA55460,13,11,37,32,69,20,11,0,0,13,13,33,24,57,4,3,4,0,5,13,13,16,29,562,572,123,127,419,349,1104,1048,2152
LGA55530,0,0,4,3,7,3,0,0,0,5,4,8,4,12,0,0,0,0,0,0,0,0,0,84,84,22,24,60,45,166,153,319
LGA55600,4,4,19,19,38,5,4,0,0,10,13,15,17,32,6,0,0,0,4,19,10,19,29,417,432,115,121,295,284,827,837,1664
LGA55670,0,3,16,12,28,3,0,0,0,3,7,6,7,13,0,0,0,0,0,4,0,4,4,131,133,35,35,93,92,259,260,519
LGA55740,32,55,86,100,186,31,21,0,0,26,52,57,73,130,25,18,0,0,21,79,46,97,143,1325,1393,295,308,1271,1530,2891,3231,6122
LGA55810,0,0,3,3,6,0,0,0,0,3,3,3,3,6,0,0,0,0,0,0,0,0,0,47,49,47,49,87,74,181,172,353
LGA55880,3,3,6,6,12,3,0,0,0,3,3,6,3,9,0,0,0,0,0,3,0,3,3,102,100,22,23,60,28,184,151,335
LGA55950,0,3,11,6,17,9,3,0,0,0,3,9,6,15,0,0,0,0,0,3,0,3,3,122,124,21,19,52,36,195,179,374
LGA56020,3,4,8,9,17,3,0,0,0,4,0,7,0,7,0,0,0,0,0,0,0,0,0,104,104,20,21,98,63,222,188,410
LGA56090,80,162,377,382,759,181,86,0,5,66,180,247,271,518,89,36,0,0,54,212,143,248,391,6799,7146,1240,1361,4248,4753,12287,13260,25547
LGA56160,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,16,21,3,4,15,3,34,28,62
LGA56230,48,72,247,195,442,110,73,0,5,52,55,162,133,295,44,17,3,0,24,52,71,69,140,2623,2768,522,584,1766,1592,4911,4944,9855
LGA56300,5,5,14,14,28,4,3,0,0,4,5,8,8,16,4,0,0,0,0,11,4,11,15,226,234,71,78,195,130,492,442,934
LGA56370,3,4,11,16,27,12,6,0,0,0,3,12,9,21,7,0,0,0,0,11,7,11,18,190,188,19,24,94,65,303,277,580
LGA56450,3,3,9,6,15,3,3,0,0,3,0,6,3,9,0,0,0,0,0,0,0,0,0,179,182,25,24,102,54,306,260,566
LGA56520,12,33,48,61,109,18,13,3,0,11,34,32,47,79,14,5,0,0,10,36,24,41,65,659,678,142,155,470,603,1271,1436,2707
LGA56580,29,123,223,251,474,117,73,0,0,42,148,159,221,380,82,45,0,3,49,242,131,290,421,4023,4216,374,378,2682,3220,7079,7814,14893
LGA56620,0,4,0,4,4,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,176,174,35,35,200,255,411,464,875
LGA56730,41,66,138,118,256,43,30,0,0,34,66,77,96,173,27,9,0,0,17,67,44,76,120,1701,1784,357,409,1299,1416,3357,3609,6966
LGA56790,13,23,46,48,94,19,12,3,0,11,16,33,28,61,8,4,4,0,12,13,24,17,41,579,622,134,158,390,318,1103,1098,2201
LGA56860,0,0,3,4,7,0,4,0,0,3,0,3,4,7,3,0,0,0,0,3,3,3,6,33,41,5,10,43,26,81,77,158
LGA56930,3,3,30,16,46,10,4,0,0,3,15,13,19,32,13,7,0,0,3,13,16,20,36,289,308,23,24,175,210,487,542,1029
LGA57000,3,0,6,4,10,5,0,0,0,0,3,5,3,8,0,0,0,0,0,3,0,3,3,99,101,35,33,54,34,188,168,356
LGA57080,38,45,92,81,173,25,16,4,0,24,44,53,60,113,18,5,0,0,18,34,36,39,75,1897,1918,984,957,3295,2535,6176,5410,11586
LGA57140,11,5,25,17,42,10,5,0,0,6,4,16,9,25,3,0,0,0,6,13,9,13,22,206,218,45,53,131,130,382,401,783
LGA57210,13,23,51,51,102,24,19,0,0,12,29,36,48,84,18,7,0,0,6,25,24,32,56,904,919,180,199,567,576,1651,1694,3345
LGA57280,9,10,9,14,23,0,0,0,0,11,5,11,5,16,3,0,0,0,5,5,8,5,13,1581,1597,790,822,1713,1145,4084,3564,7648
LGA57350,7,10,18,20,38,9,9,0,0,3,4,12,13,25,3,3,0,0,5,7,8,10,18,210,216,34,36,105,127,349,379,728
LGA57420,4,6,23,19,42,4,3,0,0,3,3,7,6,13,0,3,0,0,4,3,4,6,10,364,363,92,90,212,122,668,575,1243
LGA57490,214,522,929,1059,1988,471,326,14,7,180,485,665,818,1483,227,94,6,3,153,410,386,507,893,17205,18542,4232,4744,12645,13750,34082,37036,71118
LGA57560,9,12,18,15,33,4,7,0,0,5,3,9,10,19,3,0,0,0,4,5,7,5,12,2552,2581,1091,1121,2251,1481,5894,5183,11077
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,9,6,12,7,38,34,72
LGA57700,26,42,104,108,212,61,33,0,0,17,40,78,73,151,19,9,3,0,16,25,38,34,72,3251,3474,736,806,1878,1917,5865,6197,12062
LGA57770,4,3,8,12,20,6,5,0,0,8,0,14,5,19,3,0,0,0,3,3,6,3,9,135,134,58,58,113,78,306,270,576
LGA57840,71,276,294,446,740,165,122,4,0,68,285,237,407,644,119,57,0,0,100,384,219,441,660,6399,6611,1481,1537,6471,7478,14351,15626,29977
LGA57910,544,1556,2171,2799,4970,1177,742,26,13,427,1465,1630,2220,3850,716,301,12,9,427,1588,1155,1898,3053,32900,33766,6984,7265,30303,34581,70187,75612,145799
LGA57980,40,126,150,208,358,72,34,0,0,39,132,111,166,277,41,25,4,3,33,121,78,149,227,2653,2740,676,698,2899,3315,6228,6753,12981
LGA58050,203,423,745,812,1557,377,202,5,0,125,426,507,628,1135,163,72,0,0,119,356,282,428,710,18397,19275,3998,4347,14377,15522,36772,39144,75916
LGA58190,8,3,11,7,18,0,0,0,0,0,6,0,6,6,6,0,0,0,0,0,6,0,6,73,72,11,16,66,30,150,118,268
LGA58260,8,0,8,0,8,3,3,0,0,3,5,6,8,14,0,0,0,0,3,5,3,5,8,108,111,26,34,77,52,211,197,408
LGA58330,14,24,63,43,106,17,8,0,0,6,16,23,24,47,10,6,0,0,8,11,18,17,35,832,911,141,177,487,520,1460,1608,3068
LGA58400,0,3,3,3,6,0,0,0,0,0,3,0,3,3,0,0,3,0,0,3,3,3,6,63,62,22,16,45,36,130,114,244
LGA58470,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,13,16,45,35,74,71,145
LGA58510,91,213,232,337,569,146,106,0,3,87,284,233,393,626,106,56,3,0,98,358,207,414,621,4581,4697,1378,1442,5884,5733,11843,11872,23715
LGA58540,6,0,15,3,18,5,3,0,0,3,0,8,3,11,0,3,0,0,3,0,3,3,6,166,172,34,31,136,58,336,261,597
LGA58570,70,172,233,299,532,125,69,0,0,70,206,195,275,470,94,40,0,0,53,237,147,277,424,4254,4398,1759,1725,5583,5513,11596,11636,23232
LGA58610,9,10,25,14,39,6,9,3,0,5,16,14,25,39,5,0,0,0,7,21,12,21,33,345,352,63,66,228,225,636,643,1279
LGA58680,3,0,7,3,10,5,0,0,0,0,3,5,3,8,0,0,0,0,0,0,0,0,0,103,106,22,24,40,17,165,147,312
LGA58760,200,543,1021,1134,2155,462,268,6,4,154,483,622,755,1377,232,104,4,3,145,379,381,486,867,26936,28302,5572,6012,17950,20019,50458,54333,104791
LGA58820,4,21,37,47,84,27,6,0,0,5,20,32,26,58,3,3,4,3,4,16,11,22,33,644,685,131,145,437,446,1212,1276,2488
LGA58890,0,4,7,18,25,9,4,0,0,4,5,13,9,22,6,0,0,0,4,0,10,0,10,207,207,28,31,88,65,323,303,626
LGA59030,0,3,3,3,6,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,3,0,3,47,50,6,11,31,17,84,78,162
LGA59100,3,4,6,8,14,5,0,0,0,3,0,8,0,8,3,3,0,0,4,4,7,7,14,143,141,24,24,95,73,262,238,500
LGA59170,5,9,12,13,25,6,3,4,0,0,3,10,6,16,3,0,0,0,0,0,3,0,3,199,201,41,38,101,74,341,313,654
LGA59250,3,0,3,0,3,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,31,25,28,34,72,96,131,155,286
LGA59310,3,3,9,6,15,10,4,0,0,4,9,14,13,27,3,0,0,0,0,8,3,8,11,244,250,64,68,184,139,492,457,949
LGA59320,4,0,8,3,11,3,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,83,85,21,21,42,31,146,137,283
LGA59330,3,4,3,10,13,5,0,0,3,3,3,8,6,14,3,0,0,0,3,4,6,4,10,98,97,12,15,69,61,179,173,352
LGA59340,7,6,14,11,25,5,3,0,3,3,6,8,12,20,0,0,3,0,3,4,6,4,10,775,813,436,452,1007,944,2218,2209,4427
LGA59350,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,12,14,26,20,55,50,105
LGA59360,6,0,16,6,22,4,3,0,0,4,3,8,6,14,0,0,0,0,4,3,4,3,7,218,216,53,54,164,94,435,364,799
LGA59370,9,24,54,54,108,21,14,0,0,13,24,34,38,72,6,5,0,0,3,13,9,18,27,660,689,113,128,383,433,1156,1250,2406
LGA59399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA60210,30,38,99,86,185,32,20,0,4,26,53,58,77,135,25,7,0,0,25,43,50,50,100,1105,1128,275,275,861,789,2241,2192,4433
LGA60410,19,57,91,99,190,32,17,4,0,14,47,50,64,114,13,7,0,0,14,35,27,42,69,2282,2324,763,788,1884,2328,4929,5440,10369
LGA60610,56,158,229,284,513,96,59,3,0,40,149,139,208,347,59,29,3,0,47,145,109,174,283,3221,3289,794,851,2480,3215,6495,7355,13850
LGA60810,67,188,294,359,653,132,71,3,0,61,169,196,240,436,68,34,0,0,48,155,116,189,305,4048,4159,745,775,2564,3098,7357,8032,15389
LGA61010,14,9,40,22,62,10,3,0,0,5,11,15,14,29,3,0,0,0,6,9,9,9,18,413,409,116,113,325,236,854,758,1612
LGA61210,33,55,93,97,190,32,16,0,0,11,42,43,58,101,25,11,0,0,16,41,41,52,93,1436,1448,369,384,954,940,2759,2772,5531
LGA61410,154,393,641,749,1390,343,191,3,5,133,441,479,637,1116,196,117,0,0,132,426,328,543,871,9414,9497,1989,2052,6458,8226,17861,19775,37636
LGA61510,39,61,116,112,228,34,23,0,0,31,57,65,80,145,16,10,0,0,20,42,36,52,88,1680,1688,503,529,1370,1313,3553,3530,7083
LGA61610,80,234,321,410,731,171,102,0,0,73,211,244,313,557,96,44,0,0,80,250,176,294,470,4125,4248,965,994,3153,4201,8243,9443,17686
LGA61810,25,49,107,112,219,56,27,0,0,27,69,83,96,179,13,8,0,0,15,44,28,52,80,1302,1309,269,270,855,892,2426,2471,4897
LGA62010,3,3,12,6,18,3,3,0,0,0,4,3,7,10,0,0,0,0,6,3,6,3,9,142,139,44,46,105,85,291,270,561
LGA62210,15,41,86,78,164,29,16,0,0,21,47,50,63,113,13,7,0,0,17,27,30,34,64,1157,1170,295,305,919,931,2371,2406,4777
LGA62410,27,37,88,73,161,21,10,0,0,20,26,41,36,77,10,5,0,0,14,32,24,37,61,796,804,190,190,532,450,1518,1444,2962
LGA62610,165,482,535,767,1302,263,177,3,0,159,420,425,597,1022,137,64,6,5,140,465,283,534,817,6558,6632,2074,2105,7015,8794,15647,17531,33178
LGA62810,114,336,454,588,1042,260,174,4,6,113,365,377,545,922,173,81,0,0,123,451,296,532,828,7373,7511,2086,2096,7875,9196,17334,18803,36137
LGA63010,49,79,201,165,366,80,43,3,0,37,70,120,113,233,29,16,0,0,31,59,60,75,135,2741,2775,764,783,1980,1915,5485,5473,10958
LGA63210,20,20,74,51,125,16,13,3,0,21,26,40,39,79,12,7,0,0,14,28,26,35,61,1163,1202,227,241,802,726,2192,2169,4361
LGA63410,11,10,20,18,38,6,3,0,0,7,8,13,11,24,3,0,0,0,3,18,6,18,24,271,270,81,85,256,181,608,536,1144
LGA63610,76,214,360,440,800,213,108,4,0,64,220,281,328,609,104,40,5,0,57,216,166,256,422,6567,6644,1281,1328,3774,4865,11622,12837,24459
LGA63810,31,90,135,152,287,55,38,3,0,28,70,86,108,194,34,6,0,0,12,65,46,71,117,1915,1954,367,391,1177,1319,3459,3664,7123
LGA64010,210,511,663,896,1559,342,235,7,5,173,508,522,748,1270,207,102,0,3,155,586,362,691,1053,10047,10187,2555,2563,9553,11678,22155,24428,46583
LGA64210,66,158,244,285,529,108,69,0,0,52,142,160,211,371,59,36,3,0,40,129,102,165,267,3732,3806,699,718,2209,2822,6640,7346,13986
LGA64610,48,77,200,173,373,66,39,0,0,23,76,89,115,204,27,10,0,0,36,74,63,84,147,2414,2429,497,513,1521,1629,4432,4571,9003
LGA64810,45,76,150,150,300,70,45,3,0,44,92,117,137,254,41,19,0,0,22,63,63,82,145,2265,2299,682,697,1752,1870,4699,4866,9565
LGA65010,18,33,57,50,107,22,15,0,0,19,29,41,44,85,7,0,0,0,9,32,16,32,48,1153,1154,262,269,813,702,2228,2125,4353
LGA65210,8,15,33,36,69,20,11,0,0,14,11,34,22,56,8,3,0,0,0,10,8,13,21,413,413,129,131,302,250,844,794,1638
LGA65410,43,111,185,214,399,96,59,0,0,46,99,142,158,300,52,17,0,5,26,101,78,123,201,2525,2594,548,566,1725,2033,4798,5193,9991
LGA65610,22,32,49,56,105,14,7,3,0,9,12,26,19,45,8,0,3,0,4,12,15,12,27,693,696,278,293,722,573,1693,1562,3255
LGA65810,68,135,276,314,590,155,73,5,0,61,139,221,212,433,58,35,0,0,51,147,109,182,291,4413,4493,736,762,2509,3020,7658,8275,15933
LGA69399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA70200,31,66,72,88,160,26,12,4,3,31,67,61,82,143,8,6,0,0,11,46,19,52,71,3157,3267,1285,1385,3475,3778,7917,8430,16347
LGA70420,4,16,12,20,32,3,3,0,0,7,13,10,16,26,3,0,0,0,4,14,7,14,21,781,789,221,225,960,1112,1962,2126,4088
LGA70540,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,12,10,7,6,46,35,65,51,116
LGA70620,3,14,10,18,28,7,0,0,0,3,9,10,9,19,3,0,0,0,3,15,6,15,21,509,506,47,56,394,574,950,1136,2086
LGA70700,0,9,4,9,13,3,0,0,0,3,3,6,3,9,0,0,0,0,3,0,3,0,3,111,114,63,66,181,145,355,325,680
LGA71000,115,187,335,309,644,98,39,0,3,85,169,183,211,394,40,9,0,3,43,106,83,118,201,9903,10196,3455,3622,10852,10204,24210,24022,48232
LGA71300,4,24,10,24,34,0,0,0,0,4,10,4,10,14,0,0,0,0,5,11,5,11,16,1062,1059,86,90,1621,1778,2769,2927,5696
LGA72200,16,16,36,24,60,9,3,0,0,8,12,17,15,32,0,0,0,0,5,3,5,3,8,1118,1174,474,520,1048,1044,2640,2738,5378
LGA72300,28,29,73,57,130,30,17,0,0,25,16,55,33,88,9,7,0,0,8,16,17,23,40,2580,2740,995,1070,2363,1758,5938,5568,11506
LGA72330,6,20,9,20,29,0,0,0,0,4,7,4,7,11,0,0,3,0,3,6,6,6,12,605,609,141,144,701,923,1447,1676,3123
LGA72800,31,59,69,82,151,21,4,0,0,17,36,38,40,78,6,4,0,0,7,24,13,28,41,3600,3796,1610,1733,3340,3389,8550,8918,17468
LGA73600,13,14,17,14,31,5,3,0,0,6,3,11,6,17,0,0,0,0,6,11,6,11,17,715,720,165,167,905,897,1785,1784,3569
LGA74050,4,0,7,0,7,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,265,264,156,150,381,391,802,805,1607
LGA74500,14,13,23,13,36,4,3,0,0,5,5,9,8,17,3,0,0,0,0,4,3,4,7,617,616,279,277,768,871,1664,1764,3428
LGA74560,0,0,3,3,6,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,61,58,27,28,58,41,146,127,273
LGA74660,4,5,4,11,15,0,0,0,0,5,4,5,4,9,0,0,0,0,7,3,7,3,10,781,777,120,127,966,931,1867,1835,3702
LGA79399,4,3,4,3,7,0,0,3,0,0,3,3,3,6,0,0,0,0,0,0,0,0,0,1000,991,361,376,825,477,2186,1844,4030
LGA89399,610,1647,2659,3169,5828,1378,841,25,6,497,1573,1900,2420,4320,809,392,13,3,481,1719,1303,2114,3417,62038,62881,13656,13941,49594,56253,125288,133075,258363
LGA99399,5,7,8,10,18,3,0,0,0,3,7,6,7,13,0,0,0,0,3,0,3,0,3,440,441,45,46,323,199,808,686,1494
