region_id,C11_Tot_res_Bo_par_bo_os,C11_Tot_res_Fa_onl_bo_os,C11_Tot_res_Mo_onl_bo_os,C11_Tot_res_Bo_pa_bo_Aus,C11_Tot_resp_Bplace_ns,C11_Tot_resp_Tot_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp
LGA34570,20,16,10,514,20,580,14,11,9,459,18,511
LGA34580,5933,2996,2289,31929,3084,46231,4981,1850,1387,23534,2854,34606
LGA34590,108738,32117,24437,178010,20892,364194,89738,19617,14980,131882,19021,275238
LGA34710,590,364,330,5268,395,6947,474,240,194,3984,364,5256
LGA34770,19741,9736,7325,104440,7946,149188,16290,6028,4531,76645,7188,110682
LGA34800,242,92,89,1462,331,2216,173,52,44,1091,317,1677
LGA34830,20,6,12,385,0,423,10,6,9,285,0,310
LGA34860,1315,690,558,14143,1485,18191,1118,458,351,10604,1428,13959
LGA35010,103164,44654,32561,300283,23838,504500,83777,27295,19852,220593,21649,373166
LGA35250,52,30,9,1202,29,1322,45,22,3,1113,18,1201
LGA35300,4693,1888,1515,17928,3842,29866,3891,1146,908,13435,3732,23112
LGA35600,501,265,200,4830,467,6263,425,169,129,3734,448,4905
LGA35670,17,0,0,1070,0,1087,15,0,0,805,0,820
LGA35760,1262,682,519,10390,889,13742,1083,444,310,7677,817,10331
LGA35780,181,78,68,3065,125,3517,143,52,44,2235,119,2593
LGA35790,48,32,13,2654,8,2755,53,22,14,2260,14,2363
LGA35800,184,122,67,2172,175,2720,149,62,49,1691,164,2115
LGA36070,35,24,9,713,0,781,23,12,6,648,0,689
LGA36150,132,85,67,1200,54,1538,102,45,41,912,54,1154
LGA36250,45099,16985,12247,103039,7298,184668,36743,10326,7468,75438,6466,136441
LGA36300,89,56,48,944,89,1226,76,32,31,733,74,946
LGA36360,14403,8468,6445,106257,10142,145715,11996,5134,3975,79395,9508,110008
LGA36510,8034,3872,2934,32236,2307,49383,6435,2350,1795,23726,2090,36396
LGA36580,3719,2005,1511,19908,1345,28488,3061,1247,910,14750,1184,21152
LGA36630,4299,2588,1859,30609,1985,41340,3523,1611,1162,22761,1807,30864
LGA36660,4930,2778,2037,33370,2083,45198,4126,1728,1224,24478,1865,33421
LGA36710,86915,37055,27062,251860,19954,422846,70633,22673,16711,184623,18153,312793
LGA36810,10027,4479,3206,37496,4129,59337,8377,2779,1972,27271,3806,44205
LGA36910,21745,12238,8961,148981,9799,201724,18148,7475,5426,109204,8954,149207
LGA36950,389,295,149,3112,556,4501,308,189,89,2383,529,3498
LGA36960,318,157,110,3957,110,4652,298,133,106,3382,104,4023
LGA37010,34868,18186,13669,156985,15206,238914,28785,11098,8313,114378,14182,176756
LGA37300,633,336,245,3173,555,4942,522,206,146,2400,533,3807
LGA37310,3304,1905,1627,33428,3232,43496,2695,1217,989,25057,3069,33027
LGA37340,7883,3161,2521,29599,4544,47708,6534,1949,1569,21879,4342,36273
LGA37400,192,110,81,1929,109,2421,167,72,52,1467,100,1858
LGA37550,10,9,0,947,16,982,10,4,3,908,10,935
LGA37570,0,10,0,285,0,295,3,6,0,273,0,282
LGA37600,12,17,0,2458,10,2497,14,8,5,2352,13,2392
LGA39399,983,304,228,2247,1218,4980,825,188,144,1613,1194,3964
LGA40070,11498,2139,1544,12122,4004,31307,10236,1305,937,8448,3920,24846
LGA40120,10375,5352,3705,30209,1744,51385,8587,3119,2215,22130,1554,37605
LGA40220,5529,2418,1833,19759,1150,30689,4734,1458,1111,14775,1028,23106
LGA40250,134,64,48,2280,47,2573,114,38,26,2194,53,2425
LGA40310,4211,2248,1738,19995,887,29079,3526,1347,1026,15119,805,21823
LGA40430,283,155,128,2402,122,3090,230,91,74,1897,114,2406
LGA40520,2080,850,608,9317,797,13652,1853,534,375,7049,725,10536
LGA40700,16406,4913,3580,27526,2189,54614,14453,3016,2141,19941,2017,41568
LGA40910,24693,5043,2884,24250,2132,59002,22619,3262,1822,17926,1976,47605
LGA41010,415,271,177,3732,253,4848,339,173,112,2928,241,3793
LGA41060,45057,11170,6858,61779,6339,131203,40842,7177,4256,45816,5823,103914
LGA41140,1318,646,598,8681,425,11668,1072,379,353,6526,378,8708
LGA41190,125,78,90,1865,40,2198,100,55,48,1464,42,1709
LGA41330,671,162,122,1419,220,2594,608,102,74,1023,212,2019
LGA41560,1835,951,732,12134,665,16317,1559,613,461,9493,600,12726
LGA41750,106,55,51,1227,49,1488,91,34,32,906,38,1101
LGA41830,199,105,86,1886,125,2401,167,68,58,1401,121,1815
LGA41960,118,101,74,1279,139,1711,101,58,39,947,127,1272
LGA42030,5816,2428,1988,15126,1319,26677,4988,1450,1194,11395,1184,20211
LGA42110,592,277,270,4059,255,5453,503,175,155,3073,225,4131
LGA42250,856,547,342,7562,525,9832,718,340,217,5845,480,7600
LGA42600,11335,3847,2538,25325,2465,45510,9694,2346,1563,18582,2324,34509
LGA42750,866,402,319,3864,260,5711,715,244,188,2933,251,4331
LGA43080,116,56,48,1049,85,1354,88,35,37,805,69,1034
LGA43220,60,54,64,1168,77,1423,44,31,36,898,73,1082
LGA43360,193,104,150,2172,128,2747,165,69,96,1710,109,2149
LGA43650,3011,1532,1267,11918,679,18407,2523,910,748,8908,600,13689
LGA43710,494,385,271,4804,291,6245,412,232,171,3660,275,4750
LGA43790,1452,757,553,11433,520,14715,1271,469,336,8725,478,11279
LGA43920,2038,904,708,6401,489,10540,1755,562,448,4944,437,8146
LGA44000,4,3,6,54,12,79,3,3,3,52,12,73
LGA44060,29472,9113,6536,56735,4356,106212,25976,5541,3978,42026,3955,81476
LGA44210,1333,626,472,7280,778,10489,1144,384,303,5492,749,8072
LGA44340,20486,8136,5684,46527,2565,83398,17702,4886,3440,33883,2300,62211
LGA44550,6813,3732,2677,25437,1186,39845,5599,2217,1602,18635,1042,29095
LGA44620,4103,2152,1443,23678,1317,32693,3526,1333,880,17963,1172,24874
LGA44830,409,191,133,2946,191,3870,349,115,91,2250,172,2977
LGA45040,3321,1508,1133,17737,1789,25488,2916,918,692,13289,1692,19507
LGA45090,1267,503,434,7672,520,10396,1072,311,254,5877,465,7979
LGA45120,462,238,293,4605,203,5801,388,147,176,3509,186,4406
LGA45290,14897,4040,2722,20920,2048,44627,13354,2499,1642,15023,1870,34388
LGA45340,51540,20229,14980,112246,8730,207725,43782,12175,9004,83751,7794,156506
LGA45400,105,34,42,965,26,1172,85,27,29,713,32,886
LGA45540,293,149,125,1593,176,2336,240,92,70,1209,163,1774
LGA45680,27236,10003,7826,51670,6004,102739,23492,6115,4780,38714,5493,78594
LGA45890,49792,11470,7604,63539,8592,140997,44993,7099,4616,47141,8043,111892
LGA46090,1568,1016,617,12837,2000,18038,1363,616,381,9942,1909,14211
LGA46300,1914,1360,862,13470,893,18499,1615,846,536,10120,798,13915
LGA46450,2086,1320,818,16663,1013,21900,1856,836,500,12984,912,17088
LGA46510,8254,2364,1502,12348,1071,25539,7409,1460,906,8957,972,19704
LGA46670,2049,669,423,7920,802,11863,1829,440,280,5999,761,9309
LGA46860,164,112,114,1393,104,1887,141,70,66,1047,96,1420
LGA46970,1197,576,395,4274,1055,7497,995,331,236,3201,1028,5791
LGA47140,54697,14014,10341,74338,9138,162528,48853,8685,6332,55643,8385,127898
LGA47290,261,122,90,2134,94,2701,214,66,53,1639,85,2057
LGA47490,223,134,134,2121,144,2756,183,88,86,1624,142,2123
LGA47630,919,365,308,6508,235,8335,821,231,184,5030,208,6474
LGA47700,35390,12392,8829,62567,4244,123422,30743,7543,5342,46386,3761,93775
LGA47800,589,342,332,5276,463,7002,489,217,213,4042,427,5388
LGA47910,229,174,143,2576,88,3210,196,109,94,1988,78,2465
LGA47980,12559,4753,3038,25914,2317,48581,11025,2844,1814,18493,2180,36356
LGA48050,3429,1285,847,10612,1077,17250,2957,784,522,8024,997,13284
LGA48130,954,535,428,6238,395,8550,821,326,250,4741,351,6489
LGA48260,2628,780,639,4707,416,9170,2337,483,392,3430,401,7043
LGA48340,1633,891,694,10814,551,14583,1406,549,429,8350,502,11236
LGA48410,23406,5775,3760,32655,3457,69053,21349,3656,2318,23960,3214,54497
LGA48540,6807,2546,1866,15686,1858,28763,5783,1547,1132,11985,1713,22160
LGA48640,91,65,71,1392,43,1662,88,34,48,1062,34,1266
LGA48750,1211,434,357,3523,236,5761,1014,272,212,2641,212,4351
LGA48830,1468,674,603,10690,518,13953,1251,425,374,8361,464,10875
LGA49399,1346,608,421,6210,960,9545,1120,375,257,4659,927,7338
LGA50080,9483,4606,3656,24190,2041,43976,7937,2851,2214,17857,1878,32737
LGA50210,28040,9164,7249,31224,4911,80588,23563,5513,4325,23126,4538,61065
LGA50250,4554,1459,1209,9377,2673,19272,3624,910,738,6999,2606,14877
LGA50280,3669,1719,1436,7904,1052,15780,2941,1039,853,5762,987,11582
LGA50350,6210,2166,1616,7907,1012,18911,5241,1318,959,5693,922,14133
LGA50420,34541,7696,5112,25402,4292,77043,30024,4742,3089,18453,3986,60294
LGA50490,18335,4165,2952,15938,3461,44851,15989,2534,1782,11721,3283,35309
LGA50560,361,155,118,1228,107,1969,297,99,66,939,99,1500
LGA50630,676,278,231,1601,697,3483,546,167,145,1222,674,2754
LGA50770,389,194,144,1222,79,2028,310,125,93,926,65,1519
LGA50840,1422,616,484,3052,208,5782,1203,391,293,2203,177,4267
LGA50910,118,90,70,758,77,1113,120,55,40,606,70,891
LGA50980,4559,2433,1585,16807,2613,27997,3813,1501,955,12905,2487,21661
LGA51080,186,102,94,1054,59,1495,150,59,52,795,58,1114
LGA51120,193,81,66,831,72,1243,150,50,42,641,67,950
LGA51190,9454,3916,2808,21728,3053,40959,7890,2444,1699,16253,2823,31109
LGA51260,7991,4365,3042,22477,1995,39870,6613,2693,1840,16596,1823,29565
LGA51310,10704,3954,2785,14958,1264,33665,8893,2391,1647,10745,1169,24845
LGA51330,52462,8888,6708,31659,5053,104770,46579,5327,4033,23340,4776,84055
LGA51400,4271,1878,1495,10147,995,18786,3558,1165,886,7572,903,14084
LGA51470,146,53,20,477,50,746,101,28,16,360,47,552
LGA51540,2253,775,623,5997,1095,10743,1943,499,384,4753,1054,8633
LGA51610,221,144,77,1061,91,1594,202,85,53,793,73,1206
LGA51680,1455,584,499,2852,267,5657,1228,353,293,2168,243,4285
LGA51750,3768,1319,979,5468,770,12304,3100,796,601,3925,724,9146
LGA51820,43481,12327,8813,44833,5296,114750,37375,7639,5345,32880,4821,88060
LGA51890,2575,1165,828,7430,935,12933,2111,715,515,5622,891,9854
LGA51960,1414,398,320,2724,680,5536,1095,254,200,2135,655,4339
LGA52030,215,118,115,913,61,1422,179,72,69,691,54,1065
LGA52100,158,78,72,919,36,1263,144,50,50,723,31,998
LGA52170,2533,1057,818,4966,801,10175,2013,642,503,3583,776,7517
LGA52240,278,106,113,809,77,1383,231,66,66,602,74,1039
LGA52310,176,102,60,739,40,1117,144,65,36,557,36,838
LGA52380,100,51,24,297,77,549,80,31,25,225,68,429
LGA52450,266,139,136,1113,91,1745,233,76,85,826,85,1305
LGA52520,244,153,100,1108,53,1658,207,90,75,839,46,1257
LGA52590,746,406,276,2513,366,4307,632,253,172,1935,351,3343
LGA52660,2954,1471,1222,9657,802,16106,2425,910,737,7129,732,11933
LGA52730,1895,827,654,3293,286,6955,1498,500,382,2372,261,5013
LGA52800,1407,602,407,7879,2607,12902,1172,385,255,6592,2586,10990
LGA52870,1485,720,486,3832,285,6808,1248,429,310,2834,266,5087
LGA52940,96,72,74,625,31,898,83,39,43,482,31,678
LGA53010,97,68,62,546,19,792,82,39,34,393,18,566
LGA53080,505,158,116,1177,284,2240,393,97,74,863,265,1692
LGA53150,2695,1082,822,4338,515,9452,2199,647,476,3068,469,6859
LGA53220,5060,1421,1109,9827,4015,21432,4088,871,672,7437,3946,17014
LGA53290,2686,1597,1153,10828,1172,17436,2213,977,711,8305,1074,13280
LGA53360,1244,568,433,3399,336,5980,1049,366,279,2599,311,4604
LGA53430,12446,4111,2825,14379,2439,36200,10334,2475,1650,10207,2295,26961
LGA53520,7853,4028,3062,29948,3126,48017,6493,2471,1846,22589,2881,36280
LGA53570,1464,533,461,2873,420,5751,1244,337,292,2206,387,4466
LGA53640,191,121,121,1169,110,1712,153,73,73,877,89,1265
LGA53710,153,67,90,884,65,1259,125,44,58,692,61,980
LGA53780,57033,12827,9682,44603,8978,133123,49689,7757,5838,33261,8420,104965
LGA53920,521,203,107,4147,235,5213,433,134,61,3691,222,4541
LGA53990,6650,2950,2153,16613,1595,29961,5486,1826,1318,12349,1467,22446
LGA54060,807,479,349,2940,203,4778,667,294,206,2207,190,3564
LGA54130,165,110,61,918,47,1301,133,65,42,697,42,979
LGA54170,82668,20163,15609,70660,7114,196214,68974,12082,9303,52469,6436,149264
LGA54200,22806,7924,5701,30233,3387,70051,18894,4770,3416,22301,3086,52467
LGA54280,10116,3097,2424,21121,4493,41251,8140,1881,1449,15911,4326,31707
LGA54340,1259,415,312,2916,324,5226,1121,272,197,2250,279,4119
LGA54410,206,118,101,966,78,1469,171,82,51,768,71,1143
LGA54480,66,17,60,480,15,638,50,14,34,385,12,495
LGA54550,394,222,166,1611,113,2506,326,133,105,1215,86,1865
LGA54620,270,114,121,897,153,1555,207,80,73,679,153,1192
LGA54690,73,40,51,397,14,575,63,26,35,284,12,420
LGA54760,145,78,96,711,19,1049,117,44,53,556,13,783
LGA54830,12310,4080,3065,15010,3373,37838,10113,2421,1852,11099,3181,28666
LGA54900,277,127,138,1116,58,1716,231,75,85,836,55,1282
LGA54970,710,174,152,1299,302,2637,576,103,88,1012,293,2072
LGA55040,1304,370,280,2227,1284,5465,1029,224,165,1640,1263,4321
LGA55110,24392,8676,6516,42660,5534,87778,20337,5351,4015,32106,5076,66885
LGA55180,2516,1316,901,7042,571,12346,2072,800,543,5131,502,9048
LGA55250,501,150,139,1244,452,2486,407,90,85,1007,439,2028
LGA55320,46943,12985,9490,48535,5033,122986,40313,7857,5678,35446,4614,93908
LGA55390,74,28,25,412,42,581,66,15,13,357,44,495
LGA55460,734,379,296,2567,241,4217,629,242,190,1965,220,3246
LGA55530,71,60,46,451,28,656,56,31,26,353,22,488
LGA55600,455,220,198,2126,153,3152,384,141,119,1619,145,2408
LGA55670,144,117,95,804,113,1273,137,65,59,600,97,958
LGA55740,3738,1215,900,4828,613,11294,3075,748,547,3477,576,8423
LGA55810,192,80,66,633,150,1121,151,48,36,521,158,914
LGA55880,92,65,36,457,21,671,61,35,24,340,15,475
LGA55950,87,38,61,467,6,659,64,30,33,352,12,491
LGA56020,174,56,55,741,90,1116,134,25,34,576,85,854
LGA56090,13615,5548,4027,20991,3629,47810,11065,3333,2394,15433,3422,35647
LGA56160,25,16,12,94,12,159,20,9,3,85,12,129
LGA56230,3860,1814,1423,9630,1033,17760,3185,1125,882,7378,966,13536
LGA56300,405,164,150,947,97,1763,320,105,87,670,79,1261
LGA56370,162,65,49,685,56,1017,140,59,30,522,54,805
LGA56450,178,112,117,721,32,1160,154,65,61,533,30,843
LGA56520,924,500,381,3431,292,5528,737,296,239,2616,270,4158
LGA56580,9643,3104,2481,11871,1459,28558,8003,1865,1456,8510,1379,21213
LGA56620,130,49,29,1419,52,1679,109,28,14,1351,55,1557
LGA56730,2567,1237,936,7561,1026,13327,2148,749,563,5766,963,10189
LGA56790,967,443,326,3194,336,5266,825,287,206,2479,312,4109
LGA56860,31,30,7,200,31,299,31,25,9,150,25,240
LGA56930,484,203,238,1029,132,2086,386,117,135,744,133,1515
LGA57000,417,134,101,887,133,1672,339,82,59,655,136,1271
LGA57080,12287,1589,1220,7190,4450,26736,10699,967,727,5033,4410,21836
LGA57140,235,129,72,903,78,1417,191,76,45,703,73,1088
LGA57210,1337,579,514,3341,393,6164,1128,364,314,2499,364,4669
LGA57280,5129,1679,1328,10617,4347,23100,4198,1005,803,8085,4247,18338
LGA57350,144,113,74,886,49,1266,133,74,42,701,39,989
LGA57420,600,296,183,1642,206,2927,491,177,116,1256,189,2229
LGA57490,47387,14359,11468,53445,7275,133934,39567,8657,6855,39625,6663,101367
LGA57560,8761,2564,2035,16229,7447,37036,7194,1560,1242,12275,7337,29608
LGA57630,35,13,25,117,17,207,32,12,12,88,17,161
LGA57700,6347,2662,2177,10558,1207,22951,5276,1602,1336,7909,1104,17227
LGA57770,515,288,154,1451,145,2553,448,177,99,1117,137,1978
LGA57840,20176,4934,3907,20542,3156,52715,17306,2969,2347,14745,3011,40378
LGA57910,102575,24633,17242,87911,14865,247226,89216,15245,10475,63881,14030,192847
LGA57980,9104,2553,1783,8636,1626,23702,7639,1513,1042,6067,1528,17789
LGA58050,49931,14700,11146,55546,8261,139584,42456,8931,6770,41185,7616,106958
LGA58190,65,30,30,349,33,507,60,18,19,270,23,390
LGA58260,141,52,64,500,57,814,125,32,43,403,56,659
LGA58330,1303,621,411,2859,392,5586,1082,400,250,2132,371,4235
LGA58400,74,40,28,270,20,432,70,28,14,207,17,336
LGA58470,19,15,17,238,33,322,23,7,8,216,31,285
LGA58510,17587,3797,2935,13584,3465,41368,15333,2284,1713,9813,3353,32496
LGA58540,201,100,84,760,67,1212,155,50,53,574,60,892
LGA58570,16557,4462,2970,14059,2867,40915,14102,2677,1750,9799,2722,31050
LGA58610,434,207,210,1393,101,2345,358,125,125,1086,80,1774
LGA58680,111,48,50,350,19,578,92,31,32,264,23,442
LGA58760,87621,18414,14153,60013,10478,190679,74857,11220,8576,44683,9664,149000
LGA58820,988,437,388,2634,198,4645,851,280,241,1950,176,3498
LGA58890,135,88,71,763,48,1105,106,54,42,600,43,845
LGA59030,78,21,18,234,14,365,67,11,21,172,18,289
LGA59100,82,70,69,640,60,921,84,48,40,469,47,688
LGA59170,107,91,106,799,43,1146,94,51,61,631,42,879
LGA59250,756,154,134,1226,284,2554,593,93,82,942,280,1990
LGA59310,206,147,89,1260,88,1790,174,87,60,976,87,1384
LGA59320,66,40,38,326,24,494,55,26,25,257,18,381
LGA59330,106,48,27,406,64,651,78,35,25,317,58,513
LGA59340,2199,879,716,9308,1436,14538,1825,542,454,7318,1380,11519
LGA59350,202,56,31,458,143,890,155,33,30,334,136,688
LGA59360,669,271,202,1470,351,2963,532,162,128,1048,340,2210
LGA59370,891,437,337,2516,229,4410,724,257,189,1884,213,3267
LGA59399,1015,296,253,1632,573,3769,828,177,147,1179,559,2890
LGA60210,1064,461,347,5449,418,7739,860,277,205,4244,385,5971
LGA60410,1181,895,474,15230,1338,19118,966,559,296,12198,1269,15288
LGA60610,2274,1436,865,18687,1256,24518,1921,866,521,14563,1169,19040
LGA60810,2513,1443,1060,19924,1215,26155,2143,890,645,15654,1122,20454
LGA61010,269,113,68,2106,178,2734,217,82,42,1712,167,2220
LGA61210,910,483,330,7815,489,10027,741,286,201,6133,448,7809
LGA61410,7468,4863,3153,46916,3317,65717,6249,2976,1891,36311,3060,50487
LGA61510,1059,610,367,9391,627,12054,876,362,222,7539,567,9566
LGA61610,2819,1655,1142,23273,1661,30550,2400,1012,713,18297,1499,23921
LGA61810,673,353,326,6642,388,8382,554,228,197,5256,364,6599
LGA62010,110,42,39,731,49,971,94,26,24,557,47,748
LGA62210,1000,608,338,5966,433,8345,846,374,216,4696,376,6508
LGA62410,602,278,245,3923,244,5292,498,167,135,3029,241,4070
LGA62610,6822,3791,2174,40515,2904,56206,6050,2296,1346,31562,2661,43915
LGA62810,14506,6648,4488,37971,3553,67166,12261,3942,2647,27388,3320,49558
LGA63010,3034,1436,1064,13324,760,19618,2476,852,645,10126,660,14759
LGA63210,1042,500,318,5705,285,7850,861,298,192,4441,259,6051
LGA63410,292,159,74,1409,89,2023,260,97,52,1062,78,1549
LGA63610,8478,4083,2980,27268,1589,44398,7050,2393,1740,20310,1403,32896
LGA63810,1202,601,450,9406,500,12159,1009,363,269,7401,460,9502
LGA64010,10156,5842,4002,59062,4267,83329,8725,3545,2416,45553,3901,64140
LGA64210,2795,1330,1140,17660,979,23904,2323,800,684,13821,896,18524
LGA64610,1448,841,579,11798,572,15238,1219,523,367,9396,519,12024
LGA64810,1585,1163,715,12376,803,16642,1314,695,456,9635,727,12827
LGA65010,541,350,215,5899,429,7434,437,222,133,4689,398,5879
LGA65210,417,208,120,1992,173,2910,330,123,68,1527,154,2202
LGA65410,1759,881,704,12965,762,17071,1483,535,455,10248,687,13408
LGA65610,604,387,247,4865,415,6518,490,241,143,3795,380,5049
LGA65810,4251,2129,1491,18985,1116,27972,3611,1289,894,14501,1022,21317
LGA69399,162,56,32,428,77,755,126,35,24,312,74,571
LGA70200,7465,2459,1937,20150,3193,35204,6215,1468,1174,15243,3048,27148
LGA70420,775,301,203,6374,902,8555,634,186,128,5727,896,7571
LGA70540,0,7,0,173,0,180,0,3,0,164,0,167
LGA70620,339,136,74,3638,338,4525,283,86,50,3371,337,4127
LGA70700,264,100,78,1215,263,1920,231,65,51,922,246,1515
LGA71000,27657,8063,6661,48152,10991,101524,23888,4920,4039,34928,10530,78305
LGA71300,299,122,90,9024,213,9748,267,81,60,8491,214,9113
LGA72200,1675,788,743,9073,1260,13539,1400,480,451,7003,1203,10537
LGA72300,4001,2128,1838,15750,2907,26624,3322,1289,1089,11869,2786,20355
LGA72330,418,154,72,5347,894,6885,342,102,48,4964,882,6338
LGA72800,6459,3046,2701,21577,3005,36788,5326,1858,1602,15808,2835,27429
LGA73600,605,282,183,6943,567,8580,511,181,115,6300,548,7655
LGA74050,109,45,15,2473,46,2688,98,37,19,2376,45,2575
LGA74500,385,178,114,6241,258,7176,327,126,74,5792,255,6574
LGA74560,98,44,30,313,31,516,75,25,20,215,31,366
LGA74660,782,274,247,6685,458,8446,682,161,145,6102,443,7533
LGA79399,2494,1020,893,7288,2323,14018,2109,612,528,5406,2285,10940
LGA89399,125946,45863,35808,253828,21487,482932,108855,27203,20988,179944,19909,356899
LGA99399,1109,248,211,1461,948,3977,1004,169,156,1168,941,3438
