region_id,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T
LGA10050,29,27,16,3,75,1766,2055,865,308,4994
LGA10110,19,7,6,4,36,778,921,430,162,2291
LGA10150,22,16,7,3,48,2014,1948,519,132,4613
LGA10200,53,62,46,46,207,3605,3663,1452,906,9626
LGA10250,13,12,13,3,41,1449,1644,641,244,3978
LGA10300,0,0,3,0,3,95,87,49,27,258
LGA10350,125,144,102,70,441,7923,9619,4685,2490,24717
LGA10470,16,25,12,0,53,1386,1652,756,335,4129
LGA10550,13,15,11,4,43,1168,1170,516,196,3050
LGA10600,3,10,3,0,16,449,480,210,83,1222
LGA10650,4,0,0,3,7,255,264,142,81,742
LGA10750,234,226,136,79,675,14902,17724,7180,3283,43089
LGA10800,4,4,0,0,8,201,216,136,98,651
LGA10850,4,5,0,0,9,258,294,171,78,801
LGA10900,37,18,16,6,77,3267,3796,1573,582,9218
LGA10950,5,0,0,0,5,106,119,61,31,317
LGA11000,3,0,0,0,3,75,104,43,17,239
LGA11050,0,3,3,0,6,81,88,54,22,245
LGA11100,23,29,15,0,67,1983,2204,655,160,5002
LGA11150,3,4,3,0,10,82,85,61,32,260
LGA11200,0,0,0,0,0,57,45,27,24,153
LGA11250,17,11,6,4,38,665,613,261,102,1641
LGA11300,20,19,11,3,53,1519,1649,535,169,3872
LGA11350,16,15,6,3,40,1084,1216,419,134,2853
LGA11400,4,8,5,3,20,470,579,342,157,1548
LGA11450,35,37,16,3,91,2501,3831,1566,595,8493
LGA11500,87,101,56,40,284,6700,7547,3154,1611,19012
LGA11520,35,43,11,4,93,3890,4116,1268,271,9545
LGA11550,117,121,70,35,343,7154,7217,2898,1277,18546
LGA11600,3,0,0,0,3,91,110,52,34,287
LGA11700,0,0,0,0,0,66,50,27,17,160
LGA11720,31,38,14,6,89,2102,2234,1016,401,5753
LGA11730,23,20,9,7,59,1691,1787,809,367,4654
LGA11750,0,7,0,0,7,158,199,100,44,501
LGA11800,41,23,18,9,91,2579,2806,1167,422,6974
LGA11860,0,0,4,0,4,61,69,45,31,206
LGA12000,3,0,3,0,6,124,147,116,58,445
LGA12050,4,10,0,0,14,334,415,177,77,1003
LGA12150,3,3,0,0,6,126,115,74,42,357
LGA12200,3,4,3,4,14,251,263,133,54,701
LGA12300,8,6,4,3,21,365,427,202,85,1079
LGA12350,14,13,3,3,33,430,438,241,96,1205
LGA12500,5,4,4,0,13,235,262,120,50,667
LGA12600,24,27,16,3,70,1477,1633,847,332,4289
LGA12700,7,4,3,3,17,360,387,158,77,982
LGA12750,19,18,3,3,43,1194,1092,481,225,2992
LGA12850,167,171,123,62,523,8551,10227,4907,2170,25855
LGA12900,3,3,7,0,13,291,315,212,76,894
LGA12950,6,0,0,0,6,158,153,95,31,437
LGA13010,11,4,5,0,20,279,272,161,52,764
LGA13050,3,6,0,0,9,171,183,69,31,454
LGA13100,90,93,32,18,233,6410,8011,3187,1044,18652
LGA13310,21,24,6,4,55,1106,1084,489,209,2888
LGA13320,20,22,3,0,45,1058,1069,447,162,2736
LGA13340,4,5,3,3,15,398,407,235,118,1158
LGA13380,15,27,17,8,67,1573,1610,784,327,4294
LGA13450,19,27,6,16,68,926,1148,671,248,2993
LGA13500,8,4,0,0,12,146,120,99,52,417
LGA13550,15,5,3,8,31,451,514,247,105,1317
LGA13650,4,3,0,4,11,154,156,109,50,469
LGA13660,5,3,3,3,14,195,190,113,36,534
LGA13700,0,0,0,3,3,118,122,68,43,351
LGA13800,48,52,20,13,133,2754,3260,1585,619,8218
LGA13850,0,0,3,0,3,113,113,60,28,314
LGA13950,57,71,50,25,203,5113,5189,2062,1010,13374
LGA14000,71,93,41,5,210,8251,10968,3950,974,24143
LGA14100,9,9,0,0,18,560,716,345,94,1715
LGA14150,48,58,15,9,130,4203,4577,1474,465,10719
LGA14200,13,9,6,5,33,612,598,311,142,1663
LGA14250,0,4,0,0,4,44,63,47,13,167
LGA14300,5,0,5,3,13,190,214,120,63,587
LGA14350,18,14,7,9,48,907,852,455,216,2430
LGA14400,13,4,7,3,27,811,1033,470,118,2432
LGA14450,43,41,17,4,105,3135,3286,1103,312,7836
LGA14500,37,58,25,3,123,5043,7905,3315,788,17051
LGA14550,8,3,0,0,11,343,288,189,79,899
LGA14600,10,3,0,0,13,257,237,144,62,700
LGA14650,115,120,52,25,312,7877,9541,3719,1121,22258
LGA14700,10,24,5,0,39,1479,1830,711,138,4158
LGA14750,6,5,4,3,18,428,431,235,113,1207
LGA14800,25,11,3,4,43,2588,2420,571,100,5679
LGA14850,12,21,3,5,41,1507,1771,758,289,4325
LGA14870,9,21,8,6,44,711,846,355,129,2041
LGA14900,145,149,94,56,444,8224,11084,4911,2199,26418
LGA14920,7,3,3,0,13,279,276,147,45,747
LGA14950,0,0,3,3,6,122,111,79,38,350
LGA15050,33,42,11,9,95,2984,3623,1452,561,8620
LGA15150,13,15,6,0,34,1647,2206,828,133,4814
LGA15200,37,28,12,0,77,3278,3000,787,223,7288
LGA15270,20,13,15,6,54,869,881,481,176,2407
LGA15300,16,16,5,0,37,483,514,256,132,1385
LGA15350,17,6,7,0,30,1098,1398,621,124,3241
LGA15500,3,3,3,0,9,219,266,141,37,663
LGA15550,0,3,0,0,3,79,89,52,21,241
LGA15650,11,6,6,3,26,605,693,370,124,1792
LGA15700,7,4,6,0,17,580,566,270,122,1538
LGA15750,15,10,15,5,45,477,555,283,118,1433
LGA15800,9,0,0,0,9,216,215,114,63,608
LGA15850,7,3,0,0,10,212,236,143,74,665
LGA15900,50,55,24,8,137,5870,6440,2399,658,15367
LGA15950,19,19,5,0,43,2509,1801,429,85,4824
LGA16100,4,3,3,0,10,200,214,119,37,570
LGA16150,9,25,3,10,47,1418,1682,800,291,4191
LGA16180,9,4,4,0,17,630,810,343,111,1894
LGA16200,9,6,7,4,26,518,491,344,172,1525
LGA16250,119,103,39,46,307,8615,8320,2941,1495,21371
LGA16350,121,147,73,35,376,8214,9881,4229,1715,24039
LGA16370,38,39,12,3,92,2543,3681,1417,314,7955
LGA16380,40,33,14,5,92,2523,2867,1192,423,7005
LGA16400,34,38,24,11,107,2429,2927,1252,471,7079
LGA16470,15,19,8,0,42,1707,2074,789,221,4791
LGA16550,75,54,21,7,157,5249,5937,1851,375,13412
LGA16610,12,8,3,3,26,789,786,418,199,2192
LGA16650,87,48,30,16,181,4968,4779,1663,641,12051
LGA16700,39,49,19,3,110,5212,5821,1847,350,13230
LGA16900,41,41,26,6,114,2770,3547,1367,542,8226
LGA16950,51,43,19,10,123,3205,3466,1473,575,8719
LGA17000,11,21,10,3,45,981,1256,561,201,2999
LGA17050,4,8,0,0,12,255,353,102,28,738
LGA17100,24,17,11,4,56,1800,1904,672,258,4634
LGA17150,99,123,44,8,274,9737,13297,5364,1310,29708
LGA17200,41,28,3,5,77,4365,2598,522,92,7577
LGA17310,41,39,13,4,97,2174,2340,1052,364,5930
LGA17350,6,4,0,0,10,195,214,122,68,599
LGA17400,3,3,3,3,12,226,196,107,63,592
LGA17420,85,94,34,15,228,8756,12955,4893,1362,27966
LGA17450,5,6,4,0,15,102,116,60,39,317
LGA17500,6,8,6,3,23,414,507,218,93,1232
LGA17550,52,55,17,15,139,3077,3238,1428,497,8240
LGA17620,11,11,6,0,28,558,611,310,92,1571
LGA17640,4,5,3,0,12,262,298,165,58,783
LGA17650,0,4,5,0,9,248,272,125,64,709
LGA17700,0,0,0,0,0,29,43,29,17,118
LGA17750,30,25,11,5,71,2185,2539,1291,518,6533
LGA17800,0,0,0,7,7,134,155,85,25,399
LGA17850,3,3,0,0,6,114,121,62,24,321
LGA17900,8,7,3,3,21,208,166,103,58,535
LGA17950,0,0,0,0,0,110,106,57,18,291
LGA18000,81,92,31,6,210,6494,8965,3224,717,19400
LGA18020,6,0,3,3,12,273,349,198,89,909
LGA18050,38,36,5,6,85,2404,2612,924,185,6125
LGA18100,3,0,3,3,9,134,123,82,27,366
LGA18150,7,5,3,0,15,271,273,169,71,784
LGA18200,9,4,3,0,16,240,266,139,60,705
LGA18250,30,29,5,5,69,3425,4071,1355,232,9083
LGA18350,17,28,7,4,56,1570,1928,919,362,4779
LGA18400,46,59,29,7,141,1932,2560,1275,481,6248
LGA18450,93,95,38,25,251,7936,9796,3814,1170,22716
LGA18500,19,32,10,0,61,1934,2100,848,195,5077
LGA18550,92,103,35,22,252,5617,6698,2876,1100,16291
LGA18710,3,4,3,0,10,639,821,388,137,1985
LGA18750,7,6,3,0,16,428,500,269,131,1328
LGA19399,3,3,0,0,6,52,46,19,8,125
LGA20110,6,7,0,0,13,415,502,221,69,1207
LGA20260,9,3,3,3,18,406,404,189,87,1086
LGA20570,39,48,26,10,123,3373,4001,1801,628,9803
LGA20660,62,83,25,14,184,5433,6841,2371,620,15265
LGA20740,14,25,10,3,52,997,1116,493,142,2748
LGA20830,27,38,17,14,96,1571,2002,1018,393,4984
LGA20910,49,55,18,3,125,3771,6058,2358,423,12610
LGA21010,9,9,4,0,22,491,502,233,89,1315
LGA21110,69,87,30,6,192,6566,9824,4016,812,21218
LGA21180,235,198,99,51,583,8891,9879,3933,1359,24062
LGA21270,4,3,3,3,13,213,235,138,78,664
LGA21370,22,29,13,11,75,1283,1451,804,327,3865
LGA21450,64,83,24,12,183,3229,4267,1920,717,10133
LGA21610,206,252,112,58,628,12162,16182,6205,2666,37215
LGA21670,13,8,4,0,25,428,412,219,85,1144
LGA21750,16,11,6,4,37,742,802,429,173,2146
LGA21830,4,13,15,3,35,553,677,430,185,1845
LGA21890,97,82,35,17,231,5887,6511,2158,585,15141
LGA22110,33,29,12,11,85,1428,1576,676,262,3942
LGA22170,94,87,46,22,249,5363,6330,2364,762,14819
LGA22250,7,3,3,4,17,344,349,231,99,1023
LGA22310,57,80,33,14,184,5801,7548,2584,665,16598
LGA22410,7,14,3,0,24,753,879,337,111,2080
LGA22490,16,18,10,5,49,810,1111,551,187,2659
LGA22620,52,45,26,13,136,3887,4299,1982,755,10923
LGA22670,137,130,73,54,394,6736,6561,2441,1148,16886
LGA22750,145,127,62,20,354,8351,9998,4104,1252,23705
LGA22830,43,62,27,15,147,2281,2721,1247,565,6814
LGA22910,8,3,10,0,21,513,539,242,82,1376
LGA22980,3,3,3,0,9,207,236,105,38,586
LGA23110,74,60,20,11,165,3832,4556,1493,509,10390
LGA23190,13,9,13,4,39,707,840,399,126,2072
LGA23270,148,184,97,76,505,7508,9794,4551,2194,24047
LGA23350,3,16,3,0,22,583,734,306,111,1734
LGA23430,105,121,36,6,268,6752,8385,2757,584,18478
LGA23670,114,141,42,18,315,7381,9611,3499,962,21453
LGA23810,70,50,25,11,156,2802,3126,1277,493,7698
LGA23940,8,0,4,3,15,249,247,144,60,700
LGA24130,27,26,19,3,75,1766,2462,1099,347,5674
LGA24210,91,77,38,3,209,5846,7295,2632,547,16320
LGA24250,6,4,0,0,10,249,293,125,52,719
LGA24330,60,46,13,9,128,3202,3122,910,296,7530
LGA24410,64,86,34,7,191,4621,5788,2369,623,13401
LGA24600,19,14,4,12,49,2310,1296,322,153,4081
LGA24650,75,101,52,21,249,5312,6970,2735,894,15911
LGA24780,47,38,25,12,122,1829,2098,1087,423,5437
LGA24850,22,38,24,4,88,1376,1790,849,304,4319
LGA24900,23,20,23,5,71,985,1018,610,278,2891
LGA24970,106,94,21,8,229,8486,10034,2799,636,21955
LGA25060,72,65,31,16,184,4698,5822,2281,511,13312
LGA25150,19,17,17,3,56,1172,1522,707,256,3657
LGA25250,91,90,42,28,251,6169,6754,2309,914,16146
LGA25340,104,116,46,19,285,5311,7125,2793,837,16066
LGA25430,13,11,7,0,31,623,667,312,104,1706
LGA25490,15,7,8,4,34,617,732,432,162,1943
LGA25620,17,15,5,4,41,500,613,209,78,1400
LGA25710,41,36,21,4,102,2744,4645,1939,491,9819
LGA25810,8,7,0,3,18,414,478,195,84,1171
LGA25900,27,24,9,0,60,3041,2488,635,159,6323
LGA25990,7,3,3,3,16,231,232,146,49,658
LGA26080,0,4,0,0,4,82,129,39,13,263
LGA26170,9,21,16,8,54,974,1134,564,219,2891
LGA26260,8,8,8,0,24,584,689,372,120,1765
LGA26350,36,42,27,6,111,3197,3736,1450,308,8691
LGA26430,4,7,4,0,15,340,333,132,56,861
LGA26490,14,16,11,3,44,1034,1453,648,161,3296
LGA26610,23,12,9,12,56,757,761,465,198,2181
LGA26670,0,6,5,0,11,184,254,139,41,618
LGA26700,15,13,5,7,40,1034,1146,584,193,2957
LGA26730,20,15,4,4,43,1132,1356,685,251,3424
LGA26810,30,25,17,9,81,1499,1678,872,303,4352
LGA26890,0,4,0,0,4,157,180,89,30,456
LGA26980,69,90,25,3,187,6935,8825,2949,656,19365
LGA27070,159,168,76,33,436,7885,9940,3698,1163,22686
LGA27170,13,23,4,3,43,1376,1661,750,228,4015
LGA27260,128,136,57,38,359,8343,9546,3602,1388,22879
LGA27350,23,19,13,13,68,2418,2217,543,149,5327
LGA27450,118,144,73,20,355,6360,8403,3593,1114,19470
LGA27630,6,5,3,0,14,224,263,139,58,684
LGA29399,0,0,0,0,0,4,13,0,0,17
LGA30250,0,7,3,3,13,43,39,21,28,131
LGA30300,7,7,4,0,18,173,184,123,54,534
LGA30370,18,17,4,3,42,575,682,361,146,1764
LGA30410,6,4,4,3,17,136,147,63,28,374
LGA30450,0,0,0,0,0,9,13,6,0,28
LGA30760,3,0,0,0,3,88,93,45,17,243
LGA30900,0,3,3,0,6,9,19,15,4,47
LGA31000,452,466,180,89,1187,43728,50912,18808,5887,119335
LGA31750,3,0,0,0,3,15,15,4,3,37
LGA31820,68,50,32,12,162,3251,3411,1473,717,8852
LGA31900,15,9,6,7,37,690,776,382,136,1984
LGA31950,0,0,0,0,0,12,11,3,3,29
LGA32070,107,83,49,37,276,6085,6663,2491,1095,16334
LGA32250,3,0,6,3,12,53,54,25,30,162
LGA32260,27,18,14,8,67,1081,1050,484,230,2845
LGA32270,24,28,20,9,81,1176,1466,739,303,3684
LGA32310,16,18,5,6,45,412,488,234,125,1259
LGA32330,0,0,0,0,0,22,23,20,38,103
LGA32450,4,0,3,3,10,92,95,53,36,276
LGA32500,7,3,0,3,13,89,115,56,35,295
LGA32600,0,0,0,0,0,9,15,7,0,31
LGA32750,0,0,0,0,0,16,10,0,0,26
LGA32770,0,0,0,0,0,45,28,31,46,150
LGA33100,0,3,0,0,3,37,29,22,6,94
LGA33200,3,3,0,0,6,66,55,38,19,178
LGA33220,63,76,24,14,177,3316,3481,1475,681,8953
LGA33360,44,43,23,11,121,2565,2992,1246,472,7275
LGA33430,341,319,91,45,796,20724,23015,7988,2524,54251
LGA33610,8,6,3,3,20,377,443,269,94,1183
LGA33620,29,28,13,7,77,1571,1763,787,383,4504
LGA33800,14,8,10,0,32,476,511,223,73,1283
LGA33830,3,0,0,3,6,27,34,22,22,105
