region_id,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
IREG101,37,492,117,646,29,317,90,436,56,442,141,639,73,409,94,576,59,382,45,486,26,310,27,363,17,150,35,202,297,2502,549,3348,45,470,95,610,68,344,33,445,98,523,44,665,142,515,66,723,115,409,36,560,69,270,28,367,29,180,56,265,566,2711,358,3635,82,962,212,1256,97,661,123,881,154,965,185,1304,215,924,160,1299,174,791,81,1046,95,580,55,730,46,330,91,467,863,5213,907,6983
IREG102,57,739,155,951,58,513,73,644,73,707,126,906,131,679,115,925,119,637,76,832,59,411,56,526,26,267,60,353,523,3953,661,5137,72,710,140,922,69,549,39,657,164,831,70,1065,231,745,87,1063,182,661,70,913,109,358,63,530,35,295,75,405,862,4149,544,5555,129,1449,295,1873,127,1062,112,1301,237,1538,196,1971,362,1424,202,1988,301,1298,146,1745,168,769,119,1056,61,562,135,758,1385,8102,1205,10692
IREG103,20,292,65,377,24,231,47,302,47,305,70,422,62,340,49,451,45,327,42,414,21,242,19,282,18,136,25,179,237,1873,317,2427,31,301,72,404,27,264,29,320,71,340,36,447,100,416,46,562,90,319,34,443,46,209,31,286,23,159,35,217,388,2008,283,2679,51,593,137,781,51,495,76,622,118,645,106,869,162,756,95,1013,135,646,76,857,67,451,50,568,41,295,60,396,625,3881,600,5106
IREG104,189,2468,455,3112,160,1703,215,2078,296,2242,323,2861,395,2077,263,2735,405,1821,193,2419,231,1164,120,1515,116,725,155,996,1792,12200,1724,15716,233,2378,361,2972,247,1691,115,2053,530,2295,160,2985,793,2323,191,3307,698,1971,175,2844,404,1180,133,1717,145,789,243,1177,3050,12627,1378,17055,422,4846,816,6084,407,3394,330,4131,826,4537,483,5846,1188,4400,454,6042,1103,3792,368,5263,635,2344,253,3232,261,1514,398,2173,4842,24827,3102,32771
IREG105,66,924,195,1185,61,625,166,852,112,787,254,1153,121,767,179,1067,111,739,112,962,82,465,81,628,37,290,69,396,590,4597,1056,6243,80,872,143,1095,101,618,49,768,199,892,84,1175,282,869,79,1230,223,697,69,989,112,404,71,587,54,319,84,457,1051,4671,579,6301,146,1796,338,2280,162,1243,215,1620,311,1679,338,2328,403,1636,258,2297,334,1436,181,1951,194,869,152,1215,91,609,153,853,1641,9268,1635,12544
IREG106,46,485,94,625,42,295,55,392,70,410,122,602,64,468,91,623,84,391,53,528,37,277,38,352,33,160,36,229,376,2486,489,3351,42,451,65,558,44,280,22,346,101,487,46,634,141,471,45,657,154,429,45,628,71,251,36,358,33,172,42,247,586,2541,301,3428,88,936,159,1183,86,575,77,738,171,897,168,1236,205,939,136,1280,238,820,98,1156,108,528,74,710,66,332,78,476,962,5027,790,6779
IREG107,164,2414,398,2976,170,1832,322,2324,292,2536,382,3210,380,2287,323,2990,355,1828,220,2403,229,1174,159,1562,120,662,175,957,1710,12733,1979,16422,229,2322,322,2873,243,1876,154,2273,574,2751,239,3564,734,2553,220,3507,631,1973,198,2802,332,1281,154,1767,137,847,229,1213,2880,13603,1516,17999,393,4736,720,5849,413,3708,476,4597,866,5287,621,6774,1114,4840,543,6497,986,3801,418,5205,561,2455,313,3329,257,1509,404,2170,4590,26336,3495,34421
IREG194,7,34,15,56,5,29,17,51,11,45,29,85,7,51,59,117,6,32,49,87,3,8,16,27,0,5,9,14,39,204,194,437,3,35,5,43,6,30,7,43,10,49,33,92,13,15,26,54,6,17,18,41,3,19,3,25,0,3,4,7,41,168,96,305,10,69,20,99,11,59,24,94,21,94,62,177,20,66,85,171,12,49,67,128,6,27,19,52,0,8,13,21,80,372,290,742
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
