Jurisdiction,ML code,Medicare Local,Peer group,Quarter,Number of checks,Indigenous population,Usage
Vic,ML214,Loddon - Mallee - Murray,Regional 2,2013Q1,129,"4,814",10.7%
Vic,ML214,Loddon - Mallee - Murray,Regional 2,2013Q2,139,"4,814",11.6%
Vic,ML215,Goulburn Valley,Regional 2,2011Q3,68,"3,837",7.1%
Vic,ML215,Goulburn Valley,Regional 2,2011Q4,80,"3,837",8.3%
Vic,ML215,Goulburn Valley,Regional 2,2012Q1,77,"3,837",8.0%
Vic,ML215,Goulburn Valley,Regional 2,2012Q2,94,"3,837",9.8%
Vic,ML215,Goulburn Valley,Regional 2,2012Q3,118,"3,837",12.3%
Vic,ML215,Goulburn Valley,Regional 2,2012Q4,186,"3,837",19.4%
Vic,ML215,Goulburn Valley,Regional 2,2013Q1,180,"3,837",18.8%
Vic,ML215,Goulburn Valley,Regional 2,2013Q2,198,"3,837",20.6%
Vic,ML216,Hume,Regional 2,2011Q3,89,"3,818",9.3%
Vic,ML216,Hume,Regional 2,2011Q4,67,"3,818",7.0%
Vic,ML216,Hume,Regional 2,2012Q1,81,"3,818",8.5%
Vic,ML216,Hume,Regional 2,2012Q2,117,"3,818",12.3%
Vic,ML216,Hume,Regional 2,2012Q3,110,"3,818",11.5%
Vic,ML216,Hume,Regional 2,2012Q4,107,"3,818",11.2%
Vic,ML216,Hume,Regional 2,2013Q1,105,"3,818",11.0%
Vic,ML216,Hume,Regional 2,2013Q2,109,"3,818",11.4%
Vic,ML217,Gippsland,Regional 2,2011Q3,76,"4,637",6.6%
Vic,ML217,Gippsland,Regional 2,2011Q4,98,"4,637",8.5%
Vic,ML217,Gippsland,Regional 2,2012Q1,93,"4,637",8.0%
Vic,ML217,Gippsland,Regional 2,2012Q2,49,"4,637",4.2%
Vic,ML217,Gippsland,Regional 2,2012Q3,55,"4,637",4.7%
Vic,ML217,Gippsland,Regional 2,2012Q4,93,"4,637",8.0%
Vic,ML217,Gippsland,Regional 2,2013Q1,145,"4,637",12.5%
Vic,ML217,Gippsland,Regional 2,2013Q2,113,"4,637",9.7%
Qld,ML301,Metro North Brisbane,Metro 2,2011Q3,792,"17,629",18.0%
Qld,ML301,Metro North Brisbane,Metro 2,2011Q4,697,"17,629",15.8%
Qld,ML301,Metro North Brisbane,Metro 2,2012Q1,787,"17,629",17.9%
Qld,ML301,Metro North Brisbane,Metro 2,2012Q2,850,"17,629",19.3%
Qld,ML301,Metro North Brisbane,Metro 2,2012Q3,853,"17,629",19.4%
Qld,ML301,Metro North Brisbane,Metro 2,2012Q4,847,"17,629",19.2%
Qld,ML301,Metro North Brisbane,Metro 2,2013Q1,"1,301","17,629",29.5%
Qld,ML301,Metro North Brisbane,Metro 2,2013Q2,"1,461","17,629",33.1%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2011Q3,815,"20,862",15.6%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2011Q4,592,"20,862",11.4%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2012Q1,"1,180","20,862",22.6%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2012Q2,"1,127","20,862",21.6%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2012Q3,"1,167","20,862",22.4%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2012Q4,"1,183","20,862",22.7%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2013Q1,"1,190","20,862",22.8%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2013Q2,"1,190","20,862",22.8%
Qld,ML303,Gold Coast,Metro 2,2011Q3,176,"7,802",9.0%
Qld,ML303,Gold Coast,Metro 2,2011Q4,240,"7,802",12.3%
Qld,ML303,Gold Coast,Metro 2,2012Q1,214,"7,802",11.0%
Qld,ML303,Gold Coast,Metro 2,2012Q2,327,"7,802",16.8%
Qld,ML303,Gold Coast,Metro 2,2012Q3,354,"7,802",18.2%
Qld,ML303,Gold Coast,Metro 2,2012Q4,380,"7,802",19.5%
Qld,ML303,Gold Coast,Metro 2,2013Q1,492,"7,802",25.2%
Qld,ML303,Gold Coast,Metro 2,2013Q2,530,"7,802",27.2%
Qld,ML304,Sunshine Coast,Regional 1,2011Q3,167,"7,051",9.5%
Qld,ML304,Sunshine Coast,Regional 1,2011Q4,139,"7,051",7.9%
Qld,ML304,Sunshine Coast,Regional 1,2012Q1,156,"7,051",8.8%
Qld,ML304,Sunshine Coast,Regional 1,2012Q2,253,"7,051",14.4%
Qld,ML304,Sunshine Coast,Regional 1,2012Q3,284,"7,051",16.1%
Qld,ML304,Sunshine Coast,Regional 1,2012Q4,193,"7,051",10.9%
Qld,ML304,Sunshine Coast,Regional 1,2013Q1,152,"7,051",8.6%
Qld,ML304,Sunshine Coast,Regional 1,2013Q2,155,"7,051",8.8%
Qld,ML305,West Moreton - Oxley,Metro 3,2011Q3,606,"12,920",18.8%
Qld,ML305,West Moreton - Oxley,Metro 3,2011Q4,478,"12,920",14.8%
Qld,ML305,West Moreton - Oxley,Metro 3,2012Q1,614,"12,920",19.0%
Qld,ML305,West Moreton - Oxley,Metro 3,2012Q2,516,"12,920",16.0%
Qld,ML305,West Moreton - Oxley,Metro 3,2012Q3,654,"12,920",20.2%
Qld,ML305,West Moreton - Oxley,Metro 3,2012Q4,454,"12,920",14.1%
Qld,ML305,West Moreton - Oxley,Metro 3,2013Q1,526,"12,920",16.3%
Qld,ML305,West Moreton - Oxley,Metro 3,2013Q2,625,"12,920",19.3%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2011Q3,393,"16,841",9.3%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2011Q4,595,"16,841",14.1%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2012Q1,539,"16,841",12.8%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2012Q2,503,"16,841",11.9%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2012Q3,502,"16,841",11.9%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2012Q4,430,"16,841",10.2%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2013Q1,761,"16,841",18.1%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2013Q2,942,"16,841",22.4%
Qld,ML307,Wide Bay,Regional 2,2011Q3,153,"8,425",7.3%
Qld,ML307,Wide Bay,Regional 2,2011Q4,153,"8,425",7.3%
Qld,ML307,Wide Bay,Regional 2,2012Q1,198,"8,425",9.4%
Qld,ML307,Wide Bay,Regional 2,2012Q2,366,"8,425",17.4%
Qld,ML307,Wide Bay,Regional 2,2012Q3,303,"8,425",14.4%
Qld,ML307,Wide Bay,Regional 2,2012Q4,282,"8,425",13.4%
Qld,ML307,Wide Bay,Regional 2,2013Q1,253,"8,425",12.0%
Qld,ML307,Wide Bay,Regional 2,2013Q2,378,"8,425",17.9%
Qld,ML308,Central Queensland,Rural 1,2011Q3,718,"12,699",22.6%
Qld,ML308,Central Queensland,Rural 1,2011Q4,669,"12,699",21.1%
Qld,ML308,Central Queensland,Rural 1,2012Q1,843,"12,699",26.6%
Qld,ML308,Central Queensland,Rural 1,2012Q2,807,"12,699",25.4%
Qld,ML308,Central Queensland,Rural 1,2012Q3,"1,128","12,699",35.5%
Qld,ML308,Central Queensland,Rural 1,2012Q4,787,"12,699",24.8%
Qld,ML308,Central Queensland,Rural 1,2013Q1,"1,002","12,699",31.6%
Qld,ML308,Central Queensland,Rural 1,2013Q2,"1,145","12,699",36.1%
Qld,ML309,Central and North West Queensland,Rural 2,2011Q3,498,"10,119",19.7%
Qld,ML309,Central and North West Queensland,Rural 2,2011Q4,470,"10,119",18.6%
Qld,ML309,Central and North West Queensland,Rural 2,2012Q1,438,"10,119",17.3%
Qld,ML309,Central and North West Queensland,Rural 2,2012Q2,557,"10,119",22.0%
Qld,ML309,Central and North West Queensland,Rural 2,2012Q3,366,"10,119",14.5%
Qld,ML309,Central and North West Queensland,Rural 2,2012Q4,456,"10,119",18.0%
Qld,ML309,Central and North West Queensland,Rural 2,2013Q1,273,"10,119",10.8%
Qld,ML309,Central and North West Queensland,Rural 2,2013Q2,262,"10,119",10.4%
Qld,ML310,Townsville - Mackay,Rural 1,2011Q3,"1,621","27,635",23.5%
Qld,ML310,Townsville - Mackay,Rural 1,2011Q4,"1,874","27,635",27.1%
Qld,ML310,Townsville - Mackay,Rural 1,2012Q1,"2,238","27,635",32.4%
Qld,ML310,Townsville - Mackay,Rural 1,2012Q2,"2,506","27,635",36.3%
Qld,ML310,Townsville - Mackay,Rural 1,2012Q3,"2,498","27,635",36.2%
Qld,ML310,Townsville - Mackay,Rural 1,2012Q4,"2,137","27,635",30.9%
Qld,ML310,Townsville - Mackay,Rural 1,2013Q1,"2,273","27,635",32.9%
Qld,ML310,Townsville - Mackay,Rural 1,2013Q2,"2,471","27,635",35.8%
Qld,ML311,Far North Queensland,Rural 2,2011Q3,"2,492","46,519",21.4%
Qld,ML311,Far North Queensland,Rural 2,2011Q4,"1,936","46,519",16.6%
Qld,ML311,Far North Queensland,Rural 2,2012Q1,"2,350","46,519",20.2%
Qld,ML311,Far North Queensland,Rural 2,2012Q2,"3,012","46,519",25.9%
Qld,ML311,Far North Queensland,Rural 2,2012Q3,"3,166","46,519",27.2%
Qld,ML311,Far North Queensland,Rural 2,2012Q4,"2,684","46,519",23.1%
Qld,ML311,Far North Queensland,Rural 2,2013Q1,"3,140","46,519",27.0%
Qld,ML311,Far North Queensland,Rural 2,2013Q2,"4,006","46,519",34.4%
SA,ML401,Northern Adelaide,Metro 3,2011Q3,126,"9,086",5.5%
SA,ML401,Northern Adelaide,Metro 3,2011Q4,89,"9,086",3.9%
SA,ML401,Northern Adelaide,Metro 3,2012Q1,104,"9,086",4.6%
SA,ML401,Northern Adelaide,Metro 3,2012Q2,128,"9,086",5.6%
SA,ML401,Northern Adelaide,Metro 3,2012Q3,137,"9,086",6.0%
SA,ML401,Northern Adelaide,Metro 3,2012Q4,134,"9,086",5.9%
SA,ML401,Northern Adelaide,Metro 3,2013Q1,154,"9,086",6.8%
SA,ML401,Northern Adelaide,Metro 3,2013Q2,146,"9,086",6.4%
SA,ML402,Central Adelaide and Hills,Metro 2,2011Q3,147,"6,060",9.7%
SA,ML402,Central Adelaide and Hills,Metro 2,2011Q4,110,"6,060",7.3%
SA,ML402,Central Adelaide and Hills,Metro 2,2012Q1,136,"6,060",9.0%
SA,ML402,Central Adelaide and Hills,Metro 2,2012Q2,117,"6,060",7.7%
SA,ML402,Central Adelaide and Hills,Metro 2,2012Q3,138,"6,060",9.1%
SA,ML402,Central Adelaide and Hills,Metro 2,2012Q4,153,"6,060",10.1%
SA,ML402,Central Adelaide and Hills,Metro 2,2013Q1,145,"6,060",9.6%
SA,ML402,Central Adelaide and Hills,Metro 2,2013Q2,217,"6,060",14.3%
SA,ML403,Southern Adelaide - Fleurieu - Kangaroo Island,Metro 2,2011Q3,28,"4,888",2.3%
SA,ML403,Southern Adelaide - Fleurieu - Kangaroo Island,Metro 2,2011Q4,32,"4,888",2.6%
SA,ML403,Southern Adelaide - Fleurieu - Kangaroo Island,Metro 2,2012Q1,23,"4,888",1.9%
SA,ML403,Southern Adelaide - Fleurieu - Kangaroo Island,Metro 2,2012Q2,28,"4,888",2.3%
SA,ML403,Southern Adelaide - Fleurieu - Kangaroo Island,Metro 2,2012Q3,39,"4,888",3.2%
SA,ML403,Southern Adelaide - Fleurieu - Kangaroo Island,Metro 2,2012Q4,24,"4,888",2.0%
SA,ML403,Southern Adelaide - Fleurieu - Kangaroo Island,Metro 2,2013Q1,28,"4,888",2.3%
SA,ML403,Southern Adelaide - Fleurieu - Kangaroo Island,Metro 2,2013Q2,31,"4,888",2.5%
SA,ML404,Country South SA,Regional 2,2011Q3,41,"4,330",3.8%
SA,ML404,Country South SA,Regional 2,2011Q4,98,"4,330",9.1%
SA,ML404,Country South SA,Regional 2,2012Q1,75,"4,330",6.9%
SA,ML404,Country South SA,Regional 2,2012Q2,83,"4,330",7.7%
SA,ML404,Country South SA,Regional 2,2012Q3,83,"4,330",7.7%
SA,ML404,Country South SA,Regional 2,2012Q4,100,"4,330",9.2%
SA,ML404,Country South SA,Regional 2,2013Q1,102,"4,330",9.4%
SA,ML404,Country South SA,Regional 2,2013Q2,175,"4,330",16.2%
SA,ML405,Country North SA,Rural 1,2011Q3,321,"13,034",9.9%
SA,ML405,Country North SA,Rural 1,2011Q4,269,"13,034",8.3%
SA,ML405,Country North SA,Rural 1,2012Q1,525,"13,034",16.1%
SA,ML405,Country North SA,Rural 1,2012Q2,518,"13,034",15.9%
SA,ML405,Country North SA,Rural 1,2012Q3,568,"13,034",17.4%
SA,ML405,Country North SA,Rural 1,2012Q4,520,"13,034",16.0%
SA,ML405,Country North SA,Rural 1,2013Q1,413,"13,034",12.7%
SA,ML405,Country North SA,Rural 1,2013Q2,573,"13,034",17.6%
WA,ML501,Perth Central and East Metro,Metro 2,2011Q3,195,"9,054",8.6%
WA,ML501,Perth Central and East Metro,Metro 2,2011Q4,181,"9,054",8.0%
WA,ML501,Perth Central and East Metro,Metro 2,2012Q1,264,"9,054",11.7%
WA,ML501,Perth Central and East Metro,Metro 2,2012Q2,220,"9,054",9.7%
WA,ML501,Perth Central and East Metro,Metro 2,2012Q3,340,"9,054",15.0%
WA,ML501,Perth Central and East Metro,Metro 2,2012Q4,429,"9,054",19.0%
WA,ML501,Perth Central and East Metro,Metro 2,2013Q1,574,"9,054",25.4%
WA,ML501,Perth Central and East Metro,Metro 2,2013Q2,794,"9,054",35.1%
WA,ML502,Perth North Metro,Metro 2,2011Q3,124,"6,965",7.1%
WA,ML502,Perth North Metro,Metro 2,2011Q4,232,"6,965",13.3%
WA,ML502,Perth North Metro,Metro 2,2012Q1,164,"6,965",9.4%
WA,ML502,Perth North Metro,Metro 2,2012Q2,152,"6,965",8.7%
WA,ML502,Perth North Metro,Metro 2,2012Q3,371,"6,965",21.3%
WA,ML502,Perth North Metro,Metro 2,2012Q4,357,"6,965",20.5%
WA,ML502,Perth North Metro,Metro 2,2013Q1,372,"6,965",21.4%
WA,ML502,Perth North Metro,Metro 2,2013Q2,282,"6,965",16.2%
WA,ML503,Fremantle,Metro 2,2011Q3,14,"3,354",1.7%
WA,ML503,Fremantle,Metro 2,2011Q4,19,"3,354",2.3%
WA,ML503,Fremantle,Metro 2,2012Q1,31,"3,354",3.7%
WA,ML503,Fremantle,Metro 2,2012Q2,24,"3,354",2.9%
WA,ML503,Fremantle,Metro 2,2012Q3,53,"3,354",6.3%
WA,ML503,Fremantle,Metro 2,2012Q4,38,"3,354",4.5%
WA,ML503,Fremantle,Metro 2,2013Q1,28,"3,354",3.3%
WA,ML503,Fremantle,Metro 2,2013Q2,49,"3,354",5.8%
WA,ML504,Bentley - Armadale,Metro 2,2011Q3,171,"9,705",7.0%
WA,ML504,Bentley - Armadale,Metro 2,2011Q4,195,"9,705",8.0%
WA,ML504,Bentley - Armadale,Metro 2,2012Q1,228,"9,705",9.4%
WA,ML504,Bentley - Armadale,Metro 2,2012Q2,244,"9,705",10.1%
WA,ML504,Bentley - Armadale,Metro 2,2012Q3,331,"9,705",13.6%
WA,ML504,Bentley - Armadale,Metro 2,2012Q4,396,"9,705",16.3%
WA,ML504,Bentley - Armadale,Metro 2,2013Q1,429,"9,705",17.7%
WA,ML504,Bentley - Armadale,Metro 2,2013Q2,427,"9,705",17.6%
WA,ML505,Perth South Coastal,Regional 1,2011Q3,95,"5,872",6.5%
WA,ML505,Perth South Coastal,Regional 1,2011Q4,91,"5,872",6.2%
WA,ML505,Perth South Coastal,Regional 1,2012Q1,133,"5,872",9.1%
WA,ML505,Perth South Coastal,Regional 1,2012Q2,144,"5,872",9.8%
WA,ML505,Perth South Coastal,Regional 1,2012Q3,187,"5,872",12.7%
WA,ML505,Perth South Coastal,Regional 1,2012Q4,134,"5,872",9.1%
WA,ML505,Perth South Coastal,Regional 1,2013Q1,146,"5,872",9.9%
WA,ML505,Perth South Coastal,Regional 1,2013Q2,205,"5,872",14.0%
WA,ML506,South West WA,Regional 2,2011Q3,378,"10,986",13.8%
WA,ML506,South West WA,Regional 2,2011Q4,272,"10,986",9.9%
WA,ML506,South West WA,Regional 2,2012Q1,307,"10,986",11.2%
WA,ML506,South West WA,Regional 2,2012Q2,302,"10,986",11.0%
WA,ML506,South West WA,Regional 2,2012Q3,281,"10,986",10.2%
WA,ML506,South West WA,Regional 2,2012Q4,251,"10,986",9.1%
WA,ML506,South West WA,Regional 2,2013Q1,283,"10,986",10.3%
WA,ML506,South West WA,Regional 2,2013Q2,386,"10,986",14.1%
WA,ML507,Goldfields - Midwest,Rural 2,2011Q3,595,"14,810",16.1%
WA,ML507,Goldfields - Midwest,Rural 2,2011Q4,499,"14,810",13.5%
WA,ML507,Goldfields - Midwest,Rural 2,2012Q1,723,"14,810",19.5%
WA,ML507,Goldfields - Midwest,Rural 2,2012Q2,681,"14,810",18.4%
WA,ML507,Goldfields - Midwest,Rural 2,2012Q3,573,"14,810",15.5%
WA,ML507,Goldfields - Midwest,Rural 2,2012Q4,919,"14,810",24.8%
WA,ML507,Goldfields - Midwest,Rural 2,2013Q1,"1,058","14,810",28.6%
WA,ML507,Goldfields - Midwest,Rural 2,2013Q2,"1,166","14,810",31.5%
WA,ML508,Kimberley - Pilbara,Rural 2,2011Q3,648,"26,948",9.6%
WA,ML508,Kimberley - Pilbara,Rural 2,2011Q4,618,"26,948",9.2%
WA,ML508,Kimberley - Pilbara,Rural 2,2012Q1,"1,025","26,948",15.2%
WA,ML508,Kimberley - Pilbara,Rural 2,2012Q2,968,"26,948",14.4%
WA,ML508,Kimberley - Pilbara,Rural 2,2012Q3,919,"26,948",13.6%
WA,ML508,Kimberley - Pilbara,Rural 2,2012Q4,"1,199","26,948",17.8%
WA,ML508,Kimberley - Pilbara,Rural 2,2013Q1,"1,048","26,948",15.6%
WA,ML508,Kimberley - Pilbara,Rural 2,2013Q2,"1,492","26,948",22.1%
Tas,ML601,Tasmania,Regional 2,2011Q3,144,"24,165",2.4%
Tas,ML601,Tasmania,Regional 2,2011Q4,160,"24,165",2.6%
Tas,ML601,Tasmania,Regional 2,2012Q1,220,"24,165",3.6%
Tas,ML601,Tasmania,Regional 2,2012Q2,252,"24,165",4.2%
Tas,ML601,Tasmania,Regional 2,2012Q3,249,"24,165",4.1%
Tas,ML601,Tasmania,Regional 2,2012Q4,227,"24,165",3.8%
Tas,ML601,Tasmania,Regional 2,2013Q1,322,"24,165",5.3%
Tas,ML601,Tasmania,Regional 2,2013Q2,358,"24,165",5.9%
NT,ML701,Northern Territory,Rural 2,2011Q3,"3,268","68,846",19.0%
NT,ML701,Northern Territory,Rural 2,2011Q4,"3,290","68,846",19.1%
NT,ML701,Northern Territory,Rural 2,2012Q1,"3,442","68,846",20.0%
NT,ML701,Northern Territory,Rural 2,2012Q2,"3,701","68,846",21.5%
NT,ML701,Northern Territory,Rural 2,2012Q3,"3,840","68,846",22.3%
NT,ML701,Northern Territory,Rural 2,2012Q4,"4,010","68,846",23.3%
NT,ML701,Northern Territory,Rural 2,2013Q1,"4,407","68,846",25.6%
NT,ML701,Northern Territory,Rural 2,2013Q2,"4,104","68,846",23.8%
ACT,ML801,Australian Capital Territory,Metro 1,2011Q3,53,"6,151",3.4%
ACT,ML801,Australian Capital Territory,Metro 1,2011Q4,179,"6,151",11.6%
ACT,ML801,Australian Capital Territory,Metro 1,2012Q1,113,"6,151",7.3%
ACT,ML801,Australian Capital Territory,Metro 1,2012Q2,172,"6,151",11.2%
ACT,ML801,Australian Capital Territory,Metro 1,2012Q3,218,"6,151",14.2%
ACT,ML801,Australian Capital Territory,Metro 1,2012Q4,284,"6,151",18.5%
ACT,ML801,Australian Capital Territory,Metro 1,2013Q1,181,"6,151",11.8%
ACT,ML801,Australian Capital Territory,Metro 1,2013Q2,185,"6,151",12.0%
